Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Hassan,Arasikere,Tomato,600,600,600,29-08-2024
2,Hassan,Arasikere,Tomato,600,6000,600,19-08-2024
3,Hassan,Arasikere,Tomato,667,667,667,06-08-2024
4,Hassan,Arasikere,Tomato,667,667,667,08-08-2024
5,Hassan,Arasikere,Tomato,667,667,667,09-08-2024
6,Hassan,Arasikere,Tomato,800,800,800,01-08-2024
7,Hassan,Arasikere,Tomato,800,6500,800,21-09-2024
8,Hassan,Arasikere,Tomato,800,6500,800,29-07-2024
9,Hassan,Arasikere,Tomato,900,900,900,24-07-2024
10,Hassan,Arasikere,Tomato,950,950,950,25-07-2024
11,Hassan,Arasikere,Tomato,1000,1000,1000,27-03-2024
12,Hassan,Arasikere,Tomato,1000,1000,1000,31-08-2024
13,Hassan,Arasikere,Tomato,1000,2000,1000,17-09-2024
14,Hassan,Arasikere,Tomato,1000,2000,1000,30-12-2024
15,Hassan,Arasikere,Tomato,1000,3000,1000,16-12-2024
16,Hassan,Arasikere,Tomato,1000,6000,1500,26-08-2024
17,Hassan,Arasikere,Tomato,1000,6500,2000,03-08-2024
18,Hassan,Arasikere,Tomato,1000,8000,8000,09-09-2024
19,Hassan,Arasikere,Tomato,1192,1192,1192,06-04-2024
20,Hassan,Arasikere,Tomato,1200,1200,1200,23-07-2024
21,Hassan,Arasikere,Tomato,1200,6500,1200,12-08-2024
22,Hassan,Arasikere,Tomato,1600,3000,1600,01-06-2024
23,Hassan,Arasikere,Tomato,2000,2000,2000,01-07-2024
24,Hassan,Arasikere,Tomato,2000,2000,2000,21-05-2024
25,Hassan,Arasikere,Tomato,2000,2500,2500,16-11-2024
26,Hassan,Arasikere,Tomato,2000,3000,2000,11-11-2024
27,Hassan,Arasikere,Tomato,2000,4100,3000,18-05-2024
28,Hassan,Arasikere,Tomato,2000,5000,2000,13-05-2024
29,Hassan,Arasikere,Tomato,2000,5000,4000,19-10-2024
30,Hassan,Arasikere,Tomato,2000,5500,2800,10-06-2024
31,Hassan,Arasikere,Tomato,2000,6000,2500,15-10-2024
32,Hassan,Arasikere,Tomato,2000,6000,4200,27-05-2024
