Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Kolar,Bangarpet,Tomato,300,1000,700,01-03-2024
2,Kolar,Bangarpet,Tomato,300,1000,700,02-03-2024
3,Kolar,Bangarpet,Tomato,300,1000,700,17-04-2024
4,Kolar,Bangarpet,Tomato,300,1000,700,23-03-2024
5,Kolar,Bangarpet,Tomato,300,1000,700,24-02-2024
6,Kolar,Bangarpet,Tomato,300,1000,700,31-12-2024
7,Kolar,Bangarpet,Tomato,300,1000,900,27-12-2024
8,Kolar,Bangarpet,Tomato,300,1200,800,04-03-2024
9,Kolar,Bangarpet,Tomato,300,1200,800,14-02-2024
10,Kolar,Bangarpet,Tomato,300,1200,800,15-04-2024
11,Kolar,Bangarpet,Tomato,300,1200,800,15-02-2024
12,Kolar,Bangarpet,Tomato,300,1200,800,16-04-2024
13,Kolar,Bangarpet,Tomato,300,1200,800,16-02-2024
14,Kolar,Bangarpet,Tomato,300,1200,800,18-04-2024
15,Kolar,Bangarpet,Tomato,300,1200,800,22-02-2024
16,Kolar,Bangarpet,Tomato,300,1200,800,25-03-2024
17,Kolar,Bangarpet,Tomato,300,1200,800,27-02-2024
18,Kolar,Bangarpet,Tomato,300,1200,800,28-02-2024
19,Kolar,Bangarpet,Tomato,300,1200,800,29-02-2024
20,Kolar,Bangarpet,Tomato,300,1200,1000,13-04-2024
21,Kolar,Bangarpet,Tomato,300,1300,800,17-02-2024
22,Kolar,Bangarpet,Tomato,300,1300,800,22-03-2024
23,Kolar,Bangarpet,Tomato,300,1300,1000,19-02-2024
24,Kolar,Bangarpet,Tomato,300,1400,900,01-05-2024
25,Kolar,Bangarpet,Tomato,300,1400,900,03-05-2024
26,Kolar,Bangarpet,Tomato,300,1400,900,05-03-2024
27,Kolar,Bangarpet,Tomato,300,1400,900,07-03-2024
28,Kolar,Bangarpet,Tomato,300,1400,900,14-03-2024
29,Kolar,Bangarpet,Tomato,300,1400,900,19-04-2024
30,Kolar,Bangarpet,Tomato,300,1400,900,21-02-2024
31,Kolar,Bangarpet,Tomato,300,1400,900,28-03-2024
32,Kolar,Bangarpet,Tomato,300,1400,1000,13-03-2024
33,Kolar,Bangarpet,Tomato,300,1500,1000,02-04-2024
34,Kolar,Bangarpet,Tomato,300,1500,1000,02-05-2024
35,Kolar,Bangarpet,Tomato,300,1500,1000,04-05-2024
36,Kolar,Bangarpet,Tomato,300,1500,1000,08-03-2024
37,Kolar,Bangarpet,Tomato,300,1500,1000,09-01-2024
38,Kolar,Bangarpet,Tomato,300,1500,1000,12-03-2024
39,Kolar,Bangarpet,Tomato,300,1500,1000,13-02-2024
40,Kolar,Bangarpet,Tomato,300,1500,1000,15-03-2024
41,Kolar,Bangarpet,Tomato,300,1500,1000,16-03-2024
42,Kolar,Bangarpet,Tomato,300,1500,1000,18-01-2024
43,Kolar,Bangarpet,Tomato,300,1500,1000,18-03-2024
44,Kolar,Bangarpet,Tomato,300,1500,1000,19-03-2024
45,Kolar,Bangarpet,Tomato,300,1500,1000,20-04-2024
46,Kolar,Bangarpet,Tomato,300,1500,1000,20-03-2024
47,Kolar,Bangarpet,Tomato,300,1500,1000,22-04-2024
48,Kolar,Bangarpet,Tomato,300,1500,1000,26-04-2024
49,Kolar,Bangarpet,Tomato,300,1500,1000,26-03-2024
50,Kolar,Bangarpet,Tomato,300,1500,1000,29-03-2024
51,Kolar,Bangarpet,Tomato,300,1500,1000,30-04-2024
52,Kolar,Bangarpet,Tomato,300,1600,1000,01-04-2024
53,Kolar,Bangarpet,Tomato,300,1600,1000,01-01-2024
54,Kolar,Bangarpet,Tomato,300,1600,1000,02-01-2024
55,Kolar,Bangarpet,Tomato,300,1600,1000,08-01-2024
56,Kolar,Bangarpet,Tomato,300,1600,1000,09-02-2024
57,Kolar,Bangarpet,Tomato,300,1600,1000,10-01-2024
58,Kolar,Bangarpet,Tomato,300,1600,1000,11-01-2024
59,Kolar,Bangarpet,Tomato,300,1600,1000,12-01-2024
60,Kolar,Bangarpet,Tomato,300,1600,1000,15-01-2024
61,Kolar,Bangarpet,Tomato,300,1600,1000,16-01-2024
62,Kolar,Bangarpet,Tomato,300,1600,1000,17-01-2024
63,Kolar,Bangarpet,Tomato,300,1600,1000,25-01-2024
64,Kolar,Bangarpet,Tomato,300,1600,1000,27-04-2024
65,Kolar,Bangarpet,Tomato,300,1600,1000,27-01-2024
66,Kolar,Bangarpet,Tomato,300,1600,1000,29-04-2024
67,Kolar,Bangarpet,Tomato,300,1600,1000,30-01-2024
68,Kolar,Bangarpet,Tomato,300,1600,1000,30-03-2024
69,Kolar,Bangarpet,Tomato,300,1700,1000,28-12-2024
70,Kolar,Bangarpet,Tomato,300,1800,1000,05-02-2024
71,Kolar,Bangarpet,Tomato,300,1800,1000,22-01-2024
72,Kolar,Bangarpet,Tomato,300,1800,1000,23-01-2024
73,Kolar,Bangarpet,Tomato,300,1800,1000,31-01-2024
74,Kolar,Bangarpet,Tomato,300,2000,700,23-02-2024
75,Kolar,Bangarpet,Tomato,300,2000,1000,03-04-2024
76,Kolar,Bangarpet,Tomato,300,2000,1000,05-04-2024
77,Kolar,Bangarpet,Tomato,300,2000,1000,11-03-2024
78,Kolar,Bangarpet,Tomato,300,2000,1100,01-02-2024
79,Kolar,Bangarpet,Tomato,300,2000,1100,04-01-2024
