Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Kolkata,Sealdah Koley Market,Tomato,1400,1800,1600,14-04-2024
2,Kolkata,Sealdah Koley Market,Tomato,1400,1800,1600,16-02-2024
3,Kolkata,Sealdah Koley Market,Tomato,1400,1800,1600,17-02-2024
4,Kolkata,Sealdah Koley Market,Tomato,1400,1800,1600,18-02-2024
5,Kolkata,Sealdah Koley Market,Tomato,1400,1800,1600,19-02-2024
6,Kolkata,Sealdah Koley Market,Tomato,1400,2000,1600,10-02-2024
7,Kolkata,Sealdah Koley Market,Tomato,1400,2000,1600,17-04-2024
8,Kolkata,Sealdah Koley Market,Tomato,1400,2000,1800,09-02-2024
9,Kolkata,Sealdah Koley Market,Tomato,1400,2000,1800,12-02-2024
10,Kolkata,Sealdah Koley Market,Tomato,1400,2000,1800,13-02-2024
11,Kolkata,Sealdah Koley Market,Tomato,1600,1800,1600,19-01-2024
12,Kolkata,Sealdah Koley Market,Tomato,1600,1800,1600,20-01-2024
13,Kolkata,Sealdah Koley Market,Tomato,1600,1800,1600,21-02-2024
14,Kolkata,Sealdah Koley Market,Tomato,1600,1800,1600,27-02-2024
15,Kolkata,Sealdah Koley Market,Tomato,1600,1800,1800,20-02-2024
16,Kolkata,Sealdah Koley Market,Tomato,1600,1800,1800,28-02-2024
17,Kolkata,Sealdah Koley Market,Tomato,1600,1800,1800,29-02-2024
18,Kolkata,Sealdah Koley Market,Tomato,1600,2000,1600,02-03-2024
19,Kolkata,Sealdah Koley Market,Tomato,1600,2000,1600,03-03-2024
20,Kolkata,Sealdah Koley Market,Tomato,1600,2000,1600,16-04-2024
21,Kolkata,Sealdah Koley Market,Tomato,1600,2000,1800,01-03-2024
22,Kolkata,Sealdah Koley Market,Tomato,1600,2000,1800,11-02-2024
23,Kolkata,Sealdah Koley Market,Tomato,1600,2000,1800,12-04-2024
24,Kolkata,Sealdah Koley Market,Tomato,1600,2000,1800,13-04-2024
25,Kolkata,Sealdah Koley Market,Tomato,1600,2000,1800,14-02-2024
26,Kolkata,Sealdah Koley Market,Tomato,1600,2000,1800,15-02-2024
27,Kolkata,Sealdah Koley Market,Tomato,1600,2000,1800,18-04-2024
28,Kolkata,Sealdah Koley Market,Tomato,1600,2000,1800,19-04-2024
29,Kolkata,Sealdah Koley Market,Tomato,1600,2000,1800,20-04-2024
30,Kolkata,Sealdah Koley Market,Tomato,1600,2000,1800,21-04-2024
31,Kolkata,Sealdah Koley Market,Tomato,1600,2000,1800,22-04-2024
32,Kolkata,Sealdah Koley Market,Tomato,1600,2000,1800,25-02-2024
33,Kolkata,Sealdah Koley Market,Tomato,1600,2000,1800,26-02-2024
34,Kolkata,Sealdah Koley Market,Tomato,1600,2000,1800,29-04-2024
35,Kolkata,Sealdah Koley Market,Tomato,1600,2200,1800,15-04-2024
36,Kolkata,Sealdah Koley Market,Tomato,1600,2400,2000,02-05-2024
37,Kolkata,Sealdah Koley Market,Tomato,1600,2400,2000,03-05-2024
38,Kolkata,Sealdah Koley Market,Tomato,1600,2400,2000,26-04-2024
39,Kolkata,Sealdah Koley Market,Tomato,1600,2400,2000,27-04-2024
40,Kolkata,Sealdah Koley Market,Tomato,1600,2400,2000,28-04-2024
41,Kolkata,Sealdah Koley Market,Tomato,1600,3000,2000,05-05-2024
42,Kolkata,Sealdah Koley Market,Tomato,1800,2000,1800,18-01-2024
43,Kolkata,Sealdah Koley Market,Tomato,1800,2000,1800,22-02-2024
44,Kolkata,Sealdah Koley Market,Tomato,1800,2000,1800,23-01-2024
45,Kolkata,Sealdah Koley Market,Tomato,1800,2000,1800,24-02-2024
46,Kolkata,Sealdah Koley Market,Tomato,1800,2000,1800,28-01-2024
47,Kolkata,Sealdah Koley Market,Tomato,1800,2000,2000,22-01-2024
48,Kolkata,Sealdah Koley Market,Tomato,1800,2000,2000,23-02-2024
49,Kolkata,Sealdah Koley Market,Tomato,1800,2200,2000,25-01-2024
50,Kolkata,Sealdah Koley Market,Tomato,1800,2200,2000,26-01-2024
51,Kolkata,Sealdah Koley Market,Tomato,1800,2200,2000,27-01-2024
52,Kolkata,Sealdah Koley Market,Tomato,1800,2400,2000,01-05-2024
53,Kolkata,Sealdah Koley Market,Tomato,1800,2400,2000,06-03-2024
54,Kolkata,Sealdah Koley Market,Tomato,1800,2400,2000,10-03-2024
55,Kolkata,Sealdah Koley Market,Tomato,1800,2400,2000,23-04-2024
56,Kolkata,Sealdah Koley Market,Tomato,1800,2400,2000,24-04-2024
57,Kolkata,Sealdah Koley Market,Tomato,1800,2400,2000,25-04-2024
58,Kolkata,Sealdah Koley Market,Tomato,1800,2400,2000,29-01-2024
59,Kolkata,Sealdah Koley Market,Tomato,1800,2400,2000,30-04-2024
60,Kolkata,Sealdah Koley Market,Tomato,1800,2600,2000,09-03-2024
61,Kolkata,Sealdah Koley Market,Tomato,1800,2600,2000,21-01-2024
