Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Kurnool,Pattikonda,Tomato,600,1000,800,28-02-2024
2,Kurnool,Pattikonda,Tomato,700,1100,900,16-02-2024
3,Kurnool,Pattikonda,Tomato,700,1200,900,25-02-2024
4,Kurnool,Pattikonda,Tomato,700,1200,1000,15-02-2024
5,Kurnool,Pattikonda,Tomato,700,1200,1000,27-02-2024
6,Kurnool,Pattikonda,Tomato,700,1300,1100,26-02-2024
7,Kurnool,Pattikonda,Tomato,800,1200,1000,14-12-2024
8,Kurnool,Pattikonda,Tomato,800,1200,1000,24-02-2024
9,Kurnool,Pattikonda,Tomato,800,1300,1000,21-02-2024
10,Kurnool,Pattikonda,Tomato,800,1300,1100,23-02-2024
11,Kurnool,Pattikonda,Tomato,800,1400,1200,22-02-2024
12,Kurnool,Pattikonda,Tomato,800,1500,1200,01-03-2024
13,Kurnool,Pattikonda,Tomato,800,1500,1200,31-12-2024
14,Kurnool,Pattikonda,Tomato,900,1400,1200,17-02-2024
15,Kurnool,Pattikonda,Tomato,900,1500,1000,14-02-2024
16,Kurnool,Pattikonda,Tomato,900,1500,1100,19-02-2024
17,Kurnool,Pattikonda,Tomato,900,1500,1100,20-02-2024
18,Kurnool,Pattikonda,Tomato,900,1500,1200,13-02-2024
19,Kurnool,Pattikonda,Tomato,900,1600,1400,18-02-2024
20,Kurnool,Pattikonda,Tomato,1000,1500,1200,13-03-2024
21,Kurnool,Pattikonda,Tomato,1000,1500,1200,14-03-2024
22,Kurnool,Pattikonda,Tomato,1000,1500,1200,15-12-2024
23,Kurnool,Pattikonda,Tomato,1000,1500,1200,15-03-2024
24,Kurnool,Pattikonda,Tomato,1000,1500,1200,16-12-2024
25,Kurnool,Pattikonda,Tomato,1000,1500,1200,16-03-2024
26,Kurnool,Pattikonda,Tomato,1000,1500,1200,17-12-2024
27,Kurnool,Pattikonda,Tomato,1000,1500,1200,17-03-2024
28,Kurnool,Pattikonda,Tomato,1000,1500,1200,18-03-2024
29,Kurnool,Pattikonda,Tomato,1000,1500,1200,19-03-2024
30,Kurnool,Pattikonda,Tomato,1000,1500,1200,20-12-2024
31,Kurnool,Pattikonda,Tomato,1000,1500,1200,21-12-2024
