Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Rajnandgaon,Gandai,Tomato,400,600,500,29-12-2024
2,Rajnandgaon,Gandai,Tomato,500,700,600,31-12-2024
3,Rajnandgaon,Gandai,Tomato,1000,1400,1200,13-12-2024
4,Rajnandgaon,Gandai,Tomato,1100,1300,1200,19-12-2024
5,Rajnandgaon,Gandai,Tomato,1200,1400,1300,20-12-2024
6,Rajnandgaon,Gandai,Tomato,1200,1400,1300,22-12-2024
7,Rajnandgaon,Gandai,Tomato,1200,1800,1500,11-12-2024
8,Rajnandgaon,Gandai,Tomato,1800,2000,1900,10-12-2024
9,Rajnandgaon,Gandai,Tomato,1800,2500,2000,23-11-2024
10,Rajnandgaon,Gandai,Tomato,2000,3000,2500,24-11-2024
11,Rajnandgaon,Gandai,Tomato,2200,2600,2400,17-11-2024
12,Rajnandgaon,Gandai,Tomato,2200,2800,2500,22-11-2024
13,Rajnandgaon,Gandai,Tomato,2400,3000,2800,19-11-2024
14,Rajnandgaon,Gandai,Tomato,2800,3200,3000,09-11-2024
15,Rajnandgaon,Gandai,Tomato,2800,3600,3300,30-10-2024
16,Rajnandgaon,Gandai,Tomato,3000,3400,3200,16-11-2024
17,Rajnandgaon,Gandai,Tomato,3000,3500,3100,28-12-2024
18,Rajnandgaon,Gandai,Tomato,3000,3500,3200,26-10-2024
19,Rajnandgaon,Gandai,Tomato,3000,3600,3400,11-11-2024
20,Rajnandgaon,Gandai,Tomato,3000,3800,3500,25-10-2024
21,Rajnandgaon,Gandai,Tomato,3100,3600,3400,05-12-2024
22,Rajnandgaon,Rajnandgaon,Tomato,400,600,500,01-01-2025
23,Rajnandgaon,Rajnandgaon,Tomato,400,600,500,31-12-2024
24,Rajnandgaon,Rajnandgaon,Tomato,700,900,800,28-12-2024
25,Rajnandgaon,Rajnandgaon,Tomato,700,900,800,29-12-2024
26,Rajnandgaon,Rajnandgaon,Tomato,800,1000,900,12-12-2024
27,Rajnandgaon,Rajnandgaon,Tomato,800,1000,900,26-12-2024
28,Rajnandgaon,Rajnandgaon,Tomato,1000,1200,1100,13-12-2024
29,Rajnandgaon,Rajnandgaon,Tomato,1000,1200,1100,27-12-2024
30,Rajnandgaon,Rajnandgaon,Tomato,1100,1500,1300,11-12-2024
31,Rajnandgaon,Rajnandgaon,Tomato,1100,1500,1300,14-12-2024
32,Rajnandgaon,Rajnandgaon,Tomato,1100,1500,1300,15-12-2024
33,Rajnandgaon,Rajnandgaon,Tomato,1100,1500,1300,19-12-2024
34,Rajnandgaon,Rajnandgaon,Tomato,1100,1500,1300,22-12-2024
35,Rajnandgaon,Rajnandgaon,Tomato,1200,1500,1300,24-12-2024
36,Rajnandgaon,Rajnandgaon,Tomato,1200,1500,1300,25-12-2024
37,Rajnandgaon,Rajnandgaon,Tomato,1500,1700,1600,17-12-2024
38,Rajnandgaon,Rajnandgaon,Tomato,1600,1800,1700,18-12-2024
39,Rajnandgaon,Rajnandgaon,Tomato,1600,2000,1800,08-12-2024
40,Rajnandgaon,Rajnandgaon,Tomato,1600,2000,1800,10-12-2024
41,Rajnandgaon,Rajnandgaon,Tomato,1600,2000,1800,20-12-2024
42,Rajnandgaon,Rajnandgaon,Tomato,1600,2000,1800,21-12-2024
43,Rajnandgaon,Rajnandgaon,Tomato,2000,3000,2500,13-11-2024
44,Rajnandgaon,Rajnandgaon,Tomato,2000,3000,2500,14-11-2024
45,Rajnandgaon,Rajnandgaon,Tomato,2000,3000,2500,16-11-2024
46,Rajnandgaon,Rajnandgaon,Tomato,2000,3000,2500,30-10-2024
47,Rajnandgaon,Rajnandgaon,Tomato,2100,2500,2300,03-12-2024
48,Rajnandgaon,Rajnandgaon,Tomato,2100,3000,2500,12-11-2024
49,Rajnandgaon,Rajnandgaon,Tomato,2200,3000,2600,01-12-2024
50,Rajnandgaon,Rajnandgaon,Tomato,2200,3000,2600,05-11-2024
51,Rajnandgaon,Rajnandgaon,Tomato,2200,3000,2600,26-10-2024
52,Rajnandgaon,Rajnandgaon,Tomato,2300,3000,2600,15-11-2024
53,Rajnandgaon,Rajnandgaon,Tomato,2400,3000,2600,04-12-2024
54,Rajnandgaon,Rajnandgaon,Tomato,2400,3000,2600,17-11-2024
55,Rajnandgaon,Rajnandgaon,Tomato,2400,3000,2600,19-11-2024
56,Rajnandgaon,Rajnandgaon,Tomato,2400,30000,2600,20-11-2024
57,Rajnandgaon,Rajnandgaon,Tomato,2500,3000,2700,05-12-2024
58,Rajnandgaon,Rajnandgaon,Tomato,2600,3000,2800,06-11-2024
59,Rajnandgaon,Rajnandgaon,Tomato,2600,3000,2800,21-11-2024
60,Rajnandgaon,Rajnandgaon,Tomato,2800,3500,3200,28-11-2024
61,Rajnandgaon,Rajnandgaon,Tomato,3000,4000,3500,09-11-2024
62,Rajnandgaon,Rajnandgaon,Tomato,3000,4000,3500,22-11-2024
63,Rajnandgaon,Rajnandgaon,Tomato,3000,4000,3500,23-11-2024
64,Rajnandgaon,Rajnandgaon,Tomato,3000,4000,3500,24-11-2024
65,Rajnandgaon,Rajnandgaon,Tomato,3000,4000,3500,25-10-2024
66,Rajnandgaon,Rajnandgaon,Tomato,3000,4000,3500,26-11-2024
67,Rajnandgaon,Rajnandgaon,Tomato,3000,4000,3500,27-11-2024
68,Rajnandgaon,Rajnandgaon,Tomato,3000,4000,3500,27-10-2024
69,Rajnandgaon,Rajnandgaon,Tomato,3000,4000,3500,29-10-2024
70,Rajnandgaon,Rajnandgaon,Tomato,3100,4000,3500,08-11-2024
71,Rajnandgaon,Rajnandgaon,Tomato,400,600,500,14-03-2024
72,Rajnandgaon,Rajnandgaon,Tomato,400,800,600,13-01-2024
73,Rajnandgaon,Rajnandgaon,Tomato,400,800,600,20-01-2024
74,Rajnandgaon,Rajnandgaon,Tomato,400,800,600,20-03-2024
75,Rajnandgaon,Rajnandgaon,Tomato,600,800,700,18-01-2024
76,Rajnandgaon,Rajnandgaon,Tomato,600,800,700,21-03-2024
77,Rajnandgaon,Rajnandgaon,Tomato,600,800,700,22-03-2024
78,Rajnandgaon,Rajnandgaon,Tomato,600,1000,800,01-03-2024
79,Rajnandgaon,Rajnandgaon,Tomato,600,1000,800,01-05-2024
80,Rajnandgaon,Rajnandgaon,Tomato,600,1000,800,02-03-2024
81,Rajnandgaon,Rajnandgaon,Tomato,600,1000,800,02-05-2024
82,Rajnandgaon,Rajnandgaon,Tomato,600,1000,800,03-04-2024
