Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sagar,Garhakota,Tomato,600,600,600,03-05-2024
2,Sagar,Khurai(F&V),Tomato,400,800,600,28-12-2024
3,Sagar,Khurai(F&V),Tomato,400,800,600,29-12-2024
4,Sagar,Khurai(F&V),Tomato,500,800,700,31-12-2024
5,Sagar,Khurai(F&V),Tomato,500,1000,700,27-12-2024
6,Sagar,Khurai(F&V),Tomato,600,800,700,30-12-2024
7,Sagar,Khurai(F&V),Tomato,600,1000,800,26-12-2024
8,Sagar,Khurai(F&V),Tomato,800,1200,1000,11-12-2024
9,Sagar,Khurai(F&V),Tomato,800,1200,1000,25-12-2024
10,Sagar,Khurai(F&V),Tomato,1000,1400,1200,12-12-2024
11,Sagar,Khurai(F&V),Tomato,1000,1800,1400,24-12-2024
12,Sagar,Khurai(F&V),Tomato,1000,2000,1500,13-12-2024
13,Sagar,Khurai(F&V),Tomato,1500,1700,1600,23-12-2024
14,Sagar,Khurai(F&V),Tomato,1500,2000,1700,22-12-2024
15,Sagar,Khurai(F&V),Tomato,1600,2000,1800,14-12-2024
16,Sagar,Khurai(F&V),Tomato,1600,2200,1900,15-12-2024
17,Sagar,Khurai(F&V),Tomato,1800,2200,2000,18-12-2024
18,Sagar,Khurai(F&V),Tomato,1800,2200,2000,20-12-2024
19,Sagar,Khurai(F&V),Tomato,1800,2200,2000,21-12-2024
20,Sagar,Khurai(F&V),Tomato,2000,2500,2300,19-12-2024
21,Sagar,Khurai(F&V),Tomato,2000,2600,2300,17-12-2024
22,Sagar,Khurai(F&V),Tomato,2000,2800,2400,05-12-2024
23,Sagar,Khurai(F&V),Tomato,2200,2700,2500,06-12-2024
24,Sagar,Khurai(F&V),Tomato,2500,2700,2600,04-12-2024
25,Sagar,Khurai(F&V),Tomato,2500,3000,2800,20-11-2024
26,Sagar,Khurai(F&V),Tomato,2500,3000,2800,24-10-2024
27,Sagar,Khurai(F&V),Tomato,2500,3200,2700,03-12-2024
28,Sagar,Khurai(F&V),Tomato,2500,3500,3000,25-10-2024
29,Sagar,Khurai(F&V),Tomato,2700,3000,2900,02-12-2024
30,Sagar,Khurai(F&V),Tomato,2800,3200,3000,21-11-2024
31,Sagar,Khurai(F&V),Tomato,2800,3500,3100,19-11-2024
32,Sagar,Khurai(F&V),Tomato,2800,3500,3200,17-11-2024
