Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sirohi,Abu Road,Tomato,275,325,300,19-04-2024
2,Sirohi,Abu Road,Tomato,475,525,500,01-01-2024
3,Sirohi,Abu Road,Tomato,475,525,500,01-05-2024
4,Sirohi,Abu Road,Tomato,475,525,500,03-01-2024
5,Sirohi,Abu Road,Tomato,475,525,500,03-05-2024
6,Sirohi,Abu Road,Tomato,475,525,500,04-01-2024
7,Sirohi,Abu Road,Tomato,475,525,500,13-04-2024
8,Sirohi,Abu Road,Tomato,475,525,500,25-04-2024
9,Sirohi,Abu Road,Tomato,475,525,500,27-04-2024
10,Sirohi,Abu Road,Tomato,475,525,500,30-04-2024
11,Sirohi,Abu Road,Tomato,575,625,600,03-04-2024
12,Sirohi,Abu Road,Tomato,575,625,600,06-05-2024
13,Sirohi,Abu Road,Tomato,575,625,600,07-05-2024
14,Sirohi,Abu Road,Tomato,575,625,600,08-04-2024
15,Sirohi,Abu Road,Tomato,575,625,600,11-04-2024
16,Sirohi,Abu Road,Tomato,575,625,600,22-04-2024
17,Sirohi,Abu Road,Tomato,575,625,600,26-04-2024
18,Sirohi,Abu Road,Tomato,575,625,600,29-04-2024
19,Sirohi,Abu Road,Tomato,675,725,700,05-04-2024
20,Sirohi,Abu Road,Tomato,675,725,700,09-01-2024
21,Sirohi,Abu Road,Tomato,675,725,700,10-01-2024
22,Sirohi,Abu Road,Tomato,675,725,700,11-01-2024
23,Sirohi,Abu Road,Tomato,675,725,700,19-03-2024
24,Sirohi,Abu Road,Tomato,675,775,700,15-01-2024
25,Sirohi,Abu Road,Tomato,775,825,800,05-01-2024
26,Sirohi,Abu Road,Tomato,775,825,800,06-01-2024
27,Sirohi,Abu Road,Tomato,775,825,800,10-12-2024
28,Sirohi,Abu Road,Tomato,775,825,800,20-04-2024
29,Sirohi,Abu Road,Tomato,775,825,800,20-03-2024
30,Sirohi,Abu Road,Tomato,775,825,800,24-04-2024
31,Sirohi,Abu Road,Tomato,975,1025,1000,01-02-2024
32,Sirohi,Abu Road,Tomato,975,1025,1000,01-01-2025
33,Sirohi,Abu Road,Tomato,975,1025,1000,01-06-2024
34,Sirohi,Abu Road,Tomato,975,1025,1000,02-03-2024
35,Sirohi,Abu Road,Tomato,975,1025,1000,04-06-2024
36,Sirohi,Abu Road,Tomato,975,1025,1000,04-03-2024
37,Sirohi,Abu Road,Tomato,975,1025,1000,05-03-2024
38,Sirohi,Abu Road,Tomato,975,1025,1000,06-03-2024
39,Sirohi,Abu Road,Tomato,975,1025,1000,07-06-2024
40,Sirohi,Abu Road,Tomato,975,1025,1000,08-06-2024
41,Sirohi,Abu Road,Tomato,975,1025,1000,08-03-2024
42,Sirohi,Abu Road,Tomato,975,1025,1000,08-05-2024
43,Sirohi,Abu Road,Tomato,975,1025,1000,09-12-2024
44,Sirohi,Abu Road,Tomato,975,1025,1000,09-03-2024
45,Sirohi,Abu Road,Tomato,975,1025,1000,09-05-2024
46,Sirohi,Abu Road,Tomato,975,1025,1000,11-03-2024
47,Sirohi,Abu Road,Tomato,975,1025,1000,11-05-2024
48,Sirohi,Abu Road,Tomato,975,1025,1000,12-12-2024
49,Sirohi,Abu Road,Tomato,975,1025,1000,12-03-2024
50,Sirohi,Abu Road,Tomato,975,1025,1000,13-03-2024
51,Sirohi,Abu Road,Tomato,975,1025,1000,14-02-2024
52,Sirohi,Abu Road,Tomato,975,1025,1000,14-11-2024
53,Sirohi,Abu Road,Tomato,975,1025,1000,16-05-2024
54,Sirohi,Abu Road,Tomato,975,1025,1000,17-06-2024
55,Sirohi,Abu Road,Tomato,975,1025,1000,20-05-2024
56,Sirohi,Abu Road,Tomato,975,1025,1000,21-03-2024
57,Sirohi,Abu Road,Tomato,975,1025,1000,21-05-2024
58,Sirohi,Abu Road,Tomato,975,1025,1000,22-03-2024
59,Sirohi,Abu Road,Tomato,975,1025,1000,22-05-2024
60,Sirohi,Abu Road,Tomato,975,1025,1000,23-01-2024
61,Sirohi,Abu Road,Tomato,975,1025,1000,24-01-2024
62,Sirohi,Abu Road,Tomato,975,1025,1000,24-05-2024
63,Sirohi,Abu Road,Tomato,975,1025,1000,26-01-2024
64,Sirohi,Abu Road,Tomato,975,1025,1000,26-03-2024
65,Sirohi,Abu Road,Tomato,975,1025,1000,27-03-2024
66,Sirohi,Abu Road,Tomato,975,1025,1000,27-05-2024
67,Sirohi,Abu Road,Tomato,975,1025,1000,28-03-2024
68,Sirohi,Abu Road,Tomato,975,1025,1000,29-03-2024
69,Sirohi,Abu Road,Tomato,975,1025,1000,30-03-2024
70,Sirohi,Abu Road,Tomato,975,2025,2000,27-11-2024
71,Sirohi,Abu Road,Tomato,1075,1125,1100,05-06-2024
72,Sirohi,Abu Road,Tomato,1075,1125,1100,14-03-2024
73,Sirohi,Abu Road,Tomato,1075,1125,1100,14-05-2024
74,Sirohi,Abu Road,Tomato,1075,1125,1100,15-03-2024
75,Sirohi,Abu Road,Tomato,1075,1125,1100,16-03-2024
76,Sirohi,Abu Road,Tomato,1075,1125,1100,18-03-2024
77,Sirohi,Abu Road,Tomato,1075,1125,1100,19-06-2024
78,Sirohi,Abu Road,Tomato,1075,1125,1100,23-05-2024
79,Sirohi,Abu Road,Tomato,1075,1125,1100,29-05-2024
80,Sirohi,Abu Road,Tomato,1075,1125,1100,30-05-2024
81,Sirohi,Abu Road,Tomato,1175,1225,1200,01-03-2024
82,Sirohi,Abu Road,Tomato,1175,1225,1200,06-06-2024
83,Sirohi,Abu Road,Tomato,1175,1225,1200,10-06-2024
84,Sirohi,Abu Road,Tomato,1175,1225,1200,13-12-2024
85,Sirohi,Abu Road,Tomato,1175,1225,1200,16-02-2024
86,Sirohi,Abu Road,Tomato,1175,1225,1200,16-01-2024
87,Sirohi,Abu Road,Tomato,1175,1225,1200,17-02-2024
88,Sirohi,Abu Road,Tomato,1175,1225,1200,17-01-2024
89,Sirohi,Abu Road,Tomato,1175,1225,1200,17-05-2024
90,Sirohi,Abu Road,Tomato,1175,1225,1200,18-01-2024
91,Sirohi,Abu Road,Tomato,1175,1225,1200,19-02-2024
92,Sirohi,Abu Road,Tomato,1175,1225,1200,19-01-2024
93,Sirohi,Abu Road,Tomato,1175,1225,1200,20-01-2024
94,Sirohi,Abu Road,Tomato,1175,1225,1200,22-01-2024
95,Sirohi,Abu Road,Tomato,1175,1225,1200,27-01-2024
96,Sirohi,Abu Road,Tomato,1175,1225,1200,28-02-2024
97,Sirohi,Abu Road,Tomato,1175,1225,1200,30-01-2024
98,Sirohi,Abu Road,Tomato,1175,1225,1200,31-01-2024
99,Sirohi,Abu Road,Tomato,1175,1225,1200,31-03-2024
100,Sirohi,Abu Road,Tomato,1175,1225,1200,31-05-2024
101,Sirohi,Abu Road,Tomato,1275,1325,1300,03-06-2024
102,Sirohi,Abu Road,Tomato,1275,1325,1300,15-05-2024
103,Sirohi,Abu Road,Tomato,1275,1325,1300,28-05-2024
104,Sirohi,Abu Road,Tomato,1375,1425,1400,08-11-2024
105,Sirohi,Abu Road,Tomato,1425,1525,1500,21-02-2024
106,Sirohi,Abu Road,Tomato,1475,1525,1500,05-02-2024
107,Sirohi,Abu Road,Tomato,1475,1525,1500,07-11-2024
108,Sirohi,Abu Road,Tomato,1475,1525,1500,08-02-2024
109,Sirohi,Abu Road,Tomato,1475,1525,1500,09-02-2024
110,Sirohi,Abu Road,Tomato,1475,1525,1500,10-02-2024
111,Sirohi,Abu Road,Tomato,1475,1525,1500,10-09-2024
112,Sirohi,Abu Road,Tomato,1475,1525,1500,12-02-2024
113,Sirohi,Abu Road,Tomato,1475,1525,1500,15-06-2024
114,Sirohi,Abu Road,Tomato,1475,1525,1500,18-06-2024
115,Sirohi,Abu Road,Tomato,1475,1525,1500,20-02-2024
116,Sirohi,Abu Road,Tomato,1475,1525,1500,21-06-2024
117,Sirohi,Abu Road,Tomato,1475,1525,1500,22-02-2024
118,Sirohi,Abu Road,Tomato,1475,1525,1500,23-02-2024
119,Sirohi,Abu Road,Tomato,1475,1525,1500,24-02-2024
120,Sirohi,Abu Road,Tomato,1475,1525,1500,26-02-2024
121,Sirohi,Abu Road,Tomato,1475,1525,1500,27-02-2024
122,Sirohi,Abu Road,Tomato,1575,1625,1600,02-05-2024
123,Sirohi,Abu Road,Tomato,1675,1725,1700,06-02-2024
124,Sirohi,Abu Road,Tomato,1775,1825,1800,11-12-2024
125,Sirohi,Abu Road,Tomato,1775,1825,1800,17-07-2024
126,Sirohi,Abu Road,Tomato,1875,1925,1900,30-11-2024
127,Sirohi,Abu Road,Tomato,1975,2025,2000,03-12-2024
128,Sirohi,Abu Road,Tomato,1975,2025,2000,03-09-2024
129,Sirohi,Abu Road,Tomato,1975,2025,2000,04-12-2024
130,Sirohi,Abu Road,Tomato,1975,2025,2000,04-09-2024
131,Sirohi,Abu Road,Tomato,1975,2025,2000,05-12-2024
132,Sirohi,Abu Road,Tomato,1975,2025,2000,06-12-2024
133,Sirohi,Abu Road,Tomato,1975,2025,2000,07-12-2024
134,Sirohi,Abu Road,Tomato,1975,2025,2000,11-09-2024
135,Sirohi,Abu Road,Tomato,1975,2025,2000,25-06-2024
136,Sirohi,Abu Road,Tomato,1975,2025,2000,28-08-2024
137,Sirohi,Abu Road,Tomato,1975,2025,2000,28-06-2024
138,Sirohi,Abu Road,Tomato,1975,2025,2000,29-11-2024
139,Sirohi,Abu Road,Tomato,2175,2225,2200,12-09-2024
140,Sirohi,Abu Road,Tomato,2175,2225,2200,27-08-2024
141,Sirohi,Abu Road,Tomato,2175,2225,2200,28-11-2024
142,Sirohi,Abu Road,Tomato,2275,2325,2300,05-11-2024
143,Sirohi,Abu Road,Tomato,2275,2325,2300,26-08-2024
144,Sirohi,Abu Road,Tomato,2475,2525,2500,01-08-2024
145,Sirohi,Abu Road,Tomato,2475,2525,2500,02-12-2024
146,Sirohi,Abu Road,Tomato,2475,2525,2500,24-06-2024
147,Sirohi,Abu Road,Tomato,2675,2725,2700,06-08-2024
148,Sirohi,Abu Road,Tomato,2875,2925,2900,24-09-2024
149,Sirohi,Abu Road,Tomato,2975,3025,3000,06-07-2024
150,Sirohi,Abu Road,Tomato,2975,3025,3000,08-08-2024
151,Sirohi,Abu Road,Tomato,2975,3025,3000,10-07-2024
152,Sirohi,Abu Road,Tomato,2975,3025,3000,11-07-2024
153,Sirohi,Abu Road,Tomato,2975,3025,3000,26-07-2024
154,Sirohi,Abu Road,Tomato,2975,3025,3000,29-06-2024
155,Sirohi,Abu Road,Tomato,3275,3325,3300,05-07-2024
156,Sirohi,Abu Road,Tomato,3475,3525,3500,01-07-2024
157,Sirohi,Abu Road,Tomato,3475,3525,3500,02-09-2024
158,Sirohi,Abu Road,Tomato,3475,3525,3500,03-07-2024
159,Sirohi,Abu Road,Tomato,3475,3525,3500,04-07-2024
160,Sirohi,Abu Road,Tomato,3475,3525,3500,16-09-2024
161,Sirohi,Abu Road,Tomato,3475,3525,3500,19-09-2024
162,Sirohi,Abu Road,Tomato,3475,3525,3500,24-07-2024
163,Sirohi,Abu Road,Tomato,3975,4025,4000,13-07-2024
164,Sirohi,Abu Road,Tomato,4175,4225,4200,16-07-2024
165,Sirohi,Abu Road,Tomato,4175,4225,4200,18-07-2024
166,Sirohi,Abu Road,Tomato,4375,4425,4400,02-10-2024
167,Sirohi,Abu Road,Tomato,4475,4525,4500,15-07-2024
168,Sirohi,Abu Road,Tomato,4975,5025,5000,22-07-2024
