Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Thiruchirappalli,KKNagar(Uzhavar Sandhai ),Tomato,1500,2000,2000,21-12-2024
2,Thiruchirappalli,KKNagar(Uzhavar Sandhai ),Tomato,3000,4000,4000,25-09-2024
3,Thiruchirappalli,Lalgudi,Tomato,46,46,46,02-07-2024
4,Thiruchirappalli,Lalgudi,Tomato,46,46,46,04-07-2024
5,Thiruchirappalli,Lalgudi,Tomato,46,46,46,05-07-2024
6,Thiruchirappalli,Lalgudi,Tomato,46,46,46,07-07-2024
7,Thiruchirappalli,Lalgudi,Tomato,50,50,50,01-07-2024
8,Thiruchirappalli,Lalgudi,Tomato,50,50,50,03-07-2024
9,Thiruchirappalli,Lalgudi,Tomato,50,50,50,06-07-2024
10,Thiruchirappalli,Lalgudi,Tomato,50,50,50,28-06-2024
11,Thiruchirappalli,Lalgudi,Tomato,50,50,50,29-06-2024
12,Thiruchirappalli,Lalgudi,Tomato,50,50,50,30-06-2024
13,Thiruchirappalli,Lalgudi,Tomato,54,54,54,26-06-2024
14,Thiruchirappalli,Lalgudi,Tomato,56,56,56,27-06-2024
15,Thiruchirappalli,Lalgudi,Tomato,60,60,60,25-06-2024
16,Thiruchirappalli,Lalgudi,Tomato,74,74,74,21-06-2024
17,Thiruchirappalli,Lalgudi,Tomato,75,75,75,23-06-2024
18,Thiruchirappalli,Lalgudi,Tomato,75,75,75,24-06-2024
19,Thiruchirappalli,Lalgudi,Tomato,76,76,76,18-06-2024
20,Thiruchirappalli,Lalgudi,Tomato,76,76,76,22-06-2024
21,Thiruchirappalli,Lalgudi,Tomato,80,80,80,19-06-2024
22,Thiruchirappalli,Lalgudi,Tomato,80,80,80,20-06-2024
23,Thiruchirappalli,Lalgudi,Tomato,4600,4600,4600,08-07-2024
24,Thiruchirappalli,Lalgudi,Tomato,4600,4600,4600,09-07-2024
25,Thiruchirappalli,Lalgudi,Tomato,5000,5000,5000,10-07-2024
26,Thiruchirappalli,Lalgudi,Tomato,5400,5400,5400,11-07-2024
27,Thiruchirappalli,Lalgudi,Tomato,5400,5400,5400,12-07-2024
28,Thiruchirappalli,Lalgudi,Tomato,6500,6500,6500,13-07-2024
29,Thiruchirappalli,Lalgudi,Tomato,6800,6800,6800,14-07-2024
30,Thiruchirappalli,Lalgudi,Tomato,7400,7400,7400,15-07-2024
31,Thiruchirappalli,Lalgudi,Tomato,7600,7600,7600,16-07-2024
32,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ),Tomato,2000,2000,2000,01-01-2025
33,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ),Tomato,2000,2000,2000,01-09-2024
34,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ),Tomato,2000,2000,2000,20-12-2024
