Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Adilabad,Bhainsa,Turmeric,3686,5855,5356,02-04-2024
2,Adilabad,Bhainsa,Turmeric,4566,13118,9457,06-04-2024
3,Adilabad,Bhainsa,Turmeric,5766,11709,11007,06-03-2024
4,Adilabad,Bhainsa,Turmeric,6067,11266,8721,01-03-2024
5,Adilabad,Bhainsa,Turmeric,6807,12527,9827,05-03-2024
6,Adilabad,Bhainsa,Turmeric,7121,7121,7121,22-04-2024
7,Adilabad,Bhainsa,Turmeric,7171,7171,7171,28-05-2024
8,Adilabad,Bhainsa,Turmeric,7356,16169,7356,03-06-2024
9,Adilabad,Bhainsa,Turmeric,7701,16179,7701,04-06-2024
10,Adilabad,Bhainsa,Turmeric,7707,13504,12704,19-03-2024
11,Adilabad,Bhainsa,Turmeric,7804,7804,7804,23-02-2024
12,Adilabad,Bhainsa,Turmeric,8008,8008,8008,27-06-2024
13,Adilabad,Bhainsa,Turmeric,8506,8506,8506,20-04-2024
14,Adilabad,Bhainsa,Turmeric,8536,10823,10823,24-02-2024
15,Adilabad,Bhainsa,Turmeric,8566,13718,12818,03-04-2024
16,Adilabad,Bhainsa,Turmeric,8567,12000,11089,16-04-2024
17,Adilabad,Bhainsa,Turmeric,8577,8577,8577,25-04-2024
18,Adilabad,Bhainsa,Turmeric,9004,13304,10504,30-03-2024
19,Adilabad,Bhainsa,Turmeric,9009,12009,9009,07-03-2024
20,Adilabad,Bhainsa,Turmeric,9066,11566,11566,29-02-2024
21,Adilabad,Bhainsa,Turmeric,9501,9501,9501,13-06-2024
22,Adilabad,Bhainsa,Turmeric,9506,14907,14907,12-03-2024
23,Adilabad,Bhainsa,Turmeric,9566,9566,9566,10-06-2024
24,Adilabad,Bhainsa,Turmeric,9589,13709,12339,04-04-2024
25,Adilabad,Bhainsa,Turmeric,9809,13567,13009,27-03-2024
26,Adilabad,Bhainsa,Turmeric,10011,13780,13209,01-04-2024
27,Adilabad,Bhainsa,Turmeric,10561,12018,10561,24-04-2024
28,Adilabad,Bhainsa,Turmeric,10604,13005,12789,22-03-2024
29,Adilabad,Bhainsa,Turmeric,10839,13566,13566,20-03-2024
30,Adilabad,Bhainsa,Turmeric,10859,12309,12309,18-03-2024
31,Adilabad,Bhainsa,Turmeric,10889,11718,10889,10-04-2024
32,Adilabad,Bhainsa,Turmeric,10901,11014,10901,13-04-2024
33,Adilabad,Bhainsa,Turmeric,11529,13789,12689,03-05-2024
34,Adilabad,Bhainsa,Turmeric,11599,11599,11599,18-06-2024
35,Adilabad,Bhainsa,Turmeric,11639,14159,12059,13-03-2024
36,Adilabad,Bhainsa,Turmeric,11704,13808,12296,28-03-2024
37,Adilabad,Bhainsa,Turmeric,12007,13563,12563,15-03-2024
38,Adilabad,Bhainsa,Turmeric,12511,13504,12511,21-03-2024
39,Adilabad,Bhainsa,Turmeric,12587,13547,13307,16-03-2024
40,Adilabad,Bhainsa,Turmeric,12818,12818,12818,30-04-2024
41,Adilabad,Bhainsa,Turmeric,13057,16166,13057,07-06-2024
42,Adilabad,Bhainsa,Turmeric,13311,13311,13311,19-04-2024
43,Adilabad,Bhainsa,Turmeric,13318,13318,13318,26-03-2024
44,Adilabad,Bhainsa,Turmeric,16177,16177,16177,19-06-2024
45,Adilabad,Bhainsa,Turmeric,16500,16500,16500,20-06-2024
46,Adilabad,Bhainsa,Turmeric,16766,16766,16766,22-06-2024
47,Adilabad,Bhainsa,Turmeric,3867,5892,5686,02-04-2024
48,Adilabad,Bhainsa,Turmeric,6008,13418,12818,30-04-2024
49,Adilabad,Bhainsa,Turmeric,7036,7266,7266,22-04-2024
50,Adilabad,Bhainsa,Turmeric,7277,12899,12811,06-03-2024
51,Adilabad,Bhainsa,Turmeric,7289,13818,13293,03-06-2024
52,Adilabad,Bhainsa,Turmeric,7501,7696,7696,14-06-2024
53,Adilabad,Bhainsa,Turmeric,7566,12027,9689,25-04-2024
54,Adilabad,Bhainsa,Turmeric,7609,11944,11944,29-02-2024
55,Adilabad,Bhainsa,Turmeric,7689,11518,7689,24-04-2024
56,Adilabad,Bhainsa,Turmeric,7701,13389,13389,04-06-2024
57,Adilabad,Bhainsa,Turmeric,8004,13804,12804,30-03-2024
