Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Amethi,Jafarganj,Turmeric,18200,18300,18250,25-10-2024
2,Amethi,Jafarganj,Turmeric,18200,18350,18260,01-11-2024
3,Amethi,Jafarganj,Turmeric,18200,18400,18300,15-11-2024
4,Amethi,Jafarganj,Turmeric,18400,18600,18500,22-11-2024
5,Amethi,Jafarganj,Turmeric,18500,18700,18600,29-11-2024
6,Amethi,Jafarganj,Turmeric,19400,19600,19500,06-12-2024
7,Amethi,Jafarganj,Turmeric,19400,19600,19500,13-12-2024
8,Amethi,Jafarganj,Turmeric,19400,19600,19500,27-12-2024
9,Amethi,Jafarganj,Turmeric,19500,19600,19550,20-12-2024
10,Amethi,Jafarganj,Turmeric,20900,21100,21000,04-10-2024
11,Amethi,Jafarganj,Turmeric,20900,21100,21000,11-10-2024
12,Amethi,Jafarganj,Turmeric,20900,21100,21000,18-10-2024
