Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Cuddapah,Cuddapah,Turmeric,3119,10279,9789,09-01-2024
2,Cuddapah,Cuddapah,Turmeric,3880,3880,3880,28-02-2024
3,Cuddapah,Cuddapah,Turmeric,4045,10918,8825,01-02-2024
4,Cuddapah,Cuddapah,Turmeric,6115,9612,8142,22-02-2024
5,Cuddapah,Cuddapah,Turmeric,7075,10779,10489,08-02-2024
6,Cuddapah,Cuddapah,Turmeric,7148,7148,7148,02-02-2024
7,Cuddapah,Cuddapah,Turmeric,7169,10589,8559,26-02-2024
8,Cuddapah,Cuddapah,Turmeric,7869,10789,10629,12-02-2024
9,Cuddapah,Cuddapah,Turmeric,8209,10799,10529,09-02-2024
10,Cuddapah,Cuddapah,Turmeric,8562,10809,10212,21-02-2024
11,Cuddapah,Cuddapah,Turmeric,8789,8789,8789,27-02-2024
12,Cuddapah,Cuddapah,Turmeric,8789,8789,8789,31-01-2024
13,Cuddapah,Cuddapah,Turmeric,8800,10080,10080,12-01-2024
14,Cuddapah,Cuddapah,Turmeric,9079,10249,10229,11-01-2024
15,Cuddapah,Cuddapah,Turmeric,9689,9689,9689,04-03-2024
16,Cuddapah,Cuddapah,Turmeric,9879,11233,10725,23-02-2024
17,Cuddapah,Cuddapah,Turmeric,10239,10999,10789,15-02-2024
18,Cuddapah,Cuddapah,Turmeric,10300,10335,10335,20-02-2024
19,Cuddapah,Cuddapah,Turmeric,10400,10400,10400,08-01-2024
20,Cuddapah,Cuddapah,Turmeric,10430,10430,10430,10-01-2024
21,Cuddapah,Cuddapah,Turmeric,10515,11969,11835,29-02-2024
22,Cuddapah,Cuddapah,Turmeric,10592,12015,12015,01-03-2024
23,Cuddapah,Cuddapah,Turmeric,10865,10865,10865,14-02-2024
24,Cuddapah,Cuddapah,Turmeric,11112,12389,12115,05-03-2024
25,Cuddapah,Cuddapah,Turmeric,11712,13589,12200,06-03-2024
26,Cuddapah,Cuddapah,Turmeric,3012,11459,10245,08-02-2024
27,Cuddapah,Cuddapah,Turmeric,3012,11476,4512,09-02-2024
28,Cuddapah,Cuddapah,Turmeric,3119,10369,10309,09-01-2024
29,Cuddapah,Cuddapah,Turmeric,3225,9659,9579,26-02-2024
30,Cuddapah,Cuddapah,Turmeric,4019,11549,9699,21-02-2024
31,Cuddapah,Cuddapah,Turmeric,4465,13622,12812,05-03-2024
32,Cuddapah,Cuddapah,Turmeric,5348,9815,6815,02-02-2024
33,Cuddapah,Cuddapah,Turmeric,6115,10889,10822,31-01-2024
34,Cuddapah,Cuddapah,Turmeric,7060,11475,10725,23-02-2024
35,Cuddapah,Cuddapah,Turmeric,7800,10300,9885,10-01-2024
36,Cuddapah,Cuddapah,Turmeric,8272,11285,11125,12-02-2024
37,Cuddapah,Cuddapah,Turmeric,8612,11022,9292,01-02-2024
38,Cuddapah,Cuddapah,Turmeric,8879,11459,10835,15-02-2024
39,Cuddapah,Cuddapah,Turmeric,9089,9089,9089,27-02-2024
40,Cuddapah,Cuddapah,Turmeric,9269,9269,9269,11-01-2024
41,Cuddapah,Cuddapah,Turmeric,9269,9659,9315,12-01-2024
42,Cuddapah,Cuddapah,Turmeric,9565,11355,10509,22-02-2024
43,Cuddapah,Cuddapah,Turmeric,9888,10785,10155,13-02-2024
44,Cuddapah,Cuddapah,Turmeric,9889,9889,9889,14-02-2024
45,Cuddapah,Cuddapah,Turmeric,10339,10339,10339,08-01-2024
46,Cuddapah,Cuddapah,Turmeric,10379,12662,12652,01-03-2024
47,Cuddapah,Cuddapah,Turmeric,11466,11466,11466,20-02-2024
48,Cuddapah,Cuddapah,Turmeric,11555,14069,13362,06-03-2024
49,Cuddapah,Cuddapah,Turmeric,11752,12726,12222,29-02-2024
