Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Gonda,Gonda,Turmeric,12700,13500,13000,10-05-2024
2,Gonda,Gonda,Turmeric,12800,13600,13000,24-05-2024
3,Gonda,Gonda,Turmeric,12800,14000,13000,08-03-2024
4,Gonda,Gonda,Turmeric,13000,13700,13200,17-05-2024
5,Gonda,Gonda,Turmeric,13000,13700,13200,31-05-2024
6,Gonda,Gonda,Turmeric,13000,13800,13500,22-03-2024
7,Gonda,Gonda,Turmeric,13000,14000,13500,05-04-2024
8,Gonda,Gonda,Turmeric,13000,14000,13600,29-03-2024
9,Gonda,Gonda,Turmeric,13200,14000,13500,12-04-2024
10,Gonda,Gonda,Turmeric,13200,14000,13500,15-03-2024
11,Gonda,Gonda,Turmeric,13300,14000,13500,26-01-2024
12,Gonda,Gonda,Turmeric,13300,14000,13600,19-01-2024
13,Gonda,Gonda,Turmeric,13500,14200,13700,26-04-2024
14,Gonda,Gonda,Turmeric,13600,14400,13900,01-03-2024
15,Gonda,Gonda,Turmeric,13600,14500,14000,16-02-2024
16,Gonda,Gonda,Turmeric,13600,14500,14000,23-02-2024
17,Gonda,Gonda,Turmeric,13800,14400,14000,12-01-2024
18,Gonda,Gonda,Turmeric,13800,14500,14200,05-01-2024
19,Gonda,Gonda,Turmeric,13800,14600,14000,03-05-2024
20,Gonda,Gonda,Turmeric,14000,14600,14200,09-02-2024
21,Gonda,Gonda,Turmeric,14300,15000,14500,02-02-2024
22,Gonda,Gonda,Turmeric,14500,15400,15000,07-06-2024
23,Gonda,Gonda,Turmeric,14600,16000,15000,14-06-2024
24,Gonda,Gonda,Turmeric,16200,17500,16500,21-06-2024
25,Gonda,Gonda,Turmeric,18000,20000,19500,16-08-2024
26,Gonda,Gonda,Turmeric,18800,19800,19000,06-12-2024
27,Gonda,Gonda,Turmeric,19000,20000,19500,19-07-2024
28,Gonda,Gonda,Turmeric,19200,20500,19500,29-11-2024
29,Gonda,Gonda,Turmeric,19500,20600,20000,08-11-2024
30,Gonda,Gonda,Turmeric,19500,20600,20000,23-08-2024
31,Gonda,Gonda,Turmeric,19500,20800,20000,05-07-2024
32,Gonda,Gonda,Turmeric,19500,21000,20000,28-06-2024
33,Gonda,Gonda,Turmeric,19600,20500,20000,04-10-2024
34,Gonda,Gonda,Turmeric,20500,21500,21000,11-10-2024
35,Gonda,Gonda,Turmeric,20500,21500,21000,27-12-2024
36,Gonda,Gonda,Turmeric,20500,21600,21000,20-12-2024
37,Gonda,Gonda,Turmeric,20500,21800,21000,13-12-2024
38,Gonda,Gonda,Turmeric,20700,21500,21000,15-11-2024
39,Gonda,Gonda,Turmeric,20800,21600,21000,26-07-2024
40,Gonda,Gonda,Turmeric,20800,21700,21000,09-08-2024
41,Gonda,Gonda,Turmeric,21000,21800,21200,25-10-2024
42,Gonda,Gonda,Turmeric,21000,22000,21500,13-09-2024
43,Gonda,Gonda,Turmeric,21000,22000,21500,18-10-2024
44,Gonda,Gonda,Turmeric,21200,22000,21500,12-07-2024
45,Gonda,Gonda,Turmeric,21300,22000,21500,22-11-2024
46,Gonda,Gonda,Turmeric,21500,22500,21800,27-09-2024
47,Gonda,Gonda,Turmeric,21800,23000,22000,02-08-2024
