Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Hyderabad,Mahboob Manison,Turmeric,4000,7000,5000,30-04-2024
2,Hyderabad,Mahboob Manison,Turmeric,5000,7000,6000,13-04-2024
3,Hyderabad,Mahboob Manison,Turmeric,7000,11000,10000,25-05-2024
4,Hyderabad,Mahboob Manison,Turmeric,8000,12000,10000,26-03-2024
5,Hyderabad,Mahboob Manison,Turmeric,9000,11000,10000,27-02-2024
6,Hyderabad,Mahboob Manison,Turmeric,9000,12000,10000,01-03-2024
7,Hyderabad,Mahboob Manison,Turmeric,9000,12000,10000,10-04-2024
8,Hyderabad,Mahboob Manison,Turmeric,9000,12000,10000,11-03-2024
9,Hyderabad,Mahboob Manison,Turmeric,9000,12000,10000,22-04-2024
10,Hyderabad,Mahboob Manison,Turmeric,9000,12000,10000,23-04-2024
11,Hyderabad,Mahboob Manison,Turmeric,9000,12000,10000,23-05-2024
12,Hyderabad,Mahboob Manison,Turmeric,9000,12000,10000,24-04-2024
13,Hyderabad,Mahboob Manison,Turmeric,9000,12000,10000,27-03-2024
14,Hyderabad,Mahboob Manison,Turmeric,9000,12000,10000,28-03-2024
15,Hyderabad,Mahboob Manison,Turmeric,9000,12000,10000,29-05-2024
16,Hyderabad,Mahboob Manison,Turmeric,10000,17000,15000,12-07-2024
17,Hyderabad,Mahboob Manison,Turmeric,10000,17000,15000,30-08-2024
18,Hyderabad,Mahboob Manison,Turmeric,12000,17000,15000,07-10-2024
19,Hyderabad,Mahboob Manison,Turmeric,12000,17000,15000,13-06-2024
20,Hyderabad,Mahboob Manison,Turmeric,12000,17000,15000,17-12-2024
21,Hyderabad,Mahboob Manison,Turmeric,12000,17000,15000,24-12-2024
22,Hyderabad,Mahboob Manison,Turmeric,12000,17000,15000,26-06-2024
23,Hyderabad,Mahboob Manison,Turmeric,12000,17000,15000,31-12-2024
24,Hyderabad,Mahboob Manison,Turmeric,12000,17000,16000,04-06-2024
25,Hyderabad,Mahboob Manison,Turmeric,13000,17000,15000,03-09-2024
26,Hyderabad,Mahboob Manison,Turmeric,13000,17000,15000,19-10-2024
27,Hyderabad,Mahboob Manison,Turmeric,13000,17000,15000,21-09-2024
28,Hyderabad,Mahboob Manison,Turmeric,14000,17000,15000,11-09-2024
29,Hyderabad,Mahboob Manison,Turmeric,14000,17000,15000,18-12-2024
30,Hyderabad,Mahboob Manison,Turmeric,14000,17000,15000,19-12-2024
31,Hyderabad,Mahboob Manison,Turmeric,14000,17000,15000,20-09-2024
32,Hyderabad,Mahboob Manison,Turmeric,14000,17000,15000,25-10-2024
33,Hyderabad,Mahboob Manison,Turmeric,14000,17000,15000,29-11-2024
34,Hyderabad,Mahboob Manison,Turmeric,14000,18000,15000,09-11-2024
35,Hyderabad,Mahboob Manison,Turmeric,15000,18000,17000,21-10-2024
36,Hyderabad,Mahboob Manison,Turmeric,15000,18000,17000,23-10-2024
37,Hyderabad,Mahboob Manison,Turmeric,15000,22000,17000,09-05-2024
38,Hyderabad,Mahboob Manison,Turmeric,15000,22000,17500,03-05-2024
39,Hyderabad,Mahboob Manison,Turmeric,15000,22000,17500,04-05-2024
40,Hyderabad,Mahboob Manison,Turmeric,15000,22000,17500,14-05-2024
41,Hyderabad,Mahboob Manison,Turmeric,15000,22000,17500,15-05-2024
42,Hyderabad,Mahboob Manison,Turmeric,15500,22000,17500,06-05-2024
43,Hyderabad,Mahboob Manison,Turmeric,15500,22000,17500,07-05-2024
