Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Indore,Gautampura,Turmeric,14200,14200,14200,03-10-2024
2,Indore,Indore,Turmeric,16900,16900,16900,22-05-2024
3,Indore,Indore,Turmeric,21285,21285,21285,02-12-2024
4,Indore,Indore,Turmeric,23265,23265,23265,27-12-2024
5,Indore,Indore,Turmeric,23760,23760,23760,20-03-2024
6,Indore,Indore,Turmeric,23760,23760,23760,25-04-2024
7,Indore,Indore,Turmeric,25245,25245,25245,24-06-2024
8,Indore,Indore,Turmeric,143,143,143,11-05-2024
9,Indore,Indore,Turmeric,7000,7000,7000,23-12-2024
10,Indore,Indore,Turmeric,8786,9000,9000,15-11-2024
11,Indore,Indore,Turmeric,9000,9000,9000,04-03-2024
12,Indore,Indore,Turmeric,9000,9000,9000,18-11-2024
13,Indore,Indore,Turmeric,10000,10000,10000,04-12-2024
14,Indore,Indore,Turmeric,10000,10000,10000,15-09-2024
15,Indore,Indore,Turmeric,10000,10000,10000,26-04-2024
16,Indore,Indore,Turmeric,10000,10000,23760,20-03-2024
17,Indore,Indore,Turmeric,10000,10000,23760,25-04-2024
18,Indore,Indore,Turmeric,10000,15257,15257,09-04-2024
19,Indore,Indore,Turmeric,11000,11000,11000,18-03-2024
20,Indore,Indore,Turmeric,11300,11300,11300,28-12-2024
21,Indore,Indore,Turmeric,12000,12000,12000,15-06-2024
22,Indore,Indore,Turmeric,12000,12000,12000,27-04-2024
23,Indore,Indore,Turmeric,12570,12570,12570,11-11-2024
24,Indore,Indore,Turmeric,14675,14675,14675,29-10-2024
25,Indore,Indore,Turmeric,15350,15350,15350,19-04-2024
26,Indore,Indore,Turmeric,15900,15900,15900,24-05-2024
27,Indore,Indore,Turmeric,16786,16786,16786,22-10-2024
28,Indore,Indore,Turmeric,17491,17491,17491,13-11-2024
29,Indore,Indore,Turmeric,17526,24000,24000,30-08-2024
30,Indore,Indore,Turmeric,17695,17695,17695,23-11-2024
31,Indore,Indore,Turmeric,17820,17820,17820,28-10-2024
32,Indore,Indore,Turmeric,18050,21500,21500,05-12-2024
33,Indore,Indore,Turmeric,18468,18468,18468,06-05-2024
34,Indore,Indore,Turmeric,18700,18700,18700,04-04-2024
35,Indore,Indore,Turmeric,18840,18840,18840,21-05-2024
36,Indore,Indore,Turmeric,19000,25300,25300,08-05-2024
37,Indore,Indore,Turmeric,19500,19500,19500,22-03-2024
38,Indore,Indore,Turmeric,20357,20357,20357,30-04-2024
39,Indore,Indore,Turmeric,20519,20519,20519,07-05-2024
40,Indore,Indore,Turmeric,20519,25000,25000,15-05-2024
41,Indore,Indore,Turmeric,21300,22600,22600,24-12-2024
42,Indore,Indore,Turmeric,21500,21500,21500,12-09-2024
43,Indore,Indore,Turmeric,21500,21500,21500,28-09-2024
44,Indore,Indore,Turmeric,22000,22000,22000,11-03-2024
45,Indore,Indore,Turmeric,22077,22077,22077,09-09-2024
46,Indore,Indore,Turmeric,23000,23000,23000,03-04-2024
47,Indore,Indore,Turmeric,23900,23900,23900,20-11-2024
48,Indore,Indore,Turmeric,24000,24000,24000,03-09-2024
49,Indore,Indore,Turmeric,24000,24000,24000,09-10-2024
50,Indore,Indore,Turmeric,24000,24000,24000,12-03-2024
51,Indore,Indore,Turmeric,24000,24000,24000,14-10-2024
52,Indore,Indore,Turmeric,24000,24000,24000,16-11-2024
53,Indore,Indore,Turmeric,24000,24000,24000,17-09-2024
54,Indore,Indore,Turmeric,24000,24000,24000,21-10-2024
55,Indore,Indore,Turmeric,24000,24000,24000,30-10-2024
56,Indore,Indore,Turmeric,24195,24195,24195,19-03-2024
57,Indore,Indore,Turmeric,24453,24453,24453,12-06-2024
58,Indore,Indore,Turmeric,25000,25000,25000,29-06-2024
59,Indore,Sanwer,Turmeric,14800,14800,14800,12-11-2024
60,Indore,Sanwer,Turmeric,15700,15700,15700,23-10-2024
61,Indore,Sanwer,Turmeric,16400,16400,16400,29-08-2024
62,Indore,Sanwer,Turmeric,16400,16400,16400,30-08-2024
63,Indore,Sanwer,Turmeric,13625,13835,13835,02-12-2024
64,Indore,Sanwer,Turmeric,14033,14033,14033,31-12-2024
65,Indore,Sanwer,Turmeric,14200,14200,14200,10-09-2024
66,Indore,Sanwer,Turmeric,14231,14231,14231,07-10-2024
67,Indore,Sanwer,Turmeric,14924,14924,14924,15-10-2024
68,Indore,Sanwer,Turmeric,15500,15500,15500,30-08-2024
69,Indore,Sanwer,Turmeric,16000,16000,16000,08-07-2024
70,Indore,Sanwer,Turmeric,16508,16508,16508,30-04-2024
