Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Karimnagar,Gollapally,Turmeric,10000,12500,12000,10-04-2024
2,Karimnagar,Gollapally,Turmeric,9500,12500,12500,10-04-2024
3,Karimnagar,Jagtial,Turmeric,5000,9611,7500,10-04-2024
4,Karimnagar,Jagtial,Turmeric,5000,11400,10500,12-04-2024
5,Karimnagar,Jagtial,Turmeric,5000,11500,10000,16-04-2024
6,Karimnagar,Jagtial,Turmeric,5000,11800,10300,15-04-2024
7,Karimnagar,Jagtial,Turmeric,5000,12000,8911,21-03-2024
8,Karimnagar,Jagtial,Turmeric,5000,12000,9351,19-04-2024
9,Karimnagar,Jagtial,Turmeric,5000,12400,10816,30-03-2024
10,Karimnagar,Jagtial,Turmeric,5000,12500,9000,18-04-2024
11,Karimnagar,Jagtial,Turmeric,5000,12500,12200,01-04-2024
12,Karimnagar,Jagtial,Turmeric,5000,12501,9850,28-03-2024
13,Karimnagar,Jagtial,Turmeric,5000,12600,10400,15-03-2024
14,Karimnagar,Jagtial,Turmeric,5000,12800,12000,12-03-2024
15,Karimnagar,Jagtial,Turmeric,5000,13000,12100,19-03-2024
16,Karimnagar,Jagtial,Turmeric,5000,13001,12400,27-03-2024
17,Karimnagar,Jagtial,Turmeric,5000,13100,9800,14-03-2024
18,Karimnagar,Jagtial,Turmeric,5000,13100,13100,06-05-2024
19,Karimnagar,Jagtial,Turmeric,5000,13211,10100,22-03-2024
20,Karimnagar,Jagtial,Turmeric,5000,13500,10200,20-03-2024
21,Karimnagar,Jagtial,Turmeric,5000,14689,10023,13-03-2024
22,Karimnagar,Jagtial,Turmeric,5500,11500,11500,16-05-2024
23,Karimnagar,Jagtial,Turmeric,5555,12200,10000,04-04-2024
24,Karimnagar,Jagtial,Turmeric,6000,11500,10100,16-03-2024
25,Karimnagar,Jagtial,Turmeric,6000,12000,10600,06-04-2024
26,Karimnagar,Jagtial,Turmeric,6000,12000,12000,26-04-2024
27,Karimnagar,Jagtial,Turmeric,6200,8000,8000,02-03-2024
28,Karimnagar,Jagtial,Turmeric,7211,8271,8271,07-03-2024
29,Karimnagar,Jagtial,Turmeric,7305,10116,7761,05-03-2024
30,Karimnagar,Jagtial,Turmeric,7401,10511,9751,06-03-2024
31,Karimnagar,Jagtial,Turmeric,7500,10211,8500,22-04-2024
32,Karimnagar,Jagtial,Turmeric,7589,8181,7589,27-02-2024
33,Karimnagar,Jagtial,Turmeric,7700,10400,8200,04-03-2024
34,Karimnagar,Jagtial,Turmeric,8000,8000,8000,03-06-2024
35,Karimnagar,Jagtial,Turmeric,8000,8000,8000,27-04-2024
36,Karimnagar,Jagtial,Turmeric,8000,8751,8050,01-03-2024
37,Karimnagar,Jagtial,Turmeric,8001,8001,8001,07-06-2024
38,Karimnagar,Jagtial,Turmeric,8505,12205,9700,11-03-2024
39,Karimnagar,Jagtial,Turmeric,8600,11500,11500,02-05-2024
40,Karimnagar,Jagtial,Turmeric,8601,8601,8601,29-02-2024
41,Karimnagar,Jagtial,Turmeric,8611,8611,8611,23-02-2024
42,Karimnagar,Jagtial,Turmeric,9000,9000,9000,09-05-2024
43,Karimnagar,Jagtial,Turmeric,9000,10351,9000,24-04-2024
44,Karimnagar,Jagtial,Turmeric,9000,11000,9000,25-04-2024
45,Karimnagar,Jagtial,Turmeric,9011,9011,9011,20-05-2024
46,Karimnagar,Jagtial,Turmeric,9200,9200,9200,10-05-2024
47,Karimnagar,Jagtial,Turmeric,10011,10011,10011,12-07-2024
48,Karimnagar,Jagtial,Turmeric,10100,10100,10100,15-05-2024
49,Karimnagar,Jagtial,Turmeric,5000,12300,12100,16-04-2024
50,Karimnagar,Jagtial,Turmeric,5000,12600,11600,02-05-2024
51,Karimnagar,Jagtial,Turmeric,5000,14020,10501,15-03-2024
52,Karimnagar,Jagtial,Turmeric,5000,14100,12001,30-03-2024
53,Karimnagar,Jagtial,Turmeric,5000,14500,11900,20-03-2024
54,Karimnagar,Jagtial,Turmeric,5001,14001,10350,28-03-2024
