Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Mumbai,Mumbai,Turmeric,10000,16000,13000,19-07-2024
2,Mumbai,Mumbai,Turmeric,13000,27000,20000,08-08-2024
3,Mumbai,Mumbai,Turmeric,13000,27000,20000,24-06-2024
4,Mumbai,Mumbai,Turmeric,14000,18000,16000,01-02-2024
5,Mumbai,Mumbai,Turmeric,14000,19000,16500,02-09-2024
6,Mumbai,Mumbai,Turmeric,14000,19000,16500,03-09-2024
7,Mumbai,Mumbai,Turmeric,14000,19000,16500,04-09-2024
8,Mumbai,Mumbai,Turmeric,14000,19000,16500,05-09-2024
9,Mumbai,Mumbai,Turmeric,14000,19000,16500,06-09-2024
10,Mumbai,Mumbai,Turmeric,14000,19000,16500,10-09-2024
11,Mumbai,Mumbai,Turmeric,14000,19000,16500,11-09-2024
12,Mumbai,Mumbai,Turmeric,14000,19000,16500,14-08-2024
13,Mumbai,Mumbai,Turmeric,14000,19000,16500,20-08-2024
14,Mumbai,Mumbai,Turmeric,14000,19000,16500,21-08-2024
15,Mumbai,Mumbai,Turmeric,14000,19000,16500,22-08-2024
16,Mumbai,Mumbai,Turmeric,14000,19000,16500,23-08-2024
17,Mumbai,Mumbai,Turmeric,14000,19000,16500,24-08-2024
18,Mumbai,Mumbai,Turmeric,14000,19000,16500,26-08-2024
19,Mumbai,Mumbai,Turmeric,14000,19000,16500,28-08-2024
20,Mumbai,Mumbai,Turmeric,14000,19000,16500,29-08-2024
21,Mumbai,Mumbai,Turmeric,14000,19000,16500,30-08-2024
22,Mumbai,Mumbai,Turmeric,14000,19000,16500,31-08-2024
23,Mumbai,Mumbai,Turmeric,14000,20000,17000,01-10-2024
24,Mumbai,Mumbai,Turmeric,14000,20000,17000,03-12-2024
25,Mumbai,Mumbai,Turmeric,14000,20000,17000,03-10-2024
26,Mumbai,Mumbai,Turmeric,14000,20000,17000,04-12-2024
27,Mumbai,Mumbai,Turmeric,14000,20000,17000,04-10-2024
28,Mumbai,Mumbai,Turmeric,14000,20000,17000,05-12-2024
29,Mumbai,Mumbai,Turmeric,14000,20000,17000,05-11-2024
30,Mumbai,Mumbai,Turmeric,14000,20000,17000,06-12-2024
31,Mumbai,Mumbai,Turmeric,14000,20000,17000,07-12-2024
32,Mumbai,Mumbai,Turmeric,14000,20000,17000,07-11-2024
33,Mumbai,Mumbai,Turmeric,14000,20000,17000,08-11-2024
34,Mumbai,Mumbai,Turmeric,14000,20000,17000,09-12-2024
35,Mumbai,Mumbai,Turmeric,14000,20000,17000,09-11-2024
36,Mumbai,Mumbai,Turmeric,14000,20000,17000,09-10-2024
37,Mumbai,Mumbai,Turmeric,14000,20000,17000,10-12-2024
38,Mumbai,Mumbai,Turmeric,14000,20000,17000,10-10-2024
39,Mumbai,Mumbai,Turmeric,14000,20000,17000,11-12-2024
40,Mumbai,Mumbai,Turmeric,14000,20000,17000,11-10-2024
41,Mumbai,Mumbai,Turmeric,14000,20000,17000,12-12-2024
42,Mumbai,Mumbai,Turmeric,14000,20000,17000,12-11-2024
43,Mumbai,Mumbai,Turmeric,14000,20000,17000,12-09-2024
44,Mumbai,Mumbai,Turmeric,14000,20000,17000,13-12-2024
45,Mumbai,Mumbai,Turmeric,14000,20000,17000,13-11-2024
46,Mumbai,Mumbai,Turmeric,14000,20000,17000,13-09-2024
47,Mumbai,Mumbai,Turmeric,14000,20000,17000,14-12-2024
48,Mumbai,Mumbai,Turmeric,14000,20000,17000,14-11-2024
49,Mumbai,Mumbai,Turmeric,14000,20000,17000,14-09-2024
50,Mumbai,Mumbai,Turmeric,14000,20000,17000,15-11-2024
51,Mumbai,Mumbai,Turmeric,14000,20000,17000,15-10-2024
52,Mumbai,Mumbai,Turmeric,14000,20000,17000,16-11-2024
53,Mumbai,Mumbai,Turmeric,14000,20000,17000,16-10-2024
54,Mumbai,Mumbai,Turmeric,14000,20000,17000,17-10-2024
55,Mumbai,Mumbai,Turmeric,14000,20000,17000,18-11-2024
56,Mumbai,Mumbai,Turmeric,14000,20000,17000,19-11-2024
57,Mumbai,Mumbai,Turmeric,14000,20000,17000,19-10-2024
58,Mumbai,Mumbai,Turmeric,14000,20000,17000,19-09-2024
59,Mumbai,Mumbai,Turmeric,14000,20000,17000,20-09-2024
60,Mumbai,Mumbai,Turmeric,14000,20000,17000,21-11-2024
61,Mumbai,Mumbai,Turmeric,14000,20000,17000,21-09-2024
62,Mumbai,Mumbai,Turmeric,14000,20000,17000,22-11-2024
63,Mumbai,Mumbai,Turmeric,14000,20000,17000,22-10-2024
64,Mumbai,Mumbai,Turmeric,14000,20000,17000,23-11-2024
65,Mumbai,Mumbai,Turmeric,14000,20000,17000,23-09-2024
66,Mumbai,Mumbai,Turmeric,14000,20000,17000,24-10-2024
67,Mumbai,Mumbai,Turmeric,14000,20000,17000,25-10-2024
68,Mumbai,Mumbai,Turmeric,14000,20000,17000,26-11-2024
69,Mumbai,Mumbai,Turmeric,14000,20000,17000,26-10-2024
