Sl no.,District Name,Market Name,Commodity,Variety,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nanded,Bhokar,Turmeric,Other,9000,11500,10250,10-07-2024
2,Nanded,Bhokar,Turmeric,Other,10000,10000,10000,02-03-2024
3,Nanded,Bhokar,Turmeric,Other,10000,10700,10350,30-08-2024
4,Nanded,Bhokar,Turmeric,Other,10205,10605,10405,28-09-2024
5,Nanded,Bhokar,Turmeric,Other,10500,10500,10500,04-11-2024
6,Nanded,Bhokar,Turmeric,Other,10700,12600,11650,23-08-2024
7,Nanded,Bhokar,Turmeric,Other,11005,11250,11127,08-06-2024
8,Nanded,Bhokar,Turmeric,Other,11500,11500,11500,02-12-2024
9,Nanded,Bhokar,Turmeric,Other,11600,11700,11650,12-06-2024
10,Nanded,Bhokar,Turmeric,Other,12825,15000,13913,11-05-2024
11,Nanded,Bhokar,Turmeric,Other,13230,14888,14059,04-05-2024
12,Nanded,Bhokar,Turmeric,Other,13581,14000,13790,15-07-2024
13,Nanded,Bhokar,Turmeric,Other,13651,14800,14225,06-04-2024
14,Nanded,Bhokar,Turmeric,Other,13705,13775,13740,05-04-2024
15,Nanded,Bhokar,Turmeric,Other,13780,14005,13892,17-05-2024
16,Nanded,Bhokar,Turmeric,Other,13901,13901,13901,25-05-2024
17,Nanded,Bhokar,Turmeric,Other,14435,15002,14718,01-06-2024
18,Nanded,Bhokar,Turmeric,Other,14450,14550,14500,29-05-2024
19,Nanded,Bhokar,Turmeric,Other,14920,15711,15305,27-04-2024
20,Nanded,Kandhar,Turmeric,Other,9000,17000,14000,19-05-2024
21,Nanded,Kandhar,Turmeric,Other,11000,17000,14000,13-05-2024
22,Nanded,Kandhar,Turmeric,Other,12000,17000,15000,12-05-2024
23,Nanded,Kandhar,Turmeric,Other,15000,17000,16000,22-05-2024
24,Nanded,Kandhar,Turmeric,Other,15000,17500,16500,27-05-2024
25,Nanded,Loha,Turmeric,Rajapuri,4000,6550,6200,03-10-2024
26,Nanded,Loha,Turmeric,Rajapuri,5500,13711,12500,27-09-2024
27,Nanded,Loha,Turmeric,Rajapuri,6000,8000,6250,23-08-2024
28,Nanded,Loha,Turmeric,Rajapuri,6100,12000,10000,10-08-2024
29,Nanded,Loha,Turmeric,Rajapuri,6100,12500,7600,14-10-2024
30,Nanded,Loha,Turmeric,Rajapuri,6500,11400,10700,28-08-2024
31,Nanded,Loha,Turmeric,Rajapuri,6600,12961,11500,18-09-2024
32,Nanded,Loha,Turmeric,Rajapuri,7000,14600,10000,22-07-2024
33,Nanded,Loha,Turmeric,Rajapuri,7500,13400,12200,28-09-2024
34,Nanded,Loha,Turmeric,Rajapuri,7800,12301,9100,19-09-2024
35,Nanded,Loha,Turmeric,Rajapuri,8000,13400,12800,26-09-2024
36,Nanded,Loha,Turmeric,Rajapuri,8000,14325,14000,05-08-2024
37,Nanded,Loha,Turmeric,Rajapuri,8100,15001,14500,06-07-2024
38,Nanded,Loha,Turmeric,Rajapuri,8500,12800,11700,14-09-2024
39,Nanded,Loha,Turmeric,Rajapuri,8800,14300,10000,08-07-2024
40,Nanded,Loha,Turmeric,Rajapuri,8901,12600,10000,21-09-2024
41,Nanded,Loha,Turmeric,Rajapuri,8901,12980,11700,04-10-2024
42,Nanded,Loha,Turmeric,Rajapuri,9000,11801,11000,25-11-2024
43,Nanded,Loha,Turmeric,Rajapuri,9000,12400,10000,24-08-2024
44,Nanded,Loha,Turmeric,Rajapuri,9000,13100,11511,30-09-2024
45,Nanded,Loha,Turmeric,Rajapuri,9000,14200,13900,31-07-2024
46,Nanded,Loha,Turmeric,Rajapuri,9000,14711,10400,02-08-2024
47,Nanded,Loha,Turmeric,Rajapuri,9000,15351,14000,28-06-2024
48,Nanded,Loha,Turmeric,Rajapuri,9001,14100,13000,24-07-2024
49,Nanded,Loha,Turmeric,Rajapuri,9001,14300,14252,03-08-2024
50,Nanded,Loha,Turmeric,Rajapuri,9001,14900,11900,28-03-2024
51,Nanded,Loha,Turmeric,Rajapuri,9200,12811,11611,25-10-2024
