Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nizamabad,Nizamabad,Turmeric,7000,12026,9000,26-02-2024
2,Nizamabad,Nizamabad,Turmeric,7000,12236,10000,29-02-2024
3,Nizamabad,Nizamabad,Turmeric,7000,12375,9000,23-02-2024
4,Nizamabad,Nizamabad,Turmeric,7000,13642,12000,05-04-2024
5,Nizamabad,Nizamabad,Turmeric,7000,14039,12000,15-04-2024
6,Nizamabad,Nizamabad,Turmeric,7000,14050,12750,16-04-2024
7,Nizamabad,Nizamabad,Turmeric,7000,14229,12000,04-04-2024
8,Nizamabad,Nizamabad,Turmeric,7000,14270,13000,06-08-2024
9,Nizamabad,Nizamabad,Turmeric,7000,14500,11500,22-03-2024
10,Nizamabad,Nizamabad,Turmeric,7000,14592,13700,26-07-2024
11,Nizamabad,Nizamabad,Turmeric,7000,14666,11000,21-03-2024
12,Nizamabad,Nizamabad,Turmeric,7000,14682,11750,27-03-2024
13,Nizamabad,Nizamabad,Turmeric,7000,14811,12000,15-03-2024
14,Nizamabad,Nizamabad,Turmeric,7000,15095,14659,27-06-2024
15,Nizamabad,Nizamabad,Turmeric,7001,12350,9500,27-02-2024
16,Nizamabad,Nizamabad,Turmeric,7001,15509,14250,21-06-2024
17,Nizamabad,Nizamabad,Turmeric,7006,11511,11306,05-11-2024
18,Nizamabad,Nizamabad,Turmeric,7006,14301,12760,05-08-2024
19,Nizamabad,Nizamabad,Turmeric,7006,14889,11500,20-03-2024
20,Nizamabad,Nizamabad,Turmeric,7009,13500,11500,03-04-2024
21,Nizamabad,Nizamabad,Turmeric,7009,14166,11500,01-04-2024
22,Nizamabad,Nizamabad,Turmeric,7009,14622,11500,19-03-2024
23,Nizamabad,Nizamabad,Turmeric,7009,15288,14500,10-06-2024
24,Nizamabad,Nizamabad,Turmeric,7055,12029,10000,28-02-2024
25,Nizamabad,Nizamabad,Turmeric,7106,13255,10706,24-09-2024
26,Nizamabad,Nizamabad,Turmeric,7106,15418,14000,21-05-2024
27,Nizamabad,Nizamabad,Turmeric,7116,12512,10000,01-03-2024
28,Nizamabad,Nizamabad,Turmeric,7127,14000,11500,12-04-2024
29,Nizamabad,Nizamabad,Turmeric,7169,13700,11250,02-04-2024
30,Nizamabad,Nizamabad,Turmeric,7227,13555,13055,12-07-2024
31,Nizamabad,Nizamabad,Turmeric,7227,15678,13500,12-03-2024
32,Nizamabad,Nizamabad,Turmeric,7506,12506,11880,17-12-2024
33,Nizamabad,Nizamabad,Turmeric,7506,13622,12306,23-09-2024
34,Nizamabad,Nizamabad,Turmeric,7600,12116,11206,04-11-2024
35,Nizamabad,Nizamabad,Turmeric,7700,13051,12209,18-12-2024
36,Nizamabad,Nizamabad,Turmeric,7860,12800,10891,27-08-2024
37,Nizamabad,Nizamabad,Turmeric,8000,12506,12306,19-09-2024
38,Nizamabad,Nizamabad,Turmeric,8000,12506,12306,20-09-2024
39,Nizamabad,Nizamabad,Turmeric,8000,12511,11558,11-09-2024
40,Nizamabad,Nizamabad,Turmeric,8000,12779,12611,08-08-2024
41,Nizamabad,Nizamabad,Turmeric,8000,13059,11000,06-03-2024
42,Nizamabad,Nizamabad,Turmeric,8000,13338,12666,25-09-2024
43,Nizamabad,Nizamabad,Turmeric,8000,13696,12400,09-07-2024
44,Nizamabad,Nizamabad,Turmeric,8000,14039,12500,08-07-2024
45,Nizamabad,Nizamabad,Turmeric,8000,14510,13500,03-07-2024
46,Nizamabad,Nizamabad,Turmeric,8000,14810,13250,01-07-2024
47,Nizamabad,Nizamabad,Turmeric,8000,15860,14506,29-05-2024
48,Nizamabad,Nizamabad,Turmeric,8001,11911,9475,20-12-2024
49,Nizamabad,Nizamabad,Turmeric,8001,15606,14500,03-06-2024
50,Nizamabad,Nizamabad,Turmeric,8002,13001,12526,11-12-2024
51,Nizamabad,Nizamabad,Turmeric,8006,9360,8506,14-10-2024
52,Nizamabad,Nizamabad,Turmeric,8006,11520,11200,05-09-2024
53,Nizamabad,Nizamabad,Turmeric,8006,12389,11010,18-11-2024
54,Nizamabad,Nizamabad,Turmeric,8006,12861,12414,29-11-2024
55,Nizamabad,Nizamabad,Turmeric,8006,12869,10588,16-08-2024
56,Nizamabad,Nizamabad,Turmeric,8006,13000,12300,23-08-2024
57,Nizamabad,Nizamabad,Turmeric,8006,13131,12450,12-12-2024
58,Nizamabad,Nizamabad,Turmeric,8006,13292,11500,03-12-2024
59,Nizamabad,Nizamabad,Turmeric,8006,14020,12111,22-07-2024
60,Nizamabad,Nizamabad,Turmeric,8009,14769,13250,15-05-2024
61,Nizamabad,Nizamabad,Turmeric,8009,14900,13000,10-07-2024
62,Nizamabad,Nizamabad,Turmeric,8009,15000,13500,13-08-2024
63,Nizamabad,Nizamabad,Turmeric,8009,15815,14500,12-06-2024
64,Nizamabad,Nizamabad,Turmeric,8011,11888,11871,12-09-2024
65,Nizamabad,Nizamabad,Turmeric,8011,15029,14000,25-06-2024
66,Nizamabad,Nizamabad,Turmeric,8027,15069,14000,04-06-2024
67,Nizamabad,Nizamabad,Turmeric,8055,15585,14000,09-05-2024
68,Nizamabad,Nizamabad,Turmeric,8056,13636,12500,19-07-2024
69,Nizamabad,Nizamabad,Turmeric,8078,16111,14500,29-04-2024
70,Nizamabad,Nizamabad,Turmeric,8088,16484,14250,30-04-2024
71,Nizamabad,Nizamabad,Turmeric,8099,16680,14500,22-05-2024
72,Nizamabad,Nizamabad,Turmeric,8109,16111,14000,18-04-2024
73,Nizamabad,Nizamabad,Turmeric,8112,13800,13525,25-07-2024
74,Nizamabad,Nizamabad,Turmeric,8127,14626,13900,18-07-2024
75,Nizamabad,Nizamabad,Turmeric,8169,13811,11500,05-03-2024
76,Nizamabad,Nizamabad,Turmeric,8189,15240,14000,24-06-2024
77,Nizamabad,Nizamabad,Turmeric,8211,15091,13750,10-05-2024
78,Nizamabad,Nizamabad,Turmeric,8226,15600,13000,13-03-2024
79,Nizamabad,Nizamabad,Turmeric,8299,16110,14500,30-05-2024
80,Nizamabad,Nizamabad,Turmeric,8500,16025,8500,02-05-2024
81,Nizamabad,Nizamabad,Turmeric,8509,16111,15000,26-04-2024
82,Nizamabad,Nizamabad,Turmeric,8527,14235,13111,11-07-2024
83,Nizamabad,Nizamabad,Turmeric,8599,15160,13500,20-05-2024
84,Nizamabad,Nizamabad,Turmeric,8616,16099,15000,24-04-2024
85,Nizamabad,Nizamabad,Turmeric,8629,16189,15000,28-05-2024
86,Nizamabad,Nizamabad,Turmeric,8689,15839,14500,19-04-2024
87,Nizamabad,Nizamabad,Turmeric,8699,12501,11006,06-11-2024
88,Nizamabad,Nizamabad,Turmeric,9000,9000,9000,13-09-2024
89,Nizamabad,Nizamabad,Turmeric,9000,13411,9191,09-08-2024
90,Nizamabad,Nizamabad,Turmeric,9000,13966,13825,23-07-2024
91,Nizamabad,Nizamabad,Turmeric,9000,16111,14750,25-04-2024
92,Nizamabad,Nizamabad,Turmeric,9006,13600,12289,22-08-2024
93,Nizamabad,Nizamabad,Turmeric,9006,14027,13066,12-08-2024
94,Nizamabad,Nizamabad,Turmeric,9006,14200,12500,31-07-2024
95,Nizamabad,Nizamabad,Turmeric,9009,14755,14085,28-06-2024
96,Nizamabad,Nizamabad,Turmeric,9009,15800,14500,03-05-2024
97,Nizamabad,Nizamabad,Turmeric,9027,15029,14000,26-06-2024
98,Nizamabad,Nizamabad,Turmeric,9027,15615,14250,19-06-2024
99,Nizamabad,Nizamabad,Turmeric,9060,14620,12589,04-07-2024
100,Nizamabad,Nizamabad,Turmeric,9099,15889,14500,23-05-2024
101,Nizamabad,Nizamabad,Turmeric,9126,12700,11606,04-12-2024
102,Nizamabad,Nizamabad,Turmeric,9191,14889,13600,02-07-2024
103,Nizamabad,Nizamabad,Turmeric,9506,12392,11828,19-12-2024
104,Nizamabad,Nizamabad,Turmeric,9506,13737,12689,07-08-2024
105,Nizamabad,Nizamabad,Turmeric,9595,15528,14250,14-06-2024
106,Nizamabad,Nizamabad,Turmeric,9605,13100,10850,10-09-2024
107,Nizamabad,Nizamabad,Turmeric,9699,15139,13750,14-05-2024
108,Nizamabad,Nizamabad,Turmeric,9806,12925,11500,23-12-2024
109,Nizamabad,Nizamabad,Turmeric,10000,15800,14500,20-06-2024
110,Nizamabad,Nizamabad,Turmeric,10006,12222,10306,28-08-2024
111,Nizamabad,Nizamabad,Turmeric,10006,15439,14525,11-06-2024
112,Nizamabad,Nizamabad,Turmeric,10006,15516,14250,13-06-2024
113,Nizamabad,Nizamabad,Turmeric,10111,12700,10779,05-12-2024
114,Nizamabad,Nizamabad,Turmeric,10160,13333,11106,09-12-2024
115,Nizamabad,Nizamabad,Turmeric,10309,15325,14000,18-06-2024
116,Nizamabad,Nizamabad,Turmeric,10316,12495,12495,24-12-2024
117,Nizamabad,Nizamabad,Turmeric,10400,13959,12692,21-08-2024
118,Nizamabad,Nizamabad,Turmeric,10400,14711,13333,16-05-2024
119,Nizamabad,Nizamabad,Turmeric,10503,12950,12750,16-12-2024
120,Nizamabad,Nizamabad,Turmeric,10606,12459,12100,28-11-2024
121,Nizamabad,Nizamabad,Turmeric,10811,14720,13750,17-05-2024
122,Nizamabad,Nizamabad,Turmeric,10827,15611,14810,07-06-2024
123,Nizamabad,Nizamabad,Turmeric,11006,11506,11451,19-11-2024
124,Nizamabad,Nizamabad,Turmeric,11006,12828,12210,21-11-2024
125,Nizamabad,Nizamabad,Turmeric,11006,12922,12622,31-12-2024
126,Nizamabad,Nizamabad,Turmeric,11006,15166,13750,05-06-2024
127,Nizamabad,Nizamabad,Turmeric,11111,13092,12900,26-09-2024
128,Nizamabad,Nizamabad,Turmeric,11206,11206,11206,04-10-2024
129,Nizamabad,Nizamabad,Turmeric,11306,12500,11650,06-12-2024
130,Nizamabad,Nizamabad,Turmeric,11500,12611,12306,27-09-2024
131,Nizamabad,Nizamabad,Turmeric,11506,16566,15000,27-05-2024
132,Nizamabad,Nizamabad,Turmeric,11626,12530,11858,02-12-2024
133,Nizamabad,Nizamabad,Turmeric,12006,15729,14750,31-05-2024
134,Nizamabad,Nizamabad,Turmeric,12051,12051,12051,27-12-2024
135,Nizamabad,Nizamabad,Turmeric,12061,13000,13000,13-12-2024
136,Nizamabad,Nizamabad,Turmeric,12396,15626,14500,24-05-2024
137,Nizamabad,Nizamabad,Turmeric,12692,12951,12692,10-12-2024
138,Nizamabad,Nizamabad,Turmeric,8000,13300,12000,20-12-2024
139,Nizamabad,Nizamabad,Turmeric,8000,13469,11000,27-02-2024
140,Nizamabad,Nizamabad,Turmeric,8000,13536,11000,23-02-2024
141,Nizamabad,Nizamabad,Turmeric,8000,13672,11000,26-02-2024
142,Nizamabad,Nizamabad,Turmeric,8000,13800,13400,17-08-2024
143,Nizamabad,Nizamabad,Turmeric,8000,14100,13000,23-08-2024
144,Nizamabad,Nizamabad,Turmeric,8000,14255,11500,28-02-2024
145,Nizamabad,Nizamabad,Turmeric,8000,14260,10400,12-12-2024
146,Nizamabad,Nizamabad,Turmeric,8000,14611,11500,29-02-2024
147,Nizamabad,Nizamabad,Turmeric,8000,14880,14550,25-09-2024
148,Nizamabad,Nizamabad,Turmeric,8000,15000,13500,19-07-2024
149,Nizamabad,Nizamabad,Turmeric,8000,15000,14000,12-07-2024
150,Nizamabad,Nizamabad,Turmeric,8000,15011,14120,09-07-2024
151,Nizamabad,Nizamabad,Turmeric,8000,15182,12000,01-03-2024
152,Nizamabad,Nizamabad,Turmeric,8000,15339,14055,03-07-2024
153,Nizamabad,Nizamabad,Turmeric,8000,15389,14300,26-07-2024
154,Nizamabad,Nizamabad,Turmeric,8000,15500,14170,19-09-2024
155,Nizamabad,Nizamabad,Turmeric,8000,15500,14170,20-09-2024
156,Nizamabad,Nizamabad,Turmeric,8000,15511,14200,07-08-2024
157,Nizamabad,Nizamabad,Turmeric,8000,15539,14255,05-08-2024
158,Nizamabad,Nizamabad,Turmeric,8000,15540,14500,31-07-2024
159,Nizamabad,Nizamabad,Turmeric,8000,15555,12500,05-03-2024
160,Nizamabad,Nizamabad,Turmeric,8000,15671,14000,04-07-2024
161,Nizamabad,Nizamabad,Turmeric,8000,15825,12500,06-03-2024
