Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Parbhani,Jintur,Turmeric,1200,14300,13800,02-07-2024
2,Parbhani,Jintur,Turmeric,8500,9105,8500,17-01-2024
3,Parbhani,Jintur,Turmeric,10400,12000,11000,02-11-2024
4,Parbhani,Jintur,Turmeric,10800,13300,10800,30-09-2024
5,Parbhani,Jintur,Turmeric,11000,16900,15500,03-05-2024
6,Parbhani,Jintur,Turmeric,11500,12400,11800,20-09-2024
7,Parbhani,Jintur,Turmeric,11800,12380,12050,28-08-2024
8,Parbhani,Jintur,Turmeric,11870,12500,11870,06-09-2024
9,Parbhani,Jintur,Turmeric,12000,12000,12000,14-10-2024
10,Parbhani,Jintur,Turmeric,12000,15000,14000,02-08-2024
11,Parbhani,Jintur,Turmeric,12000,15001,14100,15-04-2024
12,Parbhani,Jintur,Turmeric,12500,13500,12500,13-03-2024
13,Parbhani,Jintur,Turmeric,12700,12700,12700,11-10-2024
14,Parbhani,Jintur,Turmeric,12800,15505,13500,05-06-2024
15,Parbhani,Jintur,Turmeric,13000,14700,13705,03-04-2024
16,Parbhani,Jintur,Turmeric,13000,15000,13000,14-03-2024
17,Parbhani,Jintur,Turmeric,13000,15300,14700,02-04-2024
18,Parbhani,Jintur,Turmeric,13000,15550,13500,01-06-2024
19,Parbhani,Jintur,Turmeric,13200,13200,13200,13-04-2024
20,Parbhani,Jintur,Turmeric,13350,14000,13350,31-07-2024
21,Parbhani,Jintur,Turmeric,13500,14000,13500,16-07-2024
22,Parbhani,Jintur,Turmeric,13500,15000,14000,18-05-2024
23,Parbhani,Jintur,Turmeric,13500,15100,14500,18-06-2024
24,Parbhani,Jintur,Turmeric,13500,15700,14500,15-05-2024
25,Parbhani,Jintur,Turmeric,13500,16500,15500,25-05-2024
26,Parbhani,Jintur,Turmeric,13550,14750,14500,07-06-2024
27,Parbhani,Jintur,Turmeric,13600,13600,13600,29-07-2024
28,Parbhani,Jintur,Turmeric,13600,14000,13600,05-08-2024
29,Parbhani,Jintur,Turmeric,14000,14300,14000,15-06-2024
30,Parbhani,Jintur,Turmeric,14000,15000,14700,05-04-2024
31,Parbhani,Jintur,Turmeric,14000,15050,14600,01-04-2024
32,Parbhani,Jintur,Turmeric,14000,15300,14500,03-06-2024
33,Parbhani,Jintur,Turmeric,14000,15300,14500,21-05-2024
34,Parbhani,Jintur,Turmeric,14000,15700,14500,14-05-2024
35,Parbhani,Jintur,Turmeric,14000,15700,15000,13-05-2024
36,Parbhani,Jintur,Turmeric,14000,16000,15000,11-05-2024
37,Parbhani,Jintur,Turmeric,14000,16500,15000,09-05-2024
38,Parbhani,Jintur,Turmeric,14025,15500,14500,20-05-2024
39,Parbhani,Jintur,Turmeric,14100,15600,14100,12-03-2024
40,Parbhani,Jintur,Turmeric,14500,15200,14500,15-03-2024
41,Parbhani,Jintur,Turmeric,14500,15700,15000,29-04-2024
42,Parbhani,Jintur,Turmeric,14500,16490,15350,27-05-2024
43,Parbhani,Jintur,Turmeric,14600,15400,14600,26-03-2024
44,Parbhani,Jintur,Turmeric,14600,15800,14600,27-03-2024
45,Parbhani,Jintur,Turmeric,14700,15825,15180,06-05-2024
46,Parbhani,Jintur,Turmeric,14700,16000,15010,22-05-2024
47,Parbhani,Jintur,Turmeric,14700,16200,15300,07-05-2024
48,Parbhani,Jintur,Turmeric,14700,17000,15650,24-04-2024
49,Parbhani,Jintur,Turmeric,14800,16050,15350,24-05-2024
50,Parbhani,Jintur,Turmeric,15000,15000,15000,17-05-2024
51,Parbhani,Jintur,Turmeric,15000,15000,15000,31-05-2024
52,Parbhani,Jintur,Turmeric,15000,17000,16000,02-05-2024
53,Parbhani,Jintur,Turmeric,15025,15025,15025,19-03-2024
54,Parbhani,Jintur,Turmeric,15100,16000,15500,30-05-2024
55,Parbhani,Jintur,Turmeric,15100,16500,15800,30-04-2024
56,Parbhani,Jintur,Turmeric,15300,16500,16000,28-05-2024
57,Parbhani,Jintur,Turmeric,15400,15700,15510,29-05-2024
58,Parbhani,Jintur,Turmeric,14450,15675,14450,23-03-2024
59,Parbhani,Purna,Turmeric,10000,16000,14320,29-04-2024
60,Parbhani,Purna,Turmeric,13000,14880,14610,07-06-2024
61,Parbhani,Purna,Turmeric,13210,17001,15770,03-04-2024
62,Parbhani,Purna,Turmeric,13500,15180,14000,15-05-2024
63,Parbhani,Purna,Turmeric,13510,14320,14310,31-07-2024
64,Parbhani,Purna,Turmeric,13700,15000,14500,16-05-2024
65,Parbhani,Purna,Turmeric,13800,14810,14500,09-04-2024
66,Parbhani,Purna,Turmeric,13800,15200,14900,08-05-2024
67,Parbhani,Purna,Turmeric,13800,15700,15000,11-06-2024
68,Parbhani,Purna,Turmeric,13800,15770,15300,09-05-2024
69,Parbhani,Purna,Turmeric,13900,16200,15900,29-05-2024
70,Parbhani,Purna,Turmeric,14010,15210,14930,20-05-2024
71,Parbhani,Purna,Turmeric,14150,14500,14200,03-07-2024
72,Parbhani,Purna,Turmeric,14300,15000,14800,05-06-2024
73,Parbhani,Purna,Turmeric,14390,15210,14900,15-06-2024
74,Parbhani,Purna,Turmeric,14500,16280,15810,28-05-2024
75,Parbhani,Purna,Turmeric,14500,17900,16300,27-05-2024
76,Parbhani,Purna,Turmeric,14690,15460,15000,10-06-2024
77,Parbhani,Purna,Turmeric,14700,15500,15200,12-06-2024
78,Parbhani,Purna,Turmeric,14900,16300,15800,30-05-2024
79,Parbhani,Shree Salasar Krushi Bazar ,Turmeric,7000,15000,14500,31-05-2024
80,Parbhani,Shree Salasar Krushi Bazar ,Turmeric,14100,14100,14100,27-05-2024
