Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sangli,Sangli,Turmeric,6500,11800,9150,19-01-2024
2,Sangli,Sangli,Turmeric,7500,13000,10250,05-01-2024
3,Sangli,Sangli,Turmeric,7500,14600,11050,29-01-2024
4,Sangli,Sangli,Turmeric,8000,16000,12000,24-01-2024
5,Sangli,Sangli,Turmeric,10000,14775,12388,16-10-2024
6,Sangli,Sangli,Turmeric,10050,13200,11625,28-08-2024
7,Sangli,Sangli,Turmeric,10500,31000,20750,02-02-2024
8,Sangli,Sangli,Turmeric,11000,18000,14500,24-07-2024
9,Sangli,Sangli,Turmeric,11500,17660,14580,26-07-2024
10,Sangli,Sangli,Turmeric,12000,13425,12713,14-10-2024
11,Sangli,Sangli,Turmeric,12000,15800,13900,04-11-2024
12,Sangli,Sangli,Turmeric,12000,25800,18900,17-02-2024
13,Sangli,Sangli,Turmeric,12300,15700,14000,09-09-2024
14,Sangli,Sangli,Turmeric,12500,17050,14775,12-07-2024
15,Sangli,Sangli,Turmeric,12900,17600,15250,09-03-2024
16,Sangli,Sangli,Turmeric,13000,19000,16000,01-01-2025
17,Sangli,Sangli,Turmeric,13100,14900,14000,11-10-2024
18,Sangli,Sangli,Turmeric,13100,19000,16050,25-09-2024
19,Sangli,Sangli,Turmeric,13200,35000,24100,06-03-2024
20,Sangli,Sangli,Turmeric,13300,18000,15650,10-07-2024
21,Sangli,Sangli,Turmeric,13500,17600,15550,01-07-2024
22,Sangli,Sangli,Turmeric,13500,18100,15800,08-07-2024
23,Sangli,Sangli,Turmeric,13500,22000,17750,06-04-2024
24,Sangli,Sangli,Turmeric,13500,27000,20250,04-03-2024
25,Sangli,Sangli,Turmeric,13500,29000,21250,07-03-2024
26,Sangli,Sangli,Turmeric,13800,18000,15900,03-07-2024
27,Sangli,Sangli,Turmeric,14000,16350,15175,09-10-2024
28,Sangli,Sangli,Turmeric,14000,18100,16050,15-05-2024
29,Sangli,Sangli,Turmeric,14000,22000,18000,22-04-2024
30,Sangli,Sangli,Turmeric,14000,24000,19000,01-03-2024
31,Sangli,Sangli,Turmeric,14000,31000,22500,29-02-2024
32,Sangli,Sangli,Turmeric,14100,21000,17550,25-04-2024
33,Sangli,Sangli,Turmeric,14200,20300,17250,17-05-2024
34,Sangli,Sangli,Turmeric,14200,22000,18100,24-04-2024
35,Sangli,Sangli,Turmeric,14400,20010,17205,14-05-2024
36,Sangli,Sangli,Turmeric,14500,19000,16750,21-06-2024
37,Sangli,Sangli,Turmeric,14500,19900,17200,09-05-2024
38,Sangli,Sangli,Turmeric,14500,20200,17350,13-05-2024
39,Sangli,Sangli,Turmeric,14500,20500,17500,18-05-2024
40,Sangli,Sangli,Turmeric,14500,20600,17550,26-06-2024
41,Sangli,Sangli,Turmeric,14500,21100,17800,29-04-2024
42,Sangli,Sangli,Turmeric,14500,21300,17900,16-05-2024
43,Sangli,Sangli,Turmeric,14500,21600,18050,26-04-2024
44,Sangli,Sangli,Turmeric,14500,22000,18250,11-05-2024
45,Sangli,Sangli,Turmeric,14700,22300,18500,30-04-2024
46,Sangli,Sangli,Turmeric,14700,32000,23350,02-03-2024
47,Sangli,Sangli,Turmeric,14800,26200,20500,15-03-2024
48,Sangli,Sangli,Turmeric,15000,18410,16705,14-06-2024
49,Sangli,Sangli,Turmeric,15000,21050,18025,15-04-2024
50,Sangli,Sangli,Turmeric,15000,25000,20000,22-03-2024
51,Sangli,Sangli,Turmeric,15000,26000,20500,13-03-2024
52,Sangli,Sangli,Turmeric,15000,35000,25000,14-03-2024
53,Sangli,Sangli,Turmeric,15200,22000,18600,16-03-2024
54,Sangli,Sangli,Turmeric,15300,23500,19400,19-04-2024
55,Sangli,Sangli,Turmeric,15400,25200,20300,18-03-2024
56,Sangli,Sangli,Turmeric,15500,20000,17750,22-05-2024
57,Sangli,Sangli,Turmeric,15500,22200,18850,23-03-2024
58,Sangli,Sangli,Turmeric,15500,27000,21250,19-03-2024
59,Sangli,Sangli,Turmeric,15700,22300,19000,21-05-2024
60,Sangli,Sangli,Turmeric,15700,27000,21350,12-03-2024
61,Sangli,Sangli,Turmeric,15900,61000,38450,20-03-2024
62,Sangli,Sangli,Turmeric,16000,21400,18700,20-05-2024
63,Sangli,Sangli,Turmeric,16000,22000,19000,25-05-2024
64,Sangli,Sangli,Turmeric,16500,70000,43250,26-03-2024
65,Sangli,Sangli,Turmeric,17500,51000,34250,11-03-2024
