Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Adilabad,Wheat,2168,2168,2168,23-04-2024
2,Adilabad,Wheat,2121,2465,2121,21-06-2024
3,Adilabad,Wheat,2463,2653,2653,27-06-2024
4,Adilabad,Wheat,2339,2339,2339,01-04-2024
5,Adilabad,Wheat,2287,2287,2287,19-04-2024
6,Adilabad,Wheat,2287,2467,2467,07-05-2024
7,Adilabad,Wheat,2089,2359,2359,03-04-2024
8,Adilabad,Wheat,1169,2369,2011,09-07-2024
9,Adilabad,Wheat,2052,2423,2423,09-09-2024
10,Adilabad,Wheat,2367,2367,2367,20-06-2024
11,Adilabad,Wheat,2268,2438,2438,18-04-2024
12,Adilabad,Wheat,2525,2525,2525,30-07-2024
13,Adilabad,Wheat,2268,2318,2318,08-06-2024
14,Adilabad,Wheat,2418,2587,2587,28-05-2024
15,Adilabad,Wheat,2298,2487,2487,06-05-2024
16,Adilabad,Wheat,2189,2876,2421,05-03-2024
17,Adilabad,Wheat,2387,2479,2472,16-05-2024
18,Adilabad,Wheat,2291,2467,2467,22-05-2024
19,Adilabad,Wheat,2368,2408,2388,14-03-2024
20,Adilabad,Wheat,2222,2469,2469,09-05-2024
21,Adilabad,Wheat,2263,2263,2263,18-09-2024
22,Adilabad,Wheat,2387,2541,2387,21-05-2024
23,Adilabad,Wheat,2251,2308,2251,22-02-2024
24,Adilabad,Wheat,2424,2424,2424,18-06-2024
25,Adilabad,Wheat,2318,2421,2421,06-04-2024
26,Adilabad,Wheat,1518,2469,2469,19-03-2024
27,Adilabad,Wheat,2268,2511,2268,20-05-2024
28,Adilabad,Wheat,2211,2211,2211,04-09-2024
29,Adilabad,Wheat,1689,2453,2453,27-08-2024
30,Adilabad,Wheat,2468,2468,2468,29-08-2024
31,Adilabad,Wheat,2468,2468,2468,19-06-2024
32,Adilabad,Wheat,2227,2371,2227,20-03-2024
33,Adilabad,Wheat,2318,2529,2368,17-05-2024
34,Adilabad,Wheat,1547,2424,2368,10-06-2024
35,Adilabad,Wheat,2359,2389,2359,21-03-2024
36,Adilabad,Wheat,2387,2449,2449,30-04-2024
37,Adilabad,Wheat,2398,2398,2398,16-03-2024
38,Adilabad,Wheat,2318,2348,2318,04-04-2024
39,Adilabad,Wheat,1669,2377,2371,12-03-2024
40,Adilabad,Wheat,1679,1679,1679,10-05-2024
41,Adilabad,Wheat,2387,2387,2387,18-05-2024
42,Adilabad,Wheat,2387,2467,2387,15-05-2024
43,Adilabad,Wheat,2387,2487,2487,01-06-2024
44,Adilabad,Wheat,2458,2458,2458,03-05-2024
45,Adilabad,Wheat,2118,2118,2118,08-07-2024
46,Adilabad,Wheat,1858,2378,2378,22-04-2024
47,Adilabad,Wheat,2298,2469,2368,14-05-2024
48,Adilabad,Wheat,2418,2418,2418,10-07-2024
49,Adilabad,Wheat,2367,2432,2367,22-03-2024
50,Adilabad,Wheat,2318,2368,2368,04-05-2024
51,Adilabad,Wheat,2368,2368,2368,28-03-2024
52,Adilabad,Wheat,2022,2022,2022,11-09-2024
53,Adilabad,Wheat,2351,2387,2351,26-03-2024
54,Adilabad,Wheat,2298,2438,2298,11-03-2024
55,Adilabad,Wheat,1823,2453,1823,06-09-2024
56,Adilabad,Wheat,2368,2368,2368,14-06-2024
57,Adilabad,Wheat,2009,2009,2009,02-04-2024
58,Adilabad,Wheat,1565,2327,2318,03-06-2024
59,Adilabad,Wheat,2423,2423,2423,06-07-2024
60,Adilabad,Wheat,2287,2287,2287,09-03-2024
61,Adilabad,Wheat,2268,2398,2398,13-03-2024
62,Adilabad,Wheat,2029,2287,2286,06-03-2024
63,Adilabad,Wheat,2311,2711,2311,20-09-2024
64,Adilabad,Wheat,2626,2626,2626,29-06-2024
65,Adilabad,Wheat,2238,2428,2401,15-03-2024
66,Adilabad,Wheat,2368,2368,2368,24-05-2024
67,Adilabad,Wheat,2449,2449,2449,13-06-2024
68,Adilabad,Wheat,2011,2504,2011,30-09-2024
