Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmedabad,Wheat,690,2850,2790,12/08/2024
2,Ahmedabad,Wheat,1425,3015,2605,02/03/2024
3,Ahmedabad,Wheat,1660,2880,2805,30/01/2024
4,Ahmedabad,Wheat,2025,3115,2825,23/03/2024
5,Ahmedabad,Wheat,2260,2615,2480,10/05/2024
6,Ahmedabad,Wheat,2340,2625,2400,01/03/2024
7,Ahmedabad,Wheat,2340,2625,2400,29/02/2024
8,Ahmedabad,Wheat,2420,3110,2650,04/03/2024
9,Ahmedabad,Wheat,2450,2525,2500,09/05/2024
10,Ahmedabad,Wheat,2450,2775,2575,13/05/2024
11,Ahmedabad,Wheat,2450,2880,2720,09/04/2024
12,Ahmedabad,Wheat,2470,2875,2700,06/03/2024
13,Ahmedabad,Wheat,2475,2860,2675,07/03/2024
14,Ahmedabad,Wheat,2475,2905,2675,09/03/2024
15,Ahmedabad,Wheat,2475,2910,2700,08/04/2024
16,Ahmedabad,Wheat,2475,3000,2775,13/04/2024
17,Ahmedabad,Wheat,2475,3140,2900,03/04/2024
18,Ahmedabad,Wheat,2500,2680,2580,02/05/2024
19,Ahmedabad,Wheat,2500,2700,2650,22/04/2024
20,Ahmedabad,Wheat,2500,2705,2555,29/04/2024
21,Ahmedabad,Wheat,2500,2755,2625,11/05/2024
22,Ahmedabad,Wheat,2500,2775,2590,20/05/2024
23,Ahmedabad,Wheat,2500,2890,2675,06/04/2024
24,Ahmedabad,Wheat,2500,2910,2650,05/04/2024
25,Ahmedabad,Wheat,2500,2915,2750,19/03/2024
26,Ahmedabad,Wheat,2500,2925,2700,15/04/2024
27,Ahmedabad,Wheat,2500,2925,2700,16/04/2024
28,Ahmedabad,Wheat,2500,2925,2725,05/03/2024
29,Ahmedabad,Wheat,2500,2980,2800,13/03/2024
30,Ahmedabad,Wheat,2500,3000,2800,21/03/2024
31,Ahmedabad,Wheat,2500,3000,2825,12/03/2024
32,Ahmedabad,Wheat,2500,3005,2800,20/03/2024
33,Ahmedabad,Wheat,2500,3105,2750,18/03/2024
34,Ahmedabad,Wheat,2500,3110,2730,11/03/2024
35,Ahmedabad,Wheat,2500,3120,2755,26/03/2024
36,Ahmedabad,Wheat,2500,3305,2875,16/03/2024
37,Ahmedabad,Wheat,2500,3505,2850,28/03/2024
38,Ahmedabad,Wheat,2505,3070,2725,27/03/2024
39,Ahmedabad,Wheat,2510,2690,2595,12/06/2024
40,Ahmedabad,Wheat,2510,2690,2595,14/06/2024
41,Ahmedabad,Wheat,2510,2920,2725,14/03/2024
42,Ahmedabad,Wheat,2520,2625,2565,04/06/2024
43,Ahmedabad,Wheat,2520,2700,2555,21/05/2024
44,Ahmedabad,Wheat,2525,2740,2590,30/05/2024
45,Ahmedabad,Wheat,2525,2750,2575,29/05/2024
46,Ahmedabad,Wheat,2525,2800,2560,30/04/2024
47,Ahmedabad,Wheat,2525,2805,2575,01/06/2024
48,Ahmedabad,Wheat,2525,2805,2575,05/06/2024
49,Ahmedabad,Wheat,2525,2840,2635,18/05/2024
50,Ahmedabad,Wheat,2525,2900,2725,23/02/2024
51,Ahmedabad,Wheat,2525,2950,2595,03/05/2024
52,Ahmedabad,Wheat,2530,2850,2555,01/05/2024
53,Ahmedabad,Wheat,2540,2700,2570,31/05/2024
54,Ahmedabad,Wheat,2555,2820,2660,02/02/2024
55,Ahmedabad,Wheat,2560,2840,2635,28/02/2024
56,Ahmedabad,Wheat,2570,2990,2870,13/02/2024
57,Ahmedabad,Wheat,2570,3075,2700,10/02/2024
58,Ahmedabad,Wheat,2575,3045,2885,14/02/2024
59,Ahmedabad,Wheat,2585,3085,2890,15/02/2024
60,Ahmedabad,Wheat,2605,2770,2707,13/07/2024
61,Ahmedabad,Wheat,2605,2825,2710,21/02/2024
62,Ahmedabad,Wheat,2605,2895,2655,04/01/2024
63,Ahmedabad,Wheat,2605,2950,2755,05/02/2024
64,Ahmedabad,Wheat,2605,2975,2875,12/02/2024
65,Ahmedabad,Wheat,2605,3020,2905,16/02/2024
66,Ahmedabad,Wheat,2605,3055,2905,19/02/2024
67,Ahmedabad,Wheat,2610,2800,2700,20/02/2024
68,Ahmedabad,Wheat,2610,3010,2840,06/02/2024
69,Ahmedabad,Wheat,2620,3055,2905,09/02/2024
70,Ahmedabad,Wheat,2625,2755,2700,06/08/2024
71,Ahmedabad,Wheat,2625,2795,2720,05/08/2024
72,Ahmedabad,Wheat,2625,2850,2700,25/01/2024
73,Ahmedabad,Wheat,2630,2990,2830,07/02/2024
74,Ahmedabad,Wheat,2635,2945,2855,18/01/2024
75,Ahmedabad,Wheat,2650,2810,2715,08/08/2024
76,Ahmedabad,Wheat,2655,2805,2705,07/08/2024
77,Ahmedabad,Wheat,2655,2805,2725,20/07/2024
78,Ahmedabad,Wheat,2655,3000,2875,08/01/2024
79,Ahmedabad,Wheat,2655,3090,2950,10/01/2024
80,Ahmedabad,Wheat,2655,3255,3000,16/01/2024
81,Ahmedabad,Wheat,2660,3000,2855,06/01/2024
82,Ahmedabad,Wheat,2670,2740,2705,08/07/2024
83,Ahmedabad,Wheat,2675,2810,2735,10/07/2024
84,Ahmedabad,Wheat,2675,2865,2790,21/08/2024
85,Ahmedabad,Wheat,2675,3055,2950,09/01/2024
86,Ahmedabad,Wheat,2750,3170,3095,12/01/2024
87,Ahmedabad,Wheat,2755,2940,2815,23/09/2024
88,Ahmedabad,Wheat,2755,2940,2850,19/09/2024
89,Ahmedabad,Wheat,2755,2950,2855,05/10/2024
90,Ahmedabad,Wheat,2755,2950,2855,25/09/2024
91,Ahmedabad,Wheat,2760,2955,2875,20/09/2024
92,Ahmedabad,Wheat,2760,2975,2925,24/09/2024
93,Ahmedabad,Wheat,2775,3070,2950,11/01/2024
94,Ahmedabad,Wheat,2810,2940,2875,26/09/2024
95,Ahmedabad,Wheat,2810,3120,2930,14/10/2024
96,Ahmedabad,Wheat,2875,3050,2925,08/10/2024
97,Ahmedabad,Wheat,2900,3000,2950,30/09/2024
