Sl no.,Centre Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Alwar,Wheat,FAQ,2410,2455,2447,25-06-2024
2,Alwar,Wheat,FAQ,2825,2870,2850,11-11-2024
3,Alwar,Wheat,FAQ,2335,2380,2345,15-05-2024
4,Alwar,Wheat,FAQ,2700,2816,2800,26-11-2024
5,Alwar,Wheat,FAQ,2460,2468,2462,02-08-2024
6,Alwar,Wheat,FAQ,2180,2276,2245,09-04-2024
7,Alwar,Wheat,FAQ,2325,2350,2340,01-03-2024
8,Alwar,Wheat,FAQ,2240,2385,2290,26-02-2024
9,Alwar,Wheat,FAQ,2425,2473,2466,08-07-2024
10,Alwar,Wheat,FAQ,2330,2400,2350,22-05-2024
11,Alwar,Wheat,FAQ,2378,2380,2379,03-02-2024
12,Alwar,Wheat,FAQ,2180,2300,2230,08-04-2024
13,Alwar,Wheat,FAQ,2395,2441,2431,11-07-2024
14,Alwar,Wheat,FAQ,2785,2885,2862,20-12-2024
15,Alwar,Wheat,FAQ,2330,2461,2430,29-01-2024
16,Alwar,Wheat,FAQ,2527,2552,2545,20-08-2024
17,Alwar,Wheat,FAQ,2700,2731,2721,01-10-2024
18,Alwar,Wheat,FAQ,2450,2469,2462,18-06-2024
19,Alwar,Wheat,FAQ,2500,2567,2550,26-08-2024
20,Alwar,Wheat,FAQ,2425,2461,2452,25-07-2024
21,Alwar,Wheat,FAQ,2500,2575,2565,28-08-2024
22,Alwar,Wheat,FAQ,2311,2400,2370,15-03-2024
23,Alwar,Wheat,FAQ,2355,2400,2375,21-03-2024
24,Alwar,Wheat,FAQ,2280,2387,2343,29-04-2024
25,Alwar,Wheat,FAQ,2300,2400,2361,27-03-2024
26,Alwar,Wheat,FAQ,2660,2785,2674,28-10-2024
27,Alwar,Wheat,FAQ,2450,2465,2455,01-08-2024
28,Alwar,Wheat,FAQ,2450,2478,2470,09-07-2024
29,Alwar,Wheat,FAQ,2325,2350,2340,24-02-2024
30,Alwar,Wheat,FAQ,2260,2480,2350,01-01-2024
31,Alwar,Wheat,FAQ,2350,2350,2350,18-01-2024
32,Alwar,Wheat,FAQ,2500,2500,2500,09-08-2024
33,Alwar,Wheat,FAQ,2800,2900,2817,25-11-2024
34,Alwar,Wheat,FAQ,2365,2387,2375,20-03-2024
35,Alwar,Wheat,FAQ,2650,2696,2690,24-09-2024
36,Alwar,Wheat,FAQ,2406,2462,2455,12-07-2024
37,Alwar,Wheat,FAQ,2170,2351,2321,04-04-2024
38,Alwar,Wheat,FAQ,2537,2586,2570,29-08-2024
39,Alwar,Wheat,FAQ,2250,2500,2350,22-02-2024
40,Alwar,Wheat,FAQ,2290,2359,2352,20-05-2024
41,Alwar,Wheat,FAQ,2325,2381,2375,09-02-2024
42,Alwar,Wheat,FAQ,2400,2431,2425,30-01-2024
43,Alwar,Wheat,FAQ,2435,2478,2471,14-06-2024
44,Alwar,Wheat,FAQ,2444,2460,2455,24-07-2024
45,Alwar,Wheat,FAQ,2150,2385,2365,02-01-2024
46,Alwar,Wheat,FAQ,2900,2922,2922,28-12-2024
47,Alwar,Wheat,FAQ,2441,2470,2461,18-07-2024
48,Alwar,Wheat,FAQ,2291,2501,2345,01-05-2024
49,Alwar,Wheat,FAQ,2690,2717,2710,28-09-2024
50,Alwar,Wheat,FAQ,2530,2600,2585,17-09-2024
51,Alwar,Wheat,FAQ,2345,2345,2345,09-01-2024
52,Alwar,Wheat,FAQ,2768,2790,2780,23-10-2024
53,Alwar,Wheat,FAQ,2350,2425,2400,17-01-2024
54,Alwar,Wheat,FAQ,2817,2850,2845,07-12-2024
55,Alwar,Wheat,FAQ,2345,2400,2387,08-02-2024
56,Alwar,Wheat,FAQ,2650,2733,2725,02-10-2024
57,Alwar,Wheat,FAQ,2170,2380,2280,26-04-2024
58,Alwar,Wheat,FAQ,2378,2380,2379,02-02-2024
59,Alwar,Wheat,FAQ,2810,2851,2851,16-12-2024
60,Alwar,Wheat,FAQ,2200,2601,2340,03-05-2024
61,Alwar,Wheat,FAQ,2275,2325,2300,27-02-2024
62,Alwar,Wheat,FAQ,2245,2325,2300,05-01-2024
63,Alwar,Wheat,FAQ,2451,2451,2451,15-02-2024
64,Alwar,Wheat,FAQ,2450,2450,2450,04-07-2024
65,Alwar,Wheat,FAQ,2341,2450,2375,10-01-2024
66,Alwar,Wheat,FAQ,2457,2487,2481,15-07-2024
67,Alwar,Wheat,FAQ,2795,2811,2800,27-11-2024
68,Alwar,Wheat,FAQ,2845,2870,2865,13-11-2024
69,Alwar,Wheat,FAQ,2485,2499,2490,06-08-2024
70,Alwar,Wheat,FAQ,2380,2450,2390,20-01-2024
71,Alwar,Wheat,FAQ,2340,2376,2350,19-02-2024
72,Alwar,Wheat,FAQ,2410,2450,2435,29-05-2024
73,Alwar,Wheat,FAQ,2250,2350,2275,13-04-2024
74,Alwar,Wheat,FAQ,2200,2345,2335,14-05-2024
75,Alwar,Wheat,FAQ,2220,2421,2335,02-04-2024
76,Alwar,Wheat,FAQ,2440,2458,2453,11-06-2024
77,Alwar,Wheat,FAQ,2825,2847,2840,05-12-2024
78,Alwar,Wheat,FAQ,2412,2581,2450,15-01-2024
79,Alwar,Wheat,FAQ,2315,2358,2350,17-02-2024
80,Alwar,Wheat,FAQ,2760,2830,2820,22-11-2024
81,Alwar,Wheat,FAQ,2640,2695,2685,25-09-2024
82,Alwar,Wheat,FAQ,2600,2705,2695,12-10-2024
83,Alwar,Wheat,FAQ,2580,2585,2583,11-09-2024
84,Alwar,Wheat,FAQ,2350,2425,2385,25-01-2024
