Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Amreli,Wheat,2200,3155,2550,17-Feb-24
2,Amreli,Wheat,2355,3045,2755,01-Jan-24
3,Amreli,Wheat,2250,3160,2690,26-Apr-24
4,Amreli,Wheat,2305,2825,2650,10-Jun-24
5,Amreli,Wheat,2250,2910,2675,10-May-24
6,Amreli,Wheat,2910,3325,3140,29-Nov-24
7,Amreli,Wheat,2000,2830,2545,15-Feb-24
8,Amreli,Wheat,2020,6255,2695,13-Apr-24
9,Amreli,Wheat,2220,3305,2710,25-Apr-24
10,Amreli,Wheat,2215,3115,2675,22-Apr-24
11,Amreli,Wheat,2265,3095,2680,02-May-24
12,Amreli,Wheat,2325,2815,2710,14-Jun-24
13,Amreli,Wheat,2025,3375,2715,08-Apr-24
14,Amreli,Wheat,2540,3225,2960,26-Oct-24
15,Amreli,Wheat,2450,2850,2670,07-Jun-24
16,Amreli,Wheat,2445,2865,2725,02-Jul-24
17,Amreli,Wheat,2460,3170,2705,03-Jan-24
18,Amreli,Wheat,2215,2950,2785,09-Feb-24
19,Amreli,Wheat,2285,3005,2785,03-Jul-24
20,Amreli,Wheat,2400,3000,2765,02-Jan-24
21,Amreli,Wheat,2215,3195,2660,17-May-24
22,Amreli,Wheat,2000,2950,2870,29-Aug-24
23,Amreli,Wheat,2780,3380,3095,09-Dec-24
24,Amreli,Wheat,2730,3255,2975,25-Dec-24
25,Amreli,Wheat,2025,3370,2720,16-Mar-24
26,Amreli,Wheat,2400,2880,2755,26-Jul-24
27,Amreli,Wheat,2760,3460,3025,13-Nov-24
28,Amreli,Wheat,2655,2930,2830,05-Sep-24
29,Amreli,Wheat,2045,3335,2680,24-Feb-24
30,Amreli,Wheat,2370,2910,2695,01-Jun-24
31,Amreli,Wheat,2330,2870,2705,28-Jun-24
32,Amreli,Wheat,2800,3170,3000,12-Dec-24
33,Amreli,Wheat,2500,2970,2775,18-Jan-24
34,Amreli,Wheat,2350,2910,2665,13-Jun-24
35,Amreli,Wheat,2640,3255,3075,27-Dec-24
36,Amreli,Wheat,2630,3075,2805,20-Sep-24
37,Amreli,Wheat,2355,2830,2690,13-Jun-24
38,Amreli,Wheat,2005,3350,2970,16-Dec-24
39,Amreli,Wheat,2305,2890,2670,03-May-24
40,Amreli,Wheat,2645,3080,2835,08-Oct-24
41,Amreli,Wheat,1750,3405,2755,12-Mar-24
42,Amreli,Wheat,2335,2740,2650,15-Jun-24
43,Amreli,Wheat,2770,3075,2960,21-Dec-24
44,Amreli,Wheat,2555,3195,2760,09-Jan-24
45,Amreli,Wheat,2350,2950,2785,26-Jul-24
46,Amreli,Wheat,2450,3065,2850,20-Aug-24
47,Amreli,Wheat,2300,3495,2825,30-Apr-24
48,Amreli,Wheat,2060,2715,2375,02-Mar-24
49,Amreli,Wheat,2250,2835,2735,13-Aug-24
50,Amreli,Wheat,2300,3215,2705,06-May-24
51,Amreli,Wheat,2350,2870,2780,12-Jul-24
52,Amreli,Wheat,2770,3310,2935,18-Oct-24
53,Amreli,Wheat,2255,2855,2635,21-May-24
54,Amreli,Wheat,2395,2915,2780,05-Jul-24
55,Amreli,Wheat,2775,3275,3025,30-Dec-24
56,Amreli,Wheat,2800,3335,3135,25-Dec-24
57,Amreli,Wheat,2500,2720,2720,08-Jan-24
58,Amreli,Wheat,2300,3005,2700,09-May-24
59,Amreli,Wheat,2265,3055,2670,16-May-24
60,Amreli,Wheat,2380,2980,2755,29-Jul-24
61,Amreli,Wheat,2550,3015,2840,28-Sep-24
62,Amreli,Wheat,2210,3105,2780,14-Aug-24
63,Amreli,Wheat,2415,2890,2800,11-Jul-24
64,Amreli,Wheat,2055,2855,2335,06-Mar-24
65,Amreli,Wheat,2550,3205,2790,23-Jan-24
66,Amreli,Wheat,2675,2905,2805,23-Sep-24
67,Amreli,Wheat,2080,3550,2770,04-Apr-24
68,Amreli,Wheat,2025,2710,2350,07-Mar-24
69,Amreli,Wheat,2335,2865,2755,08-Jul-24
70,Amreli,Wheat,2285,2850,2650,06-Jun-24
71,Amreli,Wheat,2425,2905,2790,10-Jul-24
72,Amreli,Wheat,2160,3300,2520,24-Apr-24
73,Amreli,Wheat,2470,2855,2745,30-Jul-24
74,Amreli,Wheat,1775,3125,2825,05-Sep-24
75,Amreli,Wheat,2320,3060,2715,14-Jun-24
76,Amreli,Wheat,2815,3110,3000,23-Dec-24
77,Amreli,Wheat,2020,2965,2800,07-Aug-24
78,Amreli,Wheat,2850,3205,3090,27-Nov-24
79,Amreli,Wheat,2780,3350,3070,13-Nov-24
80,Amreli,Wheat,2075,2710,2330,26-Feb-24
81,Amreli,Wheat,2010,3245,2660,20-Mar-24
82,Amreli,Wheat,2385,2915,2755,06-Feb-24
83,Amreli,Wheat,2700,3110,3050,21-Dec-24
84,Amreli,Wheat,2200,3555,2690,09-May-24
85,Amreli,Wheat,2525,3005,2845,20-Sep-24
86,Amreli,Wheat,2615,3175,2820,11-Oct-24
87,Amreli,Wheat,2050,3500,2715,05-Mar-24
88,Amreli,Wheat,2415,2985,2760,06-Jul-24
89,Amreli,Wheat,2055,2935,2780,10-Feb-24
90,Amreli,Wheat,2335,2870,2745,05-Feb-24
91,Amreli,Wheat,2015,3335,2685,04-Mar-24
92,Amreli,Wheat,2320,2900,2635,08-Jun-24
93,Amreli,Wheat,2180,2985,2630,29-May-24
94,Amreli,Wheat,2560,3055,2770,11-Oct-24
95,Amreli,Wheat,2410,3320,2815,19-Oct-24
96,Amreli,Wheat,2000,3445,2715,06-Mar-24
97,Amreli,Wheat,2275,2930,2645,31-May-24
98,Amreli,Wheat,2290,2885,2680,08-Jun-24
99,Amreli,Wheat,2010,3390,2795,15-Mar-24
100,Amreli,Wheat,2430,3210,2720,04-Jan-24
101,Amreli,Wheat,2030,2875,2455,08-Apr-24
102,Amreli,Wheat,2460,2905,2750,11-Jul-24
103,Amreli,Wheat,2280,2830,2655,04-Jun-24
104,Amreli,Wheat,2450,3000,2725,06-May-24
105,Amreli,Wheat,2280,2935,2660,10-Jun-24
106,Amreli,Wheat,2205,3060,2720,05-Feb-24
107,Amreli,Wheat,2570,3035,2755,09-Jan-24
108,Amreli,Wheat,2010,2825,2730,13-Aug-24
109,Amreli,Wheat,2430,2860,2705,29-Jul-24
110,Amreli,Wheat,2760,2905,2905,01-Oct-24
111,Amreli,Wheat,2100,3385,2750,29-Feb-24
112,Amreli,Wheat,2450,2830,2755,04-Jul-24
113,Amreli,Wheat,2220,2930,2610,03-Jun-24
114,Amreli,Wheat,2810,3435,3125,26-Nov-24
115,Amreli,Wheat,2485,3050,2850,03-Sep-24
116,Amreli,Wheat,2280,2960,2775,13-Jul-24
117,Amreli,Wheat,2165,2885,2695,21-Jun-24
118,Amreli,Wheat,2800,3510,3135,31-Dec-24
119,Amreli,Wheat,2055,2880,2715,19-Sep-24
120,Amreli,Wheat,2830,3465,3080,18-Nov-24
121,Amreli,Wheat,2205,2805,2425,20-Feb-24
122,Amreli,Wheat,2250,2780,2415,20-Mar-24
123,Amreli,Wheat,2055,3365,2660,28-Feb-24
124,Amreli,Wheat,2250,3060,2710,08-May-24
125,Amreli,Wheat,2225,2790,2600,22-May-24
126,Amreli,Wheat,2280,3360,2795,29-Apr-24
127,Amreli,Wheat,2300,3070,2770,02-Feb-24
128,Amreli,Wheat,2445,2865,2660,19-Jun-24
129,Amreli,Wheat,2620,3080,2835,08-Oct-24
130,Amreli,Wheat,2500,3015,2770,10-Oct-24
131,Amreli,Wheat,2300,3185,2840,01-Oct-24
132,Amreli,Wheat,2300,3440,2705,11-May-24
133,Amreli,Wheat,2300,3000,2635,14-May-24
134,Amreli,Wheat,2355,2970,2735,01-Jul-24
135,Amreli,Wheat,2775,3405,3085,23-Nov-24
136,Amreli,Wheat,2250,2970,2675,05-Jun-24
137,Amreli,Wheat,2225,2805,2645,06-Jul-24
138,Amreli,Wheat,2265,2970,2790,18-Jul-24
139,Amreli,Wheat,2700,3260,2895,07-Oct-24
140,Amreli,Wheat,2700,3395,3085,21-Nov-24
141,Amreli,Wheat,2425,2860,2755,07-Aug-24
142,Amreli,Wheat,2705,3145,3000,01-Jan-25
143,Amreli,Wheat,2300,3100,2825,12-Oct-24
144,Amreli,Wheat,2000,2965,2790,08-Aug-24
145,Amreli,Wheat,2650,2960,2740,06-Jan-24
146,Amreli,Wheat,2220,2735,2455,19-Feb-24
147,Amreli,Wheat,2090,3040,2845,16-Aug-24
148,Amreli,Wheat,2270,3070,2795,09-Aug-24
149,Amreli,Wheat,2285,2875,2725,02-Feb-24
150,Amreli,Wheat,2165,3125,2745,13-Feb-24
151,Amreli,Wheat,2245,3015,2600,25-May-24
152,Amreli,Wheat,2405,2950,2720,07-Feb-24
153,Amreli,Wheat,2000,3275,2725,09-Apr-24
154,Amreli,Wheat,2320,3090,2825,30-Sep-24
155,Amreli,Wheat,2500,2945,2750,05-Jan-24
156,Amreli,Wheat,2250,3110,2655,14-May-24
157,Amreli,Wheat,2920,3455,3065,07-Nov-24
158,Amreli,Wheat,2495,2985,2850,23-Jan-24
159,Amreli,Wheat,2175,3210,3025,07-Dec-24
160,Amreli,Wheat,2535,3025,2865,04-Sep-24
161,Amreli,Wheat,2250,3000,2690,04-May-24
162,Amreli,Wheat,2645,3205,2810,12-Jan-24
163,Amreli,Wheat,2375,2960,2780,09-Jul-24
164,Amreli,Wheat,2125,3035,2850,31-Aug-24
165,Amreli,Wheat,2360,2835,2810,01-Aug-24
166,Amreli,Wheat,2450,3000,2790,05-Aug-24
167,Amreli,Wheat,2580,3070,2975,26-Dec-24
168,Amreli,Wheat,2010,3295,2715,05-Apr-24
169,Amreli,Wheat,2445,2900,2745,08-Jul-24
170,Amreli,Wheat,2300,3200,2760,14-Sep-24
171,Amreli,Wheat,2740,2870,2805,05-Oct-24
172,Amreli,Wheat,2745,3535,2895,06-Nov-24
173,Amreli,Wheat,2325,2940,2810,12-Jul-24
174,Amreli,Wheat,2335,2805,2720,26-Jun-24
175,Amreli,Wheat,2090,2825,2410,11-Mar-24
176,Amreli,Wheat,2380,2990,2780,20-Jul-24
177,Amreli,Wheat,1800,2990,2775,26-Sep-24
178,Amreli,Wheat,2200,2960,2765,01-Aug-24
179,Amreli,Wheat,2380,3225,2835,07-Sep-24
180,Amreli,Wheat,2000,2910,2425,04-Apr-24
181,Amreli,Wheat,2075,2560,2290,28-Feb-24
182,Amreli,Wheat,2450,3240,2875,12-Sep-24
183,Amreli,Wheat,2125,3996,2705,10-May-24
184,Amreli,Wheat,2005,2760,2435,09-Mar-24
185,Amreli,Wheat,2300,2965,2665,23-May-24
186,Amreli,Wheat,2375,2850,2745,24-Jul-24
187,Amreli,Wheat,2500,2865,2780,27-Sep-24
188,Amreli,Wheat,2355,2925,2775,29-Jun-24
189,Amreli,Wheat,2000,3425,2755,21-Feb-24
190,Amreli,Wheat,2895,3235,3085,19-Nov-24
191,Amreli,Wheat,2750,3025,2885,07-Dec-24
192,Amreli,Wheat,2270,2750,2600,23-May-24
193,Amreli,Wheat,2850,3515,3120,25-Nov-24
