Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Banaskanth,Wheat,2450,2450,2450,02-07-2024
2,Banaskanth,Wheat,2735,2750,2750,30-09-2024
3,Banaskanth,Wheat,2950,2950,2950,28-12-2024
4,Banaskanth,Wheat,2300,2600,2500,11-05-2024
5,Banaskanth,Wheat,2700,3075,2900,22-11-2024
6,Banaskanth,Wheat,2900,2900,2900,30-11-2024
7,Banaskanth,Wheat,2250,2620,2500,14-03-2024
8,Banaskanth,Wheat,2150,3355,2750,05-04-2024
9,Banaskanth,Wheat,2500,2500,2500,13-08-2024
10,Banaskanth,Wheat,2625,2730,2730,04-10-2024
11,Banaskanth,Wheat,2920,2960,2940,24-12-2024
12,Banaskanth,Wheat,2550,2700,2700,18-01-2024
13,Banaskanth,Wheat,2600,2600,2600,13-09-2024
14,Banaskanth,Wheat,2630,2985,2985,16-10-2024
15,Banaskanth,Wheat,2750,3100,2900,19-12-2024
16,Banaskanth,Wheat,2925,2925,2925,29-11-2024
17,Banaskanth,Wheat,2515,2515,2515,03-07-2024
18,Banaskanth,Wheat,2200,2800,2800,13-03-2024
19,Banaskanth,Wheat,2305,2305,2305,16-02-2024
20,Banaskanth,Wheat,2235,2235,2235,19-02-2024
21,Banaskanth,Wheat,2350,2500,2445,27-05-2024
22,Banaskanth,Wheat,2625,3020,3020,01-07-2024
23,Banaskanth,Wheat,2300,3055,3000,20-04-2024
24,Banaskanth,Wheat,2100,3355,3100,12-04-2024
25,Banaskanth,Wheat,2265,2265,2265,22-02-2024
26,Banaskanth,Wheat,2200,3038,2760,26-04-2024
27,Banaskanth,Wheat,2500,2825,2605,18-07-2024
28,Banaskanth,Wheat,2480,2600,2600,07-08-2024
29,Banaskanth,Wheat,2100,2805,2650,20-03-2024
30,Banaskanth,Wheat,2850,3265,3000,26-11-2024
31,Banaskanth,Wheat,2200,3090,2750,25-04-2024
32,Banaskanth,Wheat,2700,2740,2740,01-05-2024
33,Banaskanth,Wheat,2695,2745,2745,17-08-2024
34,Banaskanth,Wheat,2570,3070,3000,27-01-2024
35,Banaskanth,Wheat,2600,2600,2600,08-10-2024
36,Banaskanth,Wheat,2900,3060,3000,12-11-2024
37,Banaskanth,Wheat,2250,2555,2555,09-03-2024
38,Banaskanth,Wheat,2350,3125,2775,16-05-2024
39,Banaskanth,Wheat,2500,2850,2850,16-07-2024
40,Banaskanth,Wheat,2140,2750,2750,01-04-2024
41,Banaskanth,Wheat,2300,2590,2500,12-06-2024
42,Banaskanth,Wheat,2400,2400,2400,06-08-2024
43,Banaskanth,Wheat,2755,2755,2755,19-10-2024
44,Banaskanth,Wheat,2375,3000,2750,13-05-2024
45,Banaskanth,Wheat,2555,2705,2705,22-08-2024
46,Banaskanth,Wheat,2425,2465,2465,28-06-2024
47,Banaskanth,Wheat,2350,2450,2450,12-01-2024
48,Banaskanth,Wheat,3000,3000,3000,24-10-2024
49,Banaskanth,Wheat,2375,3005,3005,05-03-2024
50,Banaskanth,Wheat,2500,2805,2805,12-07-2024
51,Banaskanth,Wheat,2670,2670,2670,14-08-2024
52,Banaskanth,Wheat,2650,2850,2850,25-10-2024
53,Banaskanth,Wheat,2660,3105,3000,04-07-2024
54,Banaskanth,Wheat,2700,2700,2700,09-10-2024
55,Banaskanth,Wheat,2400,2705,2705,28-02-2024
56,Banaskanth,Wheat,2350,2485,2485,17-05-2024
57,Banaskanth,Wheat,2300,3370,3000,03-05-2024
58,Banaskanth,Wheat,2900,2900,2900,21-12-2024
59,Banaskanth,Wheat,2400,2590,2590,25-06-2024
60,Banaskanth,Wheat,2555,2695,2640,06-07-2024
61,Banaskanth,Wheat,2250,2515,2515,07-03-2024
62,Banaskanth,Wheat,2460,2500,2475,08-02-2024
63,Banaskanth,Wheat,2490,2930,2700,13-06-2024
64,Banaskanth,Wheat,2260,2800,2650,13-12-2024
65,Banaskanth,Wheat,2435,2435,2435,15-01-2024
66,Banaskanth,Wheat,2750,2750,2750,09-07-2024
67,Banaskanth,Wheat,2250,3260,2750,04-05-2024
68,Banaskanth,Wheat,2300,2655,2655,11-03-2024
69,Banaskanth,Wheat,2650,2730,2730,19-08-2024
70,Banaskanth,Wheat,2500,2950,2950,15-07-2024
71,Banaskanth,Wheat,2500,2500,2500,31-07-2024
72,Banaskanth,Wheat,2805,2805,2805,11-10-2024
73,Banaskanth,Wheat,2100,3000,3000,21-03-2024
74,Banaskanth,Wheat,2785,2900,2850,11-12-2024
75,Banaskanth,Wheat,2150,2575,2575,15-02-2024
76,Banaskanth,Wheat,2160,2930,2750,31-05-2024
77,Banaskanth,Wheat,2850,2850,2850,31-12-2024
78,Banaskanth,Wheat,2400,2650,2650,07-06-2024
79,Banaskanth,Wheat,2250,3185,3000,02-05-2024
80,Banaskanth,Wheat,2450,2650,2500,18-06-2024
81,Banaskanth,Wheat,2915,2995,2995,27-12-2024
82,Banaskanth,Wheat,2300,3090,2750,14-05-2024
83,Banaskanth,Wheat,2350,2700,2700,24-05-2024
