Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bangalore,Wheat,2800,3800,3300,01-Aug-24
2,Bangalore,Wheat,2800,3800,3300,02-Aug-24
3,Bangalore,Wheat,2800,3800,3300,03-Aug-24
4,Bangalore,Wheat,2800,3800,3300,05-Aug-24
5,Bangalore,Wheat,2800,3800,3300,06-Aug-24
6,Bangalore,Wheat,2800,3800,3300,07-Aug-24
7,Bangalore,Wheat,2800,3800,3300,08-Aug-24
8,Bangalore,Wheat,2800,3800,3300,09-Aug-24
9,Bangalore,Wheat,2800,3800,3300,09-Sep-24
10,Bangalore,Wheat,2800,3800,3300,10-Sep-24
11,Bangalore,Wheat,2800,3800,3300,11-Sep-24
12,Bangalore,Wheat,2800,3800,3300,12-Aug-24
13,Bangalore,Wheat,2800,3800,3300,13-Aug-24
14,Bangalore,Wheat,2800,3800,3300,14-Aug-24
15,Bangalore,Wheat,2800,3800,3300,16-Aug-24
16,Bangalore,Wheat,2800,3800,3300,17-Aug-24
17,Bangalore,Wheat,2800,3800,3300,19-Aug-24
18,Bangalore,Wheat,2800,3800,3300,20-Aug-24
19,Bangalore,Wheat,2800,3800,3300,21-Aug-24
20,Bangalore,Wheat,2800,3800,3300,22-Aug-24
21,Bangalore,Wheat,2800,3800,3300,23-Aug-24
22,Bangalore,Wheat,2800,3800,3300,24-Jul-24
23,Bangalore,Wheat,2800,3800,3300,25-Jul-24
24,Bangalore,Wheat,2800,3800,3300,26-Jul-24
25,Bangalore,Wheat,2800,3800,3300,27-Aug-24
26,Bangalore,Wheat,2800,3800,3300,28-Aug-24
27,Bangalore,Wheat,2800,3800,3300,29-Aug-24
28,Bangalore,Wheat,2800,3800,3300,29-Jul-24
29,Bangalore,Wheat,2800,3800,3300,31-Jul-24
30,Bangalore,Wheat,3200,4200,3700,01-Oct-24
31,Bangalore,Wheat,3200,4200,3700,03-Oct-24
32,Bangalore,Wheat,3200,4200,3700,07-Oct-24
33,Bangalore,Wheat,3200,4200,3700,08-Oct-24
34,Bangalore,Wheat,3200,4200,3700,09-Oct-24
35,Bangalore,Wheat,3200,4200,3700,10-Oct-24
36,Bangalore,Wheat,3200,4200,3700,12-Sep-24
37,Bangalore,Wheat,3200,4200,3700,13-Sep-24
38,Bangalore,Wheat,3200,4200,3700,14-Oct-24
39,Bangalore,Wheat,3200,4200,3700,15-Oct-24
40,Bangalore,Wheat,3200,4200,3700,16-Oct-24
41,Bangalore,Wheat,3200,4200,3700,17-Sep-24
42,Bangalore,Wheat,3200,4200,3700,18-Oct-24
43,Bangalore,Wheat,3200,4200,3700,18-Sep-24
44,Bangalore,Wheat,3200,4200,3700,19-Oct-24
45,Bangalore,Wheat,3200,4200,3700,19-Sep-24
46,Bangalore,Wheat,3200,4200,3700,20-Sep-24
47,Bangalore,Wheat,3200,4200,3700,21-Sep-24
48,Bangalore,Wheat,3200,4200,3700,23-Sep-24
49,Bangalore,Wheat,3200,4200,3700,24-Sep-24
50,Bangalore,Wheat,3200,4200,3700,25-Sep-24
51,Bangalore,Wheat,3200,4200,3700,26-Sep-24
52,Bangalore,Wheat,3200,4200,3700,27-Sep-24
53,Bangalore,Wheat,3200,4200,3700,30-Sep-24
54,Bangalore,Wheat,3600,3900,3750,02-May-24
55,Bangalore,Wheat,3600,3900,3750,03-May-24
56,Bangalore,Wheat,3600,3900,3750,04-May-24
57,Bangalore,Wheat,3600,3900,3750,05-Apr-24
58,Bangalore,Wheat,3600,3900,3750,15-Apr-24
59,Bangalore,Wheat,3600,3900,3750,16-Apr-24
60,Bangalore,Wheat,3600,3900,3750,17-Apr-24
61,Bangalore,Wheat,3600,3900,3750,18-Apr-24
62,Bangalore,Wheat,3600,3900,3750,19-Apr-24
63,Bangalore,Wheat,3600,3900,3750,22-Apr-24
64,Bangalore,Wheat,3600,3900,3750,23-Apr-24
65,Bangalore,Wheat,3600,3900,3750,24-Apr-24
66,Bangalore,Wheat,3600,3900,3750,25-Apr-24
67,Bangalore,Wheat,3600,3900,3750,29-Apr-24
68,Bangalore,Wheat,3600,3900,3750,30-Apr-24
69,Bangalore,Wheat,3600,3900,3750,30-Mar-24
70,Bangalore,Wheat,3600,4200,3900,01-Jul-24
71,Bangalore,Wheat,3600,4200,3900,01-Jun-24
72,Bangalore,Wheat,3600,4200,3900,02-Jul-24
73,Bangalore,Wheat,3600,4200,3900,03-Jul-24
74,Bangalore,Wheat,3600,4200,3900,03-Jun-24
75,Bangalore,Wheat,3600,4200,3900,04-Jul-24
76,Bangalore,Wheat,3600,4200,3900,04-Jun-24
77,Bangalore,Wheat,3600,4200,3900,05-Jul-24
78,Bangalore,Wheat,3600,4200,3900,06-Jul-24
79,Bangalore,Wheat,3600,4200,3900,06-Jun-24
80,Bangalore,Wheat,3600,4200,3900,07-Jun-24
81,Bangalore,Wheat,3600,4200,3900,08-Jul-24
82,Bangalore,Wheat,3600,4200,3900,09-Jul-24
83,Bangalore,Wheat,3600,4200,3900,10-Jul-24
84,Bangalore,Wheat,3600,4200,3900,10-Jun-24
85,Bangalore,Wheat,3600,4200,3900,11-Jul-24
86,Bangalore,Wheat,3600,4200,3900,11-Jun-24
87,Bangalore,Wheat,3600,4200,3900,12-Jul-24
88,Bangalore,Wheat,3600,4200,3900,12-Jun-24
89,Bangalore,Wheat,3600,4200,3900,13-Jun-24
90,Bangalore,Wheat,3600,4200,3900,14-Jun-24
91,Bangalore,Wheat,3600,4200,3900,15-Jul-24
92,Bangalore,Wheat,3600,4200,3900,15-Jun-24
93,Bangalore,Wheat,3600,4200,3900,18-Jun-24
94,Bangalore,Wheat,3600,4200,3900,19-Jul-24
95,Bangalore,Wheat,3600,4200,3900,19-Jun-24
