Sl no.,Centre Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Baran,Wheat,FAQ,2460,2554,2507,12-07-2024
2,Baran,Wheat,FAQ,2751,3000,2875,11-11-2024
3,Baran,Wheat,FAQ,2870,2870,2870,28-12-2024
4,Baran,Wheat,FAQ,2518,2670,2594,24-09-2024
5,Baran,Wheat,FAQ,2658,2824,2741,20-12-2024
6,Baran,Wheat,FAQ,2505,2590,2547,30-07-2024
7,Baran,Wheat,FAQ,2226,2580,2403,08-04-2024
8,Baran,Wheat,FAQ,2200,2551,2376,22-04-2024
9,Baran,Wheat,FAQ,2450,2535,2492,18-07-2024
10,Baran,Wheat,FAQ,2344,2560,2452,20-02-2024
11,Baran,Wheat,FAQ,2560,2825,2692,09-12-2024
12,Baran,Wheat,FAQ,2350,2818,2584,10-01-2024
13,Baran,Wheat,FAQ,2471,2648,2559,15-06-2024
14,Baran,Wheat,FAQ,2680,2790,2735,16-12-2024
15,Baran,Wheat,FAQ,2311,2501,2406,22-05-2024
16,Baran,Wheat,FAQ,2450,2600,2525,19-06-2024
17,Baran,Wheat,FAQ,2500,2652,2576,20-09-2024
18,Baran,Wheat,FAQ,2025,2480,2252,27-02-2024
19,Baran,Wheat,FAQ,2274,2511,2392,03-05-2024
20,Baran,Wheat,FAQ,2450,2476,2463,13-07-2024
21,Baran,Wheat,FAQ,2565,2565,2565,11-09-2024
22,Baran,Wheat,FAQ,2222,2430,2326,15-04-2024
23,Baran,Wheat,FAQ,2555,2830,2692,11-01-2024
24,Baran,Wheat,FAQ,2560,2590,2575,20-08-2024
25,Baran,Wheat,FAQ,2325,2555,2440,04-06-2024
26,Baran,Wheat,FAQ,2458,2575,2516,07-06-2024
27,Baran,Wheat,FAQ,2461,2514,2487,22-07-2024
28,Baran,Wheat,FAQ,2340,2472,2406,06-05-2024
29,Baran,Wheat,FAQ,2341,2575,2458,30-05-2024
30,Baran,Wheat,FAQ,2593,2623,2608,22-08-2024
31,Baran,Wheat,FAQ,2350,2690,2520,19-09-2024
32,Baran,Wheat,FAQ,2200,2551,2376,23-04-2024
33,Baran,Wheat,FAQ,2470,2616,2543,27-06-2024
34,Baran,Wheat,FAQ,2338,2562,2450,03-06-2024
35,Baran,Wheat,FAQ,2788,2807,2797,26-10-2024
36,Baran,Wheat,FAQ,2517,2592,2554,01-08-2024
37,Baran,Wheat,FAQ,2611,2728,2669,01-10-2024
38,Baran,Wheat,FAQ,2538,2620,2579,03-09-2024
39,Baran,Wheat,FAQ,2290,2340,2315,08-03-2024
