Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Fatehgarh,Wheat,2275,2275,2275,06-05-2024
2,Fatehgarh,Wheat,2275,2275,2275,20-04-2024
3,Fatehgarh,Wheat,2275,2275,2275,22-04-2024
4,Fatehgarh,Wheat,2275,2275,2275,26-04-2024
5,Fatehgarh,Wheat,2275,2275,2275,10-05-2024
6,Fatehgarh,Wheat,2275,2275,2275,29-04-2024
7,Fatehgarh,Wheat,2275,2275,2275,05-05-2024
8,Fatehgarh,Wheat,2275,2275,2275,21-04-2024
9,Fatehgarh,Wheat,2275,2275,2275,08-05-2024
10,Fatehgarh,Wheat,2275,2275,2275,01-05-2024
11,Fatehgarh,Wheat,2275,2275,2275,02-05-2024
12,Fatehgarh,Wheat,2275,2275,2275,19-04-2024
13,Fatehgarh,Wheat,2275,2275,2275,24-04-2024
14,Fatehgarh,Wheat,2275,2275,2275,28-04-2024
15,Fatehgarh,Wheat,2275,2275,2275,23-04-2024
16,Fatehgarh,Wheat,2275,2275,2275,04-05-2024
17,Fatehgarh,Wheat,2275,2275,2275,11-05-2024
18,Fatehgarh,Wheat,2275,2275,2275,27-04-2024
19,Fatehgarh,Wheat,2275,2275,2275,03-05-2024
20,Fatehgarh,Wheat,2275,2275,2275,09-05-2024
21,Fatehgarh,Wheat,2275,2275,2275,30-04-2024
22,Fatehgarh,Wheat,2275,2275,2275,25-04-2024
23,Fatehgarh,Wheat,2275,2275,2275,07-05-2024
