Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Gadag,Wheat,1917,5114,3035,27-09-2024
2,Gadag,Wheat,1644,5137,3537,06-03-2024
3,Gadag,Wheat,1429,5044,3417,28-02-2024
4,Gadag,Wheat,3169,5015,3901,14-09-2024
5,Gadag,Wheat,2069,4675,2935,26-02-2024
6,Gadag,Wheat,1377,6165,3545,26-03-2024
7,Gadag,Wheat,1877,5142,3400,29-02-2024
8,Gadag,Wheat,1511,5814,3710,16-05-2024
9,Gadag,Wheat,1739,3315,2398,05-06-2024
10,Gadag,Wheat,2077,4677,3104,14-10-2024
11,Gadag,Wheat,2071,4465,2604,31-07-2024
12,Gadag,Wheat,1877,2477,2168,18-10-2024
13,Gadag,Wheat,1889,4744,2456,27-05-2024
14,Gadag,Wheat,1847,3117,2670,13-09-2024
15,Gadag,Wheat,2329,4077,2857,26-08-2024
16,Gadag,Wheat,1943,4177,2449,07-10-2024
17,Gadag,Wheat,1737,5849,3490,21-03-2024
18,Gadag,Wheat,1677,5761,3561,03-04-2024
19,Gadag,Wheat,1904,4024,2635,24-07-2024
20,Gadag,Wheat,1875,6179,3986,18-03-2024
21,Gadag,Wheat,1929,2893,2335,07-12-2024
22,Gadag,Wheat,2439,5865,3474,10-02-2024
23,Gadag,Wheat,2014,5409,3436,02-05-2024
24,Gadag,Wheat,1877,4677,2751,20-11-2024
25,Gadag,Wheat,1277,4377,2668,21-05-2024
26,Gadag,Wheat,1637,4609,2556,25-10-2024
27,Gadag,Wheat,1777,3477,1997,28-10-2024
28,Gadag,Wheat,1447,4461,2833,10-12-2024
29,Gadag,Wheat,1877,4717,2795,21-10-2024
30,Gadag,Wheat,1459,5839,3870,13-03-2024
31,Gadag,Wheat,2351,4677,2900,10-07-2024
32,Gadag,Wheat,1877,4444,3031,24-10-2024
33,Gadag,Wheat,2127,4129,3564,09-10-2024
34,Gadag,Wheat,1716,4465,2042,12-02-2024
35,Gadag,Wheat,1839,2893,2488,22-10-2024
36,Gadag,Wheat,1677,4117,2448,26-10-2024
37,Gadag,Wheat,1907,4214,2329,29-07-2024
38,Gadag,Wheat,1957,5228,2437,22-07-2024
39,Gadag,Wheat,1833,4715,3181,25-09-2024
40,Gadag,Wheat,1544,5215,2775,22-05-2024
41,Gadag,Wheat,2254,6006,4065,07-03-2024
42,Gadag,Wheat,2400,2400,2400,10-08-2024
43,Gadag,Wheat,1844,6207,3841,19-03-2024
44,Gadag,Wheat,1747,4977,4028,18-07-2024
45,Gadag,Wheat,201,5524,4500,08-07-2024
46,Gadag,Wheat,1639,4477,2514,16-01-2024
47,Gadag,Wheat,2227,3677,2805,07-06-2024
48,Gadag,Wheat,3843,4677,4285,18-06-2024
49,Gadag,Wheat,1677,5839,4174,28-03-2024
50,Gadag,Wheat,2317,4669,3796,16-10-2024
51,Gadag,Wheat,3150,4843,3826,08-06-2024
52,Gadag,Wheat,1869,6189,4097,15-02-2024
53,Gadag,Wheat,1789,4877,2685,16-04-2024
54,Gadag,Wheat,1617,4277,3113,06-07-2024
55,Gadag,Wheat,2069,4477,3726,05-01-2024
56,Gadag,Wheat,777,5418,2875,28-09-2024
57,Gadag,Wheat,1624,5077,3830,18-04-2024
58,Gadag,Wheat,1889,5039,3221,04-03-2024
59,Gadag,Wheat,1159,5069,3761,24-04-2024
60,Gadag,Wheat,1839,5365,2906,05-02-2024
61,Gadag,Wheat,1877,2119,1897,13-02-2024
62,Gadag,Wheat,1859,5224,3594,09-05-2024
63,Gadag,Wheat,1527,5314,2908,22-02-2024
64,Gadag,Wheat,1614,5229,3184,18-05-2024
65,Gadag,Wheat,1844,4659,3506,26-09-2024
66,Gadag,Wheat,1987,5262,2550,03-10-2024
67,Gadag,Wheat,3475,5225,4058,23-02-2024
68,Gadag,Wheat,1681,3015,2030,31-08-2024
69,Gadag,Wheat,1751,4742,2238,03-06-2024
70,Gadag,Wheat,1843,5062,3506,27-02-2024
71,Gadag,Wheat,1014,4717,3508,04-04-2024
72,Gadag,Wheat,2017,4809,2767,23-08-2024
73,Gadag,Wheat,1637,3277,1939,19-04-2024
74,Gadag,Wheat,1817,4670,3130,11-11-2024
75,Gadag,Wheat,1837,4477,2646,25-05-2024
76,Gadag,Wheat,1501,5525,3269,13-05-2024
77,Gadag,Wheat,1939,4814,3644,12-06-2024
78,Gadag,Wheat,1917,4865,2306,02-02-2024
79,Gadag,Wheat,1967,4899,2876,23-09-2024
80,Gadag,Wheat,1739,5515,3554,19-10-2024
81,Gadag,Wheat,1644,4300,2311,01-03-2024
82,Gadag,Wheat,1859,5065,3526,09-11-2024
83,Gadag,Wheat,1402,5524,3588,14-05-2024
84,Gadag,Wheat,1851,2777,2130,20-06-2024
85,Gadag,Wheat,1514,4914,3534,17-05-2024
86,Gadag,Wheat,1744,4893,3692,11-06-2024
87,Gadag,Wheat,1889,5015,2918,05-10-2024
88,Gadag,Wheat,877,5824,3324,29-04-2024
89,Gadag,Wheat,2147,4650,4235,08-10-2024
90,Gadag,Wheat,1727,4909,3126,03-02-2024
91,Gadag,Wheat,1011,5770,3422,15-03-2024
92,Gadag,Wheat,1777,4159,3520,30-07-2024
93,Gadag,Wheat,2267,5437,2809,29-06-2024
