Sl no.,Centre Name,Commodity,Grade,,Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Hassan,Wheat,FAQ,2951,2951,2951,30-01-2024
2,Hassan,Wheat,FAQ,3475,3475,3475,28-02-2024
3,Hassan,Wheat,FAQ,2850,3611,3400,03-01-2024
4,Hassan,Wheat,FAQ,3051,3051,3051,18-09-2024
5,Hassan,Wheat,FAQ,3700,3700,3700,28-08-2024
6,Hassan,Wheat,FAQ,2700,3550,2700,26-03-2024
7,Hassan,Wheat,FAQ,3090,3650,3650,09-10-2024
8,Hassan,Wheat,FAQ,3750,3750,3750,19-12-2024
9,Hassan,Wheat,FAQ,2750,3510,3400,06-05-2024
10,Hassan,Wheat,FAQ,2975,3575,2975,19-07-2024
11,Hassan,Wheat,FAQ,3175,3700,3175,13-11-2024
12,Hassan,Wheat,FAQ,2700,2700,2700,28-05-2024
13,Hassan,Wheat,FAQ,2901,3840,2901,08-02-2024
14,Hassan,Wheat,FAQ,2900,3525,2900,25-06-2024
