Sl no.,Centre Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,kapurthala,Wheat,FAQ,2275,2275,2275,19-05-2024
2,kapurthala,Wheat,FAQ,2280,2280,2280,23-05-2024
3,kapurthala,Wheat,FAQ,2275,2275,2275,06-05-2024
4,kapurthala,Wheat,FAQ,2275,2275,2275,20-04-2024
5,kapurthala,Wheat,FAQ,2275,2275,2275,10-05-2024
6,kapurthala,Wheat,FAQ,2275,2280,2275,02-05-2024
7,kapurthala,Wheat,FAQ,2275,2275,2275,22-04-2024
8,kapurthala,Wheat,FAQ,2275,2275,2275,26-04-2024
9,kapurthala,Wheat,FAQ,2275,2275,2275,29-04-2024
10,kapurthala,Wheat,FAQ,2275,2275,2275,18-04-2024
11,kapurthala,Wheat,FAQ,2275,2275,2275,05-05-2024
12,kapurthala,Wheat,FAQ,2275,2275,2275,01-05-2024
13,kapurthala,Wheat,FAQ,2275,2275,2275,08-05-2024
14,kapurthala,Wheat,FAQ,2275,2275,2275,24-04-2024
15,kapurthala,Wheat,FAQ,2275,2275,2275,14-05-2024
16,kapurthala,Wheat,FAQ,2275,2275,2275,15-05-2024
17,kapurthala,Wheat,FAQ,2275,2275,2275,03-05-2024
18,kapurthala,Wheat,FAQ,2275,2275,2275,11-05-2024
19,kapurthala,Wheat,FAQ,2275,2275,2275,09-05-2024
20,kapurthala,Wheat,FAQ,2275,2275,2275,20-05-2024
21,kapurthala,Wheat,FAQ,2275,2280,2275,30-04-2024
22,kapurthala,Wheat,FAQ,2275,2275,2275,23-04-2024
23,kapurthala,Wheat,FAQ,2275,2275,2275,21-04-2024
24,kapurthala,Wheat,FAQ,2275,2275,2275,13-05-2024
25,kapurthala,Wheat,FAQ,2275,2275,2275,18-05-2024
26,kapurthala,Wheat,FAQ,2275,2275,2275,12-05-2024
27,kapurthala,Wheat,FAQ,2275,2275,2275,17-05-2024
28,kapurthala,Wheat,FAQ,2275,2275,2275,19-04-2024
29,kapurthala,Wheat,FAQ,2275,2275,2275,28-04-2024
30,kapurthala,Wheat,FAQ,2275,2275,2275,07-05-2024
31,kapurthala,Wheat,FAQ,2275,2275,2275,16-05-2024
32,kapurthala,Wheat,FAQ,2275,2280,2275,04-05-2024
33,kapurthala,Wheat,FAQ,2275,2275,2275,25-04-2024
34,kapurthala,Wheat,FAQ,2275,2275,2275,27-04-2024
