Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Koria,Wheat,2300,2300,2300,08-Oct-24
2,Koria,Wheat,2300,2300,2300,07-Apr-24
3,Koria,Wheat,2300,2300,2300,29-Jul-24
4,Koria,Wheat,2300,2300,2300,10-Jul-24
5,Koria,Wheat,2130,2130,2130,10-Jan-24
6,Koria,Wheat,2130,2130,2130,09-Feb-24
7,Koria,Wheat,2200,2200,2200,16-Apr-24
8,Koria,Wheat,2130,2130,2130,29-Feb-24
9,Koria,Wheat,2300,2300,2300,15-May-24
10,Koria,Wheat,2300,2300,2300,24-Apr-24
11,Koria,Wheat,2300,2300,2300,23-May-24
12,Koria,Wheat,2130,2130,2130,05-Feb-24
13,Koria,Wheat,2300,2300,2300,11-Jun-24
14,Koria,Wheat,2300,2300,2300,29-Apr-24
15,Koria,Wheat,2130,2130,2130,19-Feb-24
16,Koria,Wheat,2130,2130,2130,12-Mar-24
17,Koria,Wheat,2300,2300,2300,19-Sep-24
18,Koria,Wheat,2300,2300,2300,28-Aug-24
19,Koria,Wheat,2130,2130,2130,28-Mar-24
20,Koria,Wheat,2300,2300,2300,20-May-24
21,Koria,Wheat,2300,2300,2300,12-Jul-24
22,Koria,Wheat,2300,2300,2300,27-Jun-24
23,Koria,Wheat,2300,2300,2300,27-Nov-24
24,Koria,Wheat,2300,2300,2300,29-May-24
25,Koria,Wheat,2300,2300,2300,29-Sep-24
26,Koria,Wheat,2300,2300,2300,31-Aug-24
27,Koria,Wheat,2130,2130,2130,27-Feb-24
28,Koria,Wheat,2130,2130,2130,16-Mar-24
29,Koria,Wheat,2300,2300,2300,30-Dec-24
30,Koria,Wheat,2300,2300,2300,30-May-24
31,Koria,Wheat,2300,2300,2300,29-Jun-24
32,Koria,Wheat,2300,2300,2300,17-Jul-24
33,Koria,Wheat,2130,2130,2130,21-Feb-24
34,Koria,Wheat,2130,2130,2130,12-Feb-24
35,Koria,Wheat,2300,2300,2300,27-Sep-24
36,Koria,Wheat,2130,2130,2130,14-Mar-24
37,Koria,Wheat,2130,2130,2130,20-Feb-24
38,Koria,Wheat,2300,2300,2300,05-Dec-24
39,Koria,Wheat,2300,2300,2300,11-May-24
40,Koria,Wheat,2300,2300,2300,04-Jun-24
41,Koria,Wheat,2300,2300,2300,20-Dec-24
42,Koria,Wheat,2300,2300,2300,21-May-24
43,Koria,Wheat,2300,2300,2300,03-Jul-24
44,Koria,Wheat,2300,2300,2300,27-May-24
45,Koria,Wheat,2300,2300,2300,07-Oct-24
46,Koria,Wheat,2300,2300,2300,30-Apr-24
47,Koria,Wheat,2300,2300,2300,22-May-24
48,Koria,Wheat,2300,2300,2300,27-Aug-24
49,Koria,Wheat,2300,2300,2300,26-Jun-24
50,Koria,Wheat,2300,2300,2300,24-May-24
51,Koria,Wheat,2300,2300,2300,23-Oct-24
52,Koria,Wheat,2300,2300,2300,30-Jul-24
53,Koria,Wheat,2130,2130,2130,23-Jan-24
54,Koria,Wheat,2200,2200,2200,31-Dec-24
55,Koria,Wheat,2300,2300,2300,23-Sep-24
56,Koria,Wheat,2300,2300,2300,25-Apr-24
57,Koria,Wheat,2130,2130,2130,31-Mar-24
58,Koria,Wheat,2300,2300,2300,25-Jul-24
59,Koria,Wheat,2300,2300,2300,26-Aug-24
60,Koria,Wheat,2300,2300,2300,26-Apr-24
61,Koria,Wheat,2300,2300,2300,12-Aug-24
62,Koria,Wheat,2130,2130,2130,30-Mar-24
63,Koria,Wheat,2300,2300,2300,22-Apr-24
64,Koria,Wheat,2300,2300,2300,27-Oct-24
65,Koria,Wheat,2130,2130,2130,23-Feb-24
66,Koria,Wheat,2300,2300,2300,25-Sep-24
67,Koria,Wheat,2130,2130,2130,14-Feb-24
68,Koria,Wheat,2300,2300,2300,01-May-24
69,Koria,Wheat,2300,2300,2300,27-Apr-24
70,Koria,Wheat,2300,2300,2300,19-Nov-24
71,Koria,Wheat,2300,2300,2300,31-May-24
72,Koria,Wheat,2300,2300,2300,02-May-24
