Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Lucknow,Wheat,2250,2350,2300,27-Apr-24
2,Lucknow,Wheat,2275,2330,2310,29-Apr-24
3,Lucknow,Wheat,2310,2360,2335,31-May-24
4,Lucknow,Wheat,2370,2470,2420,06-Jul-24
5,Lucknow,Wheat,2370,2470,2420,11-Jul-24
6,Lucknow,Wheat,2450,2550,2500,27-Aug-24
7,Lucknow,Wheat,2500,2600,2550,09-Sep-24
8,Lucknow,Wheat,2500,2600,2550,17-Jan-24
9,Lucknow,Wheat,2515,2615,2565,05-Feb-24
10,Lucknow,Wheat,2515,2615,2565,31-Jan-24
11,Lucknow,Wheat,2550,2640,2600,24-Sep-24
12,Lucknow,Wheat,2700,2800,2750,28-Nov-24
13,Lucknow,Wheat,2730,2830,2780,02-Dec-24
14,Lucknow,Wheat,2275,2330,2300,02-May-24
15,Lucknow,Wheat,2275,2340,2290,19-Apr-24
16,Lucknow,Wheat,2300,2400,2350,11-Jun-24
17,Lucknow,Wheat,2310,2460,2340,09-May-24
18,Lucknow,Wheat,2390,2490,2440,29-Jul-24
19,Lucknow,Wheat,2400,2490,2440,25-Jul-24
20,Lucknow,Wheat,2400,2500,2450,03-Aug-24
21,Lucknow,Wheat,2450,2550,2500,30-Aug-24
22,Lucknow,Wheat,2500,2600,2550,18-Mar-24
23,Lucknow,Wheat,2530,2630,2580,04-Mar-24
24,Lucknow,Wheat,2530,2630,2580,08-Feb-24
25,Lucknow,Wheat,2530,2630,2580,19-Sep-24
26,Lucknow,Wheat,2530,2630,2580,20-Sep-24
27,Lucknow,Wheat,2530,2630,2580,26-Feb-24
28,Lucknow,Wheat,2550,2650,2600,28-Sep-24
29,Lucknow,Wheat,2700,2790,2760,23-Nov-24
30,Lucknow,Wheat,2730,2830,2780,06-Dec-24
31,Lucknow,Wheat,2310,2460,2340,11-May-24
32,Lucknow,Wheat,2390,2490,2440,27-Jul-24
33,Lucknow,Wheat,2440,2530,2480,06-Apr-24
34,Lucknow,Wheat,2450,2550,2500,29-Aug-24
35,Lucknow,Wheat,2470,2570,2520,01-Apr-24
36,Lucknow,Wheat,2470,2570,2520,02-Apr-24
37,Lucknow,Wheat,2470,2570,2520,29-Mar-24
38,Lucknow,Wheat,2500,2600,2560,23-Jan-24
39,Lucknow,Wheat,2500,2600,2560,27-Jan-24
40,Lucknow,Wheat,2515,2615,2565,03-Feb-24
41,Lucknow,Wheat,2520,2580,2550,01-Jan-24
42,Lucknow,Wheat,2520,2620,2570,07-Mar-24
43,Lucknow,Wheat,2530,2630,2580,07-Feb-24
44,Lucknow,Wheat,2530,2630,2580,24-Feb-24
45,Lucknow,Wheat,2630,2730,2680,29-Oct-24
46,Lucknow,Wheat,2275,2330,2300,25-Apr-24
47,Lucknow,Wheat,2300,2350,2325,18-May-24
48,Lucknow,Wheat,2300,2360,2330,14-May-24
49,Lucknow,Wheat,2330,2390,2360,03-Jun-24
50,Lucknow,Wheat,2370,2450,2400,09-Jul-24
51,Lucknow,Wheat,2390,2490,2440,31-Jul-24
52,Lucknow,Wheat,2400,2460,2430,19-Jul-24
53,Lucknow,Wheat,2430,2530,2480,03-Apr-24
54,Lucknow,Wheat,2500,2600,2550,21-Mar-24
55,Lucknow,Wheat,2525,2625,2575,19-Feb-24
56,Lucknow,Wheat,2530,2630,2580,06-Feb-24
57,Lucknow,Wheat,2530,2630,2580,13-Feb-24
58,Lucknow,Wheat,2530,2630,2580,16-Feb-24
59,Lucknow,Wheat,2530,2630,2580,23-Feb-24
60,Lucknow,Wheat,2530,2630,2580,28-Feb-24
61,Lucknow,Wheat,2300,2400,2350,13-Apr-24
62,Lucknow,Wheat,2330,2390,2360,04-Jun-24
63,Lucknow,Wheat,2350,2450,2400,20-Jun-24
64,Lucknow,Wheat,2370,2470,2420,13-Jul-24
65,Lucknow,Wheat,2425,2525,2475,22-Aug-24
66,Lucknow,Wheat,2430,2530,2480,04-Apr-24
67,Lucknow,Wheat,2450,2550,2500,02-Sep-24
68,Lucknow,Wheat,2470,2570,2520,28-Mar-24
69,Lucknow,Wheat,2500,2590,2560,27-Mar-24
70,Lucknow,Wheat,2530,2630,2580,01-Mar-24
71,Lucknow,Wheat,2620,2720,2670,24-Oct-24
72,Lucknow,Wheat,2630,2730,2680,28-Oct-24
73,Lucknow,Wheat,2640,2740,2690,02-Nov-24
74,Lucknow,Wheat,2640,2740,2690,05-Nov-24
75,Lucknow,Wheat,2700,2800,2750,08-Nov-24
76,Lucknow,Wheat,2700,2800,2750,30-Nov-24
77,Lucknow,Wheat,2700,2800,2760,14-Nov-24
78,Lucknow,Wheat,2700,2800,2760,18-Nov-24
79,Lucknow,Wheat,2280,2350,2330,06-May-24
80,Lucknow,Wheat,2300,2350,2330,08-May-24
81,Lucknow,Wheat,2300,2400,2350,08-Jun-24
82,Lucknow,Wheat,2305,2360,2325,25-May-24
83,Lucknow,Wheat,2310,2350,2330,23-May-24
84,Lucknow,Wheat,2370,2470,2420,22-Jun-24
85,Lucknow,Wheat,2400,2500,2460,06-Aug-24
86,Lucknow,Wheat,2420,2480,2460,21-Aug-24
87,Lucknow,Wheat,2500,2600,2550,04-Sep-24
88,Lucknow,Wheat,2500,2600,2550,13-Mar-24
89,Lucknow,Wheat,2510,2600,2560,13-Sep-24
90,Lucknow,Wheat,2530,2630,2580,27-Feb-24
91,Lucknow,Wheat,2570,2670,2620,02-Oct-24
92,Lucknow,Wheat,2570,2670,2620,04-Oct-24
93,Lucknow,Wheat,2600,2680,2640,08-Oct-24
94,Lucknow,Wheat,2600,2680,2650,15-Oct-24
95,Lucknow,Wheat,2620,2720,2670,23-Oct-24
96,Lucknow,Wheat,2630,2730,2680,30-Oct-24
97,Lucknow,Wheat,2700,2800,2750,09-Nov-24
98,Lucknow,Wheat,2730,2830,2780,05-Dec-24
99,Lucknow,Wheat,2310,2360,2335,28-May-24
100,Lucknow,Wheat,2370,2470,2420,12-Jul-24
101,Lucknow,Wheat,2400,2500,2460,05-Aug-24
102,Lucknow,Wheat,2420,2480,2460,20-Aug-24
103,Lucknow,Wheat,2420,2520,2470,09-Aug-24
104,Lucknow,Wheat,2500,2580,2550,22-Mar-24
105,Lucknow,Wheat,2500,2600,2550,19-Mar-24
106,Lucknow,Wheat,2515,2615,2565,01-Feb-24
107,Lucknow,Wheat,2515,2615,2565,02-Feb-24
108,Lucknow,Wheat,2530,2630,2580,22-Feb-24
109,Lucknow,Wheat,2550,2640,2600,26-Sep-24
110,Lucknow,Wheat,2550,2650,2600,27-Sep-24
111,Lucknow,Wheat,2610,2700,2660,18-Oct-24
112,Lucknow,Wheat,2700,2800,2750,29-Nov-24
113,Lucknow,Wheat,2730,2830,2780,07-Dec-24
114,Lucknow,Wheat,2275,2330,2300,26-Apr-24
115,Lucknow,Wheat,2275,2340,2320,01-May-24
116,Lucknow,Wheat,2280,2380,2330,16-Apr-24
117,Lucknow,Wheat,2300,2360,2330,13-May-24
118,Lucknow,Wheat,2330,2390,2360,01-Jun-24
119,Lucknow,Wheat,2375,2475,2425,24-Jun-24
120,Lucknow,Wheat,2380,2480,2430,15-Jul-24
121,Lucknow,Wheat,2390,2490,2440,30-Jul-24
122,Lucknow,Wheat,2400,2490,2440,24-Jul-24
123,Lucknow,Wheat,2420,2520,2470,16-Aug-24
124,Lucknow,Wheat,2420,2520,2470,17-Aug-24
125,Lucknow,Wheat,2450,2550,2500,26-Aug-24
126,Lucknow,Wheat,2480,2570,2520,08-Jan-24
127,Lucknow,Wheat,2500,2590,2540,03-Jan-24
128,Lucknow,Wheat,2500,2600,2550,18-Jan-24
129,Lucknow,Wheat,2500,2600,2550,20-Mar-24
130,Lucknow,Wheat,2500,2600,2560,24-Jan-24
131,Lucknow,Wheat,2530,2630,2580,09-Feb-24
132,Lucknow,Wheat,2530,2630,2580,12-Feb-24
133,Lucknow,Wheat,2530,2630,2580,15-Feb-24
134,Lucknow,Wheat,2570,2670,2620,03-Oct-24
135,Lucknow,Wheat,2610,2700,2660,16-Oct-24
136,Lucknow,Wheat,2610,2700,2660,17-Oct-24
137,Lucknow,Wheat,2610,2700,2660,19-Oct-24
138,Lucknow,Wheat,2630,2730,2680,26-Oct-24
139,Lucknow,Wheat,2640,2740,2690,01-Nov-24
140,Lucknow,Wheat,2700,2800,2750,19-Nov-24
141,Lucknow,Wheat,2700,2800,2750,27-Nov-24
142,Lucknow,Wheat,2740,2840,2790,12-Dec-24
143,Lucknow,Wheat,2740,2840,2790,13-Dec-24
144,Lucknow,Wheat,2280,2350,2330,07-May-24
145,Lucknow,Wheat,2300,2400,2350,12-Apr-24
146,Lucknow,Wheat,2300,2400,2350,12-Jun-24
147,Lucknow,Wheat,2350,2420,2380,18-Jun-24
148,Lucknow,Wheat,2370,2470,2420,03-Jul-24
149,Lucknow,Wheat,2380,2480,2430,18-Jul-24
150,Lucknow,Wheat,2400,2450,2420,19-Aug-24
151,Lucknow,Wheat,2400,2500,2450,02-Aug-24
152,Lucknow,Wheat,2400,2500,2460,10-Apr-24
153,Lucknow,Wheat,2480,2570,2520,11-Jan-24
154,Lucknow,Wheat,2480,2580,2530,12-Jan-24
155,Lucknow,Wheat,2500,2580,2550,23-Mar-24
156,Lucknow,Wheat,2500,2580,2550,26-Mar-24
157,Lucknow,Wheat,2500,2590,2540,02-Jan-24
158,Lucknow,Wheat,2500,2590,2540,05-Jan-24
159,Lucknow,Wheat,2500,2600,2550,19-Jan-24
160,Lucknow,Wheat,2500,2600,2550,22-Jan-24
161,Lucknow,Wheat,2510,2610,2560,29-Jan-24
162,Lucknow,Wheat,2520,2620,2570,09-Mar-24
163,Lucknow,Wheat,2520,2620,2570,11-Mar-24
164,Lucknow,Wheat,2520,2620,2570,12-Mar-24
165,Lucknow,Wheat,2570,2670,2620,05-Oct-24
166,Lucknow,Wheat,2740,2840,2790,11-Dec-24
167,Lucknow,Wheat,2275,2300,2285,23-Apr-24
168,Lucknow,Wheat,2310,2360,2335,30-May-24
169,Lucknow,Wheat,2330,2390,2360,05-Jun-24
170,Lucknow,Wheat,2340,2400,2370,17-Jun-24
171,Lucknow,Wheat,2370,2470,2420,10-Jul-24
172,Lucknow,Wheat,2380,2450,2400,01-Jul-24
173,Lucknow,Wheat,2380,2450,2400,29-Jun-24
174,Lucknow,Wheat,2420,2520,2470,08-Aug-24
175,Lucknow,Wheat,2420,2520,2470,10-Aug-24
176,Lucknow,Wheat,2425,2525,2475,24-Aug-24
177,Lucknow,Wheat,2450,2550,2500,03-Sep-24
178,Lucknow,Wheat,2450,2550,2500,31-Aug-24
179,Lucknow,Wheat,2480,2570,2520,10-Jan-24
180,Lucknow,Wheat,2500,2600,2550,06-Sep-24
181,Lucknow,Wheat,2500,2600,2550,16-Jan-24
182,Lucknow,Wheat,2500,2600,2550,20-Jan-24
183,Lucknow,Wheat,2525,2625,2575,20-Feb-24
184,Lucknow,Wheat,2550,2650,2600,01-Oct-24
185,Lucknow,Wheat,2600,2650,2630,07-Oct-24
186,Lucknow,Wheat,2600,2680,2640,12-Oct-24
