Sl no.,Centre Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Muktsar,Wheat,FAQ,2275,2275,2275,19-05-2024
2,Muktsar,Wheat,FAQ,2275,2275,2275,20-04-2024
3,Muktsar,Wheat,FAQ,2275,2275,2275,10-05-2024
4,Muktsar,Wheat,FAQ,2275,2275,2275,04-05-2024
5,Muktsar,Wheat,FAQ,2275,2275,2275,25-05-2024
6,Muktsar,Wheat,FAQ,2275,2275,2275,22-04-2024
7,Muktsar,Wheat,FAQ,2275,2275,2275,26-04-2024
8,Muktsar,Wheat,FAQ,2275,2275,2275,22-05-2024
9,Muktsar,Wheat,FAQ,2275,2275,2275,18-04-2024
10,Muktsar,Wheat,FAQ,2275,2275,2275,05-05-2024
11,Muktsar,Wheat,FAQ,2275,2275,2275,24-05-2024
12,Muktsar,Wheat,FAQ,2275,2275,2275,01-05-2024
13,Muktsar,Wheat,FAQ,2275,2275,2275,08-05-2024
14,Muktsar,Wheat,FAQ,2275,2275,2275,20-04-2024
15,Muktsar,Wheat,FAQ,2275,2275,2275,02-05-2024
16,Muktsar,Wheat,FAQ,2275,2275,2275,23-05-2024
17,Muktsar,Wheat,FAQ,2275,2275,2275,24-04-2024
18,Muktsar,Wheat,FAQ,2275,2275,2275,15-05-2024
19,Muktsar,Wheat,FAQ,2275,2275,2275,03-05-2024
20,Muktsar,Wheat,FAQ,2275,2275,2275,28-05-2024
21,Muktsar,Wheat,FAQ,2275,2275,2275,11-05-2024
22,Muktsar,Wheat,FAQ,2275,2275,2275,09-05-2024
23,Muktsar,Wheat,FAQ,2275,2275,2275,30-05-2024
24,Muktsar,Wheat,FAQ,2275,2275,2275,20-05-2024
25,Muktsar,Wheat,FAQ,2275,2275,2275,23-04-2024
26,Muktsar,Wheat,FAQ,2275,2275,2275,21-05-2024
27,Muktsar,Wheat,FAQ,2275,2275,2275,26-05-2024
28,Muktsar,Wheat,FAQ,2275,2275,2275,21-04-2024
29,Muktsar,Wheat,FAQ,2275,2275,2275,30-04-2024
30,Muktsar,Wheat,FAQ,2275,2275,2275,27-05-2024
31,Muktsar,Wheat,FAQ,2275,2275,2275,18-05-2024
32,Muktsar,Wheat,FAQ,2275,2275,2275,12-05-2024
33,Muktsar,Wheat,FAQ,2275,2275,2275,17-05-2024
34,Muktsar,Wheat,FAQ,2275,2275,2275,19-04-2024
35,Muktsar,Wheat,FAQ,2275,2275,2275,28-04-2024
36,Muktsar,Wheat,FAQ,2275,2275,2275,07-05-2024
37,Muktsar,Wheat,FAQ,2275,2275,2275,16-05-2024
38,Muktsar,Wheat,FAQ,2275,2275,2275,29-05-2024
39,Muktsar,Wheat,FAQ,2275,2275,2275,25-04-2024
40,Muktsar,Wheat,FAQ,2275,2275,2275,27-04-2024
