Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Muzaffarpur,Wheat,2450,2550,2500,06-Mar-24
2,Muzaffarpur,Wheat,2510,2610,2560,08-Jan-24
3,Muzaffarpur,Wheat,2440,2480,2460,03-Jun-24
4,Muzaffarpur,Wheat,2150,2250,2200,08-Apr-24
5,Muzaffarpur,Wheat,2460,2490,2470,20-Sep-24
6,Muzaffarpur,Wheat,2500,2590,2540,25-Jan-24
7,Muzaffarpur,Wheat,2450,2550,2500,26-Feb-24
8,Muzaffarpur,Wheat,2490,2590,2540,08-Feb-24
9,Muzaffarpur,Wheat,2500,2580,2540,02-Jan-24
10,Muzaffarpur,Wheat,2450,2500,2480,05-Oct-24
11,Muzaffarpur,Wheat,2500,2590,2540,12-Feb-24
12,Muzaffarpur,Wheat,2500,2590,2540,27-Jan-24
13,Muzaffarpur,Wheat,2340,2380,2360,13-May-24
14,Muzaffarpur,Wheat,2340,2380,2360,25-May-24
15,Muzaffarpur,Wheat,2430,2480,2460,05-Aug-24
16,Muzaffarpur,Wheat,2450,2500,2470,24-Sep-24
17,Muzaffarpur,Wheat,2500,2600,2550,19-Feb-24
18,Muzaffarpur,Wheat,2750,2850,2790,09-Nov-24
19,Muzaffarpur,Wheat,2350,2380,2370,20-May-24
20,Muzaffarpur,Wheat,2650,2850,2750,14-Nov-24
21,Muzaffarpur,Wheat,2500,2590,2550,15-Jan-24
22,Muzaffarpur,Wheat,2650,2780,2700,05-Nov-24
23,Muzaffarpur,Wheat,2340,2370,2360,12-May-24
24,Muzaffarpur,Wheat,2850,2900,2880,10-Dec-24
25,Muzaffarpur,Wheat,2500,2590,2500,22-Jan-24
26,Muzaffarpur,Wheat,2250,2335,2280,21-Apr-24
27,Muzaffarpur,Wheat,2500,2600,2550,07-Oct-24
28,Muzaffarpur,Wheat,2780,2890,2840,12-Nov-24
29,Muzaffarpur,Wheat,2460,2500,2480,04-Sep-24
30,Muzaffarpur,Wheat,2500,2600,2550,19-Mar-24
31,Muzaffarpur,Wheat,2490,2580,2530,23-Jan-24
32,Muzaffarpur,Wheat,2500,2590,2550,11-Jan-24
33,Muzaffarpur,Wheat,2500,2590,2550,01-Jan-24
34,Muzaffarpur,Wheat,2330,2385,2370,07-May-24
35,Muzaffarpur,Wheat,2420,2475,2450,30-May-24
36,Muzaffarpur,Wheat,2500,2600,2550,05-Mar-24
37,Muzaffarpur,Wheat,2440,2480,2460,24-Jun-24
38,Muzaffarpur,Wheat,2500,2590,2540,01-Feb-24
39,Muzaffarpur,Wheat,2550,2780,2650,24-Oct-24
40,Muzaffarpur,Wheat,2480,2580,2530,14-Mar-24
41,Muzaffarpur,Wheat,2500,2600,2550,16-Mar-24
42,Muzaffarpur,Wheat,2340,2375,2355,15-May-24
43,Muzaffarpur,Wheat,2460,2490,2480,26-Sep-24
44,Muzaffarpur,Wheat,2500,2600,2550,28-Feb-24
45,Muzaffarpur,Wheat,2500,2600,2550,22-Mar-24
46,Muzaffarpur,Wheat,2440,2500,2470,17-Sep-24
47,Muzaffarpur,Wheat,2330,2375,2350,26-Apr-24
48,Muzaffarpur,Wheat,2500,2590,2550,09-Jan-24
49,Muzaffarpur,Wheat,2560,2650,2600,18-Oct-24
50,Muzaffarpur,Wheat,2500,2600,2550,02-Mar-24
51,Muzaffarpur,Wheat,2350,2380,2360,15-Jun-24
52,Muzaffarpur,Wheat,2560,2650,2600,16-Oct-24
53,Muzaffarpur,Wheat,2340,2370,2360,14-May-24
54,Muzaffarpur,Wheat,2500,2590,2550,16-Jan-24
55,Muzaffarpur,Wheat,2480,2590,2530,06-Feb-24
56,Muzaffarpur,Wheat,2040,2080,2060,11-May-24
57,Muzaffarpur,Wheat,2860,3000,2950,01-Jan-25
58,Muzaffarpur,Wheat,2560,2780,2650,25-Oct-24
59,Muzaffarpur,Wheat,2500,2590,2540,16-Feb-24
60,Muzaffarpur,Wheat,2285,2345,2330,23-Apr-24
61,Muzaffarpur,Wheat,2430,2470,2450,12-Jul-24
62,Muzaffarpur,Wheat,2560,2750,2650,01-Nov-24
63,Muzaffarpur,Wheat,2460,2500,2480,04-Oct-24
64,Muzaffarpur,Wheat,2500,2600,2550,21-Feb-24
65,Muzaffarpur,Wheat,2320,2385,2360,30-Apr-24
66,Muzaffarpur,Wheat,2430,2480,2450,06-Jun-24
67,Muzaffarpur,Wheat,2450,2575,2525,12-Mar-24
68,Muzaffarpur,Wheat,2275,2340,2300,22-Apr-24
69,Muzaffarpur,Wheat,2500,2600,2550,21-Mar-24
70,Muzaffarpur,Wheat,2420,2450,2430,07-Aug-24
71,Muzaffarpur,Wheat,2340,2380,2360,08-May-24
72,Muzaffarpur,Wheat,2500,2600,2550,18-Feb-24
73,Muzaffarpur,Wheat,2450,2500,2480,27-Sep-24
74,Muzaffarpur,Wheat,2500,2600,2550,29-Feb-24
75,Muzaffarpur,Wheat,2340,2380,2360,23-May-24
76,Muzaffarpur,Wheat,2500,2580,2550,05-Jan-24
77,Muzaffarpur,Wheat,2700,2900,2800,23-Oct-24
78,Muzaffarpur,Wheat,2500,2600,2550,20-Mar-24
79,Muzaffarpur,Wheat,2460,2500,2480,07-Sep-24
80,Muzaffarpur,Wheat,2860,2990,2960,24-Dec-24
81,Muzaffarpur,Wheat,2650,2880,2700,26-Oct-24
82,Muzaffarpur,Wheat,2320,2375,2360,01-May-24
83,Muzaffarpur,Wheat,2430,2480,2460,06-Aug-24
84,Muzaffarpur,Wheat,2320,2380,2360,10-May-24
85,Muzaffarpur,Wheat,2420,2460,2440,28-May-24
86,Muzaffarpur,Wheat,2360,2390,2380,21-May-24
87,Muzaffarpur,Wheat,2850,2930,2900,16-Dec-24
88,Muzaffarpur,Wheat,2445,2485,2470,27-Jun-24
89,Muzaffarpur,Wheat,2350,2385,2375,11-Jun-24
90,Muzaffarpur,Wheat,2300,2380,2340,24-Apr-24
91,Muzaffarpur,Wheat,2500,2600,2550,13-Feb-24
92,Muzaffarpur,Wheat,2850,2960,2900,31-Dec-24
93,Muzaffarpur,Wheat,2500,2580,2530,10-Jan-24
94,Muzaffarpur,Wheat,2500,2590,2550,07-Jan-24
95,Muzaffarpur,Wheat,2590,2790,2690,19-Oct-24
96,Muzaffarpur,Wheat,2460,2500,2480,12-Sep-24
97,Muzaffarpur,Wheat,2850,2980,2920,20-Dec-24
98,Muzaffarpur,Wheat,2500,2690,2600,28-Oct-24
99,Muzaffarpur,Wheat,2460,2490,2480,13-Sep-24
100,Muzaffarpur,Wheat,2420,2460,2450,08-Aug-24
101,Muzaffarpur,Wheat,2500,2600,2550,15-Feb-24
102,Muzaffarpur,Wheat,2800,2900,2850,25-Nov-24
103,Muzaffarpur,Wheat,2860,2970,2880,28-Dec-24
104,Muzaffarpur,Wheat,2450,2500,2460,05-Sep-24
105,Muzaffarpur,Wheat,2150,2250,2200,17-Apr-24
106,Muzaffarpur,Wheat,2275,2330,2300,20-Apr-24
107,Muzaffarpur,Wheat,2150,2250,2200,06-Apr-24
108,Muzaffarpur,Wheat,2150,2250,2200,05-Apr-24
109,Muzaffarpur,Wheat,2480,2580,2530,13-Mar-24
110,Muzaffarpur,Wheat,2550,2660,2630,15-Oct-24
111,Muzaffarpur,Wheat,2150,2250,2200,18-Apr-24
112,Muzaffarpur,Wheat,2850,2960,2880,14-Dec-24
113,Muzaffarpur,Wheat,2560,2680,2600,14-Oct-24
114,Muzaffarpur,Wheat,2500,2600,2550,04-Mar-24
115,Muzaffarpur,Wheat,2350,2380,2360,27-Apr-24
116,Muzaffarpur,Wheat,2750,2900,2850,11-Nov-24
117,Muzaffarpur,Wheat,2490,2580,2530,24-Jan-24
118,Muzaffarpur,Wheat,2860,2940,2890,30-Dec-24
119,Muzaffarpur,Wheat,2450,2550,2500,23-Feb-24
120,Muzaffarpur,Wheat,2340,2380,2360,13-Jun-24
121,Muzaffarpur,Wheat,2500,2600,2550,15-Mar-24
122,Muzaffarpur,Wheat,2850,2970,2950,18-Dec-24
123,Muzaffarpur,Wheat,2490,2580,2530,30-Jan-24
124,Muzaffarpur,Wheat,2500,2590,2540,09-Feb-24
125,Muzaffarpur,Wheat,2500,2600,2550,17-Feb-24
126,Muzaffarpur,Wheat,2550,2650,2600,02-Apr-24
127,Muzaffarpur,Wheat,2500,2590,2550,29-Jan-24
128,Muzaffarpur,Wheat,2340,2380,2360,25-Apr-24
129,Muzaffarpur,Wheat,2540,2660,2600,17-Oct-24
130,Muzaffarpur,Wheat,2450,2550,2500,22-Feb-24
131,Muzaffarpur,Wheat,2500,2590,2540,31-Jan-24
132,Muzaffarpur,Wheat,2500,2600,2550,18-Mar-24
133,Muzaffarpur,Wheat,2250,2330,2300,19-Apr-24
134,Muzaffarpur,Wheat,2670,2870,2760,16-Nov-24
135,Muzaffarpur,Wheat,2500,2590,2550,18-Jan-24
136,Muzaffarpur,Wheat,2800,2900,2850,21-Dec-24
137,Muzaffarpur,Wheat,2500,2600,2550,11-Mar-24
138,Muzaffarpur,Wheat,2340,2385,2365,04-May-24
139,Muzaffarpur,Wheat,2850,2940,2900,19-Dec-24
140,Muzaffarpur,Wheat,2450,2460,2460,09-Jul-24
141,Muzaffarpur,Wheat,2750,2930,2780,12-Dec-24
142,Muzaffarpur,Wheat,2500,2590,2550,19-Jan-24
143,Muzaffarpur,Wheat,2460,2490,2470,09-Sep-24
144,Muzaffarpur,Wheat,2420,2480,2450,09-Aug-24
145,Muzaffarpur,Wheat,2450,2550,2500,09-Mar-24
146,Muzaffarpur,Wheat,2350,2385,2370,17-May-24
147,Muzaffarpur,Wheat,2460,2500,2480,23-Sep-24
148,Muzaffarpur,Wheat,2350,2390,2365,22-May-24
149,Muzaffarpur,Wheat,2345,2385,2360,03-May-24
150,Muzaffarpur,Wheat,2800,3000,2900,27-Nov-24
151,Muzaffarpur,Wheat,2500,2600,2550,14-Feb-24
152,Muzaffarpur,Wheat,2800,2880,2850,28-Nov-24
153,Muzaffarpur,Wheat,2510,2610,2560,06-Jan-24
154,Muzaffarpur,Wheat,2430,2480,2460,04-Aug-24
155,Muzaffarpur,Wheat,2500,2600,2550,27-Feb-24
156,Muzaffarpur,Wheat,2650,2750,2700,08-Oct-24
157,Muzaffarpur,Wheat,2320,2380,2360,06-May-24
158,Muzaffarpur,Wheat,2500,2590,2550,04-Jan-24
159,Muzaffarpur,Wheat,2450,2490,2470,10-Sep-24
160,Muzaffarpur,Wheat,2340,2380,2360,16-May-24
161,Muzaffarpur,Wheat,2460,2490,2470,19-Sep-24
162,Muzaffarpur,Wheat,2310,2380,2350,29-Apr-24
163,Muzaffarpur,Wheat,2500,2600,2550,20-Feb-24
164,Muzaffarpur,Wheat,2430,2470,2460,01-Jun-24
165,Muzaffarpur,Wheat,2325,2365,2350,29-May-24
166,Muzaffarpur,Wheat,2440,2480,2460,06-Sep-24
167,Muzaffarpur,Wheat,2850,2930,2890,17-Dec-24
168,Muzaffarpur,Wheat,2340,2380,2360,09-May-24
169,Muzaffarpur,Wheat,2660,2750,2680,04-Nov-24
170,Muzaffarpur,Wheat,2150,2250,2200,07-Apr-24
171,Muzaffarpur,Wheat,2560,2680,2600,02-Nov-24
172,Muzaffarpur,Wheat,2500,2590,2550,03-Jan-24
173,Muzaffarpur,Wheat,2500,2590,2540,02-Feb-24
174,Muzaffarpur,Wheat,2430,2470,2460,02-Jun-24
175,Muzaffarpur,Wheat,2430,2500,2470,21-Sep-24
176,Muzaffarpur,Wheat,2850,2980,2900,23-Dec-24
177,Muzaffarpur,Wheat,2430,2480,2460,02-Aug-24
