Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Mysore,Wheat,2800,3300,3100,27-08-2024
2,Mysore,Wheat,2830,3450,3350,20-06-2024
3,Mysore,Wheat,2890,2890,2890,17-08-2024
4,Mysore,Wheat,2900,3150,3000,30-08-2024
5,Mysore,Wheat,2940,3520,3515,06-09-2024
6,Mysore,Wheat,2950,3200,3150,26-08-2024
7,Mysore,Wheat,3000,3150,3050,24-08-2024
8,Mysore,Wheat,3000,3200,3100,22-08-2024
9,Mysore,Wheat,3000,3700,3525,12-09-2024
10,Mysore,Wheat,3175,3520,3390,04-03-2024
11,Mysore,Wheat,3180,3450,3450,25-05-2024
12,Mysore,Wheat,3187,3684,3500,07-08-2024
13,Mysore,Wheat,3190,3700,3325,30-03-2024
14,Mysore,Wheat,3200,3300,3200,04-01-2024
15,Mysore,Wheat,3200,3300,3300,16-05-2024
16,Mysore,Wheat,3200,3500,3300,03-06-2024
17,Mysore,Wheat,3200,3800,3400,09-11-2024
18,Mysore,Wheat,3200,3800,3500,01-04-2024
19,Mysore,Wheat,3200,3800,3500,03-04-2024
20,Mysore,Wheat,3200,3800,3500,04-04-2024
21,Mysore,Wheat,3200,3800,3500,05-04-2024
22,Mysore,Wheat,3200,3800,3500,06-04-2024
23,Mysore,Wheat,3200,4200,4000,17-07-2024
24,Mysore,Wheat,3240,3380,3380,18-03-2024
25,Mysore,Wheat,3275,3775,3365,27-03-2024
26,Mysore,Wheat,3290,3365,3290,13-06-2024
27,Mysore,Wheat,3300,3365,3330,18-06-2024
28,Mysore,Wheat,3300,3495,3300,19-03-2024
29,Mysore,Wheat,3300,3600,3420,07-06-2024
30,Mysore,Wheat,3300,3700,3300,15-03-2024
31,Mysore,Wheat,3300,3850,3450,12-06-2024
32,Mysore,Wheat,3310,3550,3420,04-06-2024
33,Mysore,Wheat,3320,3610,3440,08-06-2024
34,Mysore,Wheat,3325,3450,3450,22-05-2024
35,Mysore,Wheat,3326,3500,3400,27-05-2024
36,Mysore,Wheat,3330,3800,3500,15-05-2024
37,Mysore,Wheat,3335,3335,3335,20-05-2024
38,Mysore,Wheat,3340,3875,3565,02-01-2024
39,Mysore,Wheat,3350,3750,3350,14-03-2024
40,Mysore,Wheat,3350,3800,3600,11-06-2024
41,Mysore,Wheat,3355,3545,3375,10-06-2024
42,Mysore,Wheat,3365,3435,3365,29-03-2024
43,Mysore,Wheat,3370,3370,3370,22-03-2024
44,Mysore,Wheat,3400,4000,3700,12-04-2024
45,Mysore,Wheat,3400,4200,3800,15-04-2024
46,Mysore,Wheat,3400,4200,3900,13-11-2024
47,Mysore,Wheat,3400,4200,3900,15-11-2024
48,Mysore,Wheat,3400,4200,4000,20-07-2024
49,Mysore,Wheat,3401,3468,3468,10-08-2024
50,Mysore,Wheat,3438,3438,3438,23-02-2024
51,Mysore,Wheat,3448,3448,3448,27-02-2024
52,Mysore,Wheat,3450,3450,3450,20-02-2024
53,Mysore,Wheat,3475,3475,3475,10-09-2024
54,Mysore,Wheat,3500,4100,3600,24-07-2024
55,Mysore,Wheat,3500,4100,3800,27-07-2024
56,Mysore,Wheat,3500,4100,3800,31-07-2024
57,Mysore,Wheat,3500,4100,3900,30-07-2024
58,Mysore,Wheat,3500,4200,3900,15-07-2024
59,Mysore,Wheat,3500,4200,4000,15-02-2024
60,Mysore,Wheat,3520,3555,3520,04-09-2024
61,Mysore,Wheat,3520,3850,3520,23-09-2024
62,Mysore,Wheat,3522,3850,3557,12-08-2024
63,Mysore,Wheat,3560,3850,3600,24-02-2024
64,Mysore,Wheat,3570,3570,3570,05-12-2024
65,Mysore,Wheat,3580,3730,3650,29-11-2024
66,Mysore,Wheat,3599,3599,3599,08-11-2024
67,Mysore,Wheat,3600,3720,3710,12-03-2024
68,Mysore,Wheat,3600,4000,3600,05-11-2024
69,Mysore,Wheat,3600,4000,3600,25-06-2024
70,Mysore,Wheat,3600,4000,3800,02-02-2024
71,Mysore,Wheat,3600,4000,3800,28-06-2024
72,Mysore,Wheat,3600,4200,3900,01-07-2024
73,Mysore,Wheat,3600,4200,3900,02-07-2024
74,Mysore,Wheat,3600,4200,3900,03-05-2024
75,Mysore,Wheat,3600,4200,3900,05-07-2024
76,Mysore,Wheat,3600,4200,4000,06-05-2024
77,Mysore,Wheat,3600,4200,4000,09-07-2024
78,Mysore,Wheat,3600,4200,4000,18-04-2024
79,Mysore,Wheat,3600,4200,4000,22-04-2024
80,Mysore,Wheat,3600,4200,4000,24-04-2024
81,Mysore,Wheat,3600,4300,4000,11-10-2024
82,Mysore,Wheat,3645,4001,4001,02-12-2024
83,Mysore,Wheat,3650,3750,3715,13-03-2024
84,Mysore,Wheat,3650,3780,3700,11-03-2024
85,Mysore,Wheat,3650,3800,3700,19-11-2024
86,Mysore,Wheat,3700,3700,3700,05-03-2024
87,Mysore,Wheat,3700,4200,3950,19-01-2024
88,Mysore,Wheat,3700,4200,3950,20-01-2024
89,Mysore,Wheat,3700,4300,4000,04-10-2024
