Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Panna,Wheat,2200,2250,2250,21-Mar-24
2,Panna,Wheat,2200,2250,2250,27-Mar-24
3,Panna,Wheat,2200,2260,2250,28-Mar-24
4,Panna,Wheat,2200,2300,2250,22-Mar-24
5,Panna,Wheat,2200,2300,2250,30-Mar-24
6,Panna,Wheat,2200,2320,2300,01-May-24
7,Panna,Wheat,2220,2250,2250,01-Mar-24
8,Panna,Wheat,2225,2225,2225,20-Mar-24
9,Panna,Wheat,2230,2320,2300,29-Mar-24
10,Panna,Wheat,2275,2280,2280,14-Apr-24
11,Panna,Wheat,2275,2290,2280,16-Apr-24
12,Panna,Wheat,2275,2320,2300,06-May-24
13,Panna,Wheat,2275,2320,2300,24-Apr-24
14,Panna,Wheat,2275,2350,2300,08-May-24
15,Panna,Wheat,2276,2290,2285,08-Apr-24
16,Panna,Wheat,2276,2300,2280,20-Apr-24
17,Panna,Wheat,2276,2320,2300,10-May-24
18,Panna,Wheat,2276,2320,2320,23-Apr-24
19,Panna,Wheat,2276,2320,2320,30-Apr-24
20,Panna,Wheat,2276,2350,2300,29-Apr-24
21,Panna,Wheat,2277,2285,2285,07-May-24
22,Panna,Wheat,2277,2285,2285,11-May-24
23,Panna,Wheat,2277,2290,2280,01-Apr-24
24,Panna,Wheat,2277,2290,2280,03-Apr-24
25,Panna,Wheat,2277,2290,2280,15-Apr-24
26,Panna,Wheat,2278,2285,2280,18-Apr-24
27,Panna,Wheat,2278,2290,2285,02-Apr-24
28,Panna,Wheat,2278,2290,2285,09-Apr-24
29,Panna,Wheat,2278,2290,2290,06-Apr-24
30,Panna,Wheat,2278,2320,2300,09-May-24
31,Panna,Wheat,2278,2320,2300,22-Apr-24
32,Panna,Wheat,2278,2330,2320,13-May-24
33,Panna,Wheat,2280,2285,2280,04-Apr-24
34,Panna,Wheat,2280,2285,2285,05-Apr-24
35,Panna,Wheat,2280,2300,2300,07-Apr-24
36,Panna,Wheat,2280,2300,2300,13-Apr-24
37,Panna,Wheat,2280,2300,2300,31-Mar-24
38,Panna,Wheat,2280,2320,2280,19-Apr-24
39,Panna,Wheat,2280,2320,2300,03-May-24
40,Panna,Wheat,2280,2320,2300,04-May-24
41,Panna,Wheat,2280,2320,2300,21-May-24
42,Panna,Wheat,2280,2320,2300,25-May-24
43,Panna,Wheat,2280,2320,2320,23-May-24
44,Panna,Wheat,2280,2325,2300,02-May-24
45,Panna,Wheat,2280,2330,2300,18-May-24
46,Panna,Wheat,2280,2350,2350,27-Apr-24
47,Panna,Wheat,2285,2330,2300,16-May-24
48,Panna,Wheat,2290,2310,2300,20-May-24
49,Panna,Wheat,2290,2320,2300,22-May-24
50,Panna,Wheat,2290,2330,2320,15-May-24
