Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Paschim Bardhaman,Wheat,2200,2500,2350,05-Jan-24
2,Paschim Bardhaman,Wheat,2250,2450,2300,02-Jan-24
3,Paschim Bardhaman,Wheat,2250,2460,2300,09-Jan-24
4,Paschim Bardhaman,Wheat,2300,2500,2400,03-Jan-24
5,Paschim Bardhaman,Wheat,2300,2500,2400,21-Feb-24
6,Paschim Bardhaman,Wheat,2300,2500,2400,21-Jan-24
7,Paschim Bardhaman,Wheat,2300,2500,2400,22-Jan-24
8,Paschim Bardhaman,Wheat,2300,2550,2400,03-Mar-24
9,Paschim Bardhaman,Wheat,2300,2550,2400,04-Mar-24
10,Paschim Bardhaman,Wheat,2300,2550,2400,05-Feb-24
11,Paschim Bardhaman,Wheat,2300,2550,2400,24-Feb-24
12,Paschim Bardhaman,Wheat,2300,2550,2450,02-Mar-24
13,Paschim Bardhaman,Wheat,2300,2550,2450,08-Mar-24
14,Paschim Bardhaman,Wheat,2300,2550,2450,23-Feb-24
15,Paschim Bardhaman,Wheat,2300,2550,2450,29-Feb-24
16,Paschim Bardhaman,Wheat,2300,2560,2400,06-Mar-24
17,Paschim Bardhaman,Wheat,2300,2560,2400,20-Feb-24
18,Paschim Bardhaman,Wheat,2300,2560,2400,22-Feb-24
19,Paschim Bardhaman,Wheat,2300,2560,2450,01-Mar-24
20,Paschim Bardhaman,Wheat,2300,2560,2450,09-Mar-24
21,Paschim Bardhaman,Wheat,2300,2580,2450,14-Mar-24
22,Paschim Bardhaman,Wheat,2300,2600,2450,07-Mar-24
23,Paschim Bardhaman,Wheat,2300,2600,2450,13-Apr-24
24,Paschim Bardhaman,Wheat,2300,2600,2450,27-Feb-24
25,Paschim Bardhaman,Wheat,2350,2480,2400,01-Jan-24
26,Paschim Bardhaman,Wheat,2350,2500,2400,02-Feb-24
27,Paschim Bardhaman,Wheat,2350,2500,2400,06-Feb-24
28,Paschim Bardhaman,Wheat,2350,2500,2400,06-Jan-24
29,Paschim Bardhaman,Wheat,2350,2500,2400,16-Feb-24
30,Paschim Bardhaman,Wheat,2350,2500,2400,23-Jan-24
31,Paschim Bardhaman,Wheat,2350,2550,2400,05-Apr-24
32,Paschim Bardhaman,Wheat,2350,2550,2400,10-Jan-24
33,Paschim Bardhaman,Wheat,2350,2550,2400,11-Mar-24
34,Paschim Bardhaman,Wheat,2350,2550,2400,15-Feb-24
35,Paschim Bardhaman,Wheat,2350,2550,2400,18-Feb-24
36,Paschim Bardhaman,Wheat,2350,2550,2400,19-Mar-24
37,Paschim Bardhaman,Wheat,2350,2550,2400,21-Mar-24
38,Paschim Bardhaman,Wheat,2350,2550,2400,28-Mar-24
39,Paschim Bardhaman,Wheat,2350,2550,2450,14-Feb-24
40,Paschim Bardhaman,Wheat,2350,2550,2450,22-Mar-24
41,Paschim Bardhaman,Wheat,2350,2550,2450,26-Feb-24
42,Paschim Bardhaman,Wheat,2350,2550,2450,31-Mar-24
43,Paschim Bardhaman,Wheat,2350,2560,2400,08-Feb-24
44,Paschim Bardhaman,Wheat,2350,2560,2400,18-Mar-24
45,Paschim Bardhaman,Wheat,2350,2560,2400,27-Mar-24
46,Paschim Bardhaman,Wheat,2350,2560,2450,05-Mar-24
47,Paschim Bardhaman,Wheat,2350,2560,2500,29-Mar-24
48,Paschim Bardhaman,Wheat,2350,2580,2460,16-Mar-24
49,Paschim Bardhaman,Wheat,2350,2600,2450,03-Apr-24
50,Paschim Bardhaman,Wheat,2350,2600,2450,10-Mar-24
51,Paschim Bardhaman,Wheat,2350,2600,2450,13-Mar-24
52,Paschim Bardhaman,Wheat,2350,2600,2450,23-Mar-24
53,Paschim Bardhaman,Wheat,2350,2600,2450,25-Feb-24
54,Paschim Bardhaman,Wheat,2360,2500,2450,15-Jan-24
55,Paschim Bardhaman,Wheat,2360,2550,2400,02-Apr-24
