Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Raigarh,Wheat,2100,2100,2100,03-Apr-24
2,Raigarh,Wheat,2100,2100,2100,04-Apr-24
3,Raigarh,Wheat,2100,2100,2100,13-Apr-24
4,Raigarh,Wheat,2100,2100,2100,23-Mar-24
5,Raigarh,Wheat,2100,2100,2100,19-Apr-24
6,Raigarh,Wheat,2100,2100,2100,23-Apr-24
7,Raigarh,Wheat,2100,2200,2100,28-Mar-24
8,Raigarh,Wheat,2300,2300,2300,13-Jul-24
9,Raigarh,Wheat,2300,2300,2300,01-Jul-24
10,Raigarh,Wheat,2350,2350,2350,13-Feb-24
11,Raigarh,Wheat,2300,2300,2300,04-Jul-24
12,Raigarh,Wheat,2100,2100,2100,10-Apr-24
13,Raigarh,Wheat,2100,2100,2100,26-Mar-24
14,Raigarh,Wheat,2300,2300,2300,16-Jul-24
15,Raigarh,Wheat,2200,2200,2200,15-Mar-24
16,Raigarh,Wheat,2100,2100,2100,27-Apr-24
17,Raigarh,Wheat,2300,2300,2300,27-Jun-24
18,Raigarh,Wheat,2100,2200,2100,29-Mar-24
19,Raigarh,Wheat,2100,2100,2100,02-Apr-24
20,Raigarh,Wheat,2350,2350,2350,07-Feb-24
21,Raigarh,Wheat,2100,2100,2100,08-Apr-24
22,Raigarh,Wheat,2300,2300,2300,27-Jan-24
23,Raigarh,Wheat,2300,2300,2300,16-Feb-24
24,Raigarh,Wheat,2300,2300,2300,08-Mar-24
25,Raigarh,Wheat,2100,2100,2100,26-Apr-24
26,Raigarh,Wheat,2100,2100,2100,14-Mar-24
27,Raigarh,Wheat,2350,2350,2350,06-Feb-24
28,Raigarh,Wheat,2100,2100,2100,22-Mar-24
29,Raigarh,Wheat,2300,2300,2300,09-Jul-24
30,Raigarh,Wheat,2300,2300,2300,19-Feb-24
31,Raigarh,Wheat,2350,2350,2350,08-Feb-24
32,Raigarh,Wheat,2100,2100,2100,12-Apr-24
33,Raigarh,Wheat,2100,2100,2100,12-Mar-24
34,Raigarh,Wheat,2300,2300,2300,04-Mar-24
35,Raigarh,Wheat,2100,2100,2100,19-Mar-24
36,Raigarh,Wheat,2100,2100,2100,17-Apr-24
37,Raigarh,Wheat,2100,2100,2100,06-Apr-24
38,Raigarh,Wheat,2000,2000,2000,20-Feb-24
39,Raigarh,Wheat,2300,2300,2300,08-Jul-24
40,Raigarh,Wheat,2300,2300,2300,22-Feb-24
41,Raigarh,Wheat,2100,2100,2100,16-Apr-24
42,Raigarh,Wheat,2300,2300,2300,11-Mar-24
43,Raigarh,Wheat,2100,2100,2100,13-Mar-24
44,Raigarh,Wheat,2300,2300,2300,09-Mar-24
45,Raigarh,Wheat,2100,2100,2100,09-Apr-24
46,Raigarh,Wheat,2300,2300,2300,23-Feb-24
47,Raigarh,Wheat,2150,2150,2150,27-May-24
48,Raigarh,Wheat,2100,2100,2100,11-Apr-24
49,Raigarh,Wheat,2300,2300,2300,05-Jul-24
50,Raigarh,Wheat,2200,2200,2200,31-Jan-24
51,Raigarh,Wheat,2300,2300,2300,17-Feb-24
52,Raigarh,Wheat,2300,2300,2300,18-Jul-24
53,Raigarh,Wheat,2100,2100,2100,01-May-24
54,Raigarh,Wheat,1900,1900,1900,25-Jan-24
