Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ratlam,Wheat,1855,2433,2160,26-Feb-24
2,Ratlam,Wheat,2175,2375,2300,13-Mar-24
3,Ratlam,Wheat,2574,2580,2511,29-May-24
4,Ratlam,Wheat,2711,2916,2800,21-Oct-24
5,Ratlam,Wheat,2380,12900,2475,28-May-24
6,Ratlam,Wheat,2200,2700,2360,08-Apr-24
7,Ratlam,Wheat,2633,2635,2633,20-Aug-24
8,Ratlam,Wheat,2201,2733,2451,02-May-24
9,Ratlam,Wheat,2710,2718,2718,07-Dec-24
10,Ratlam,Wheat,2752,2890,2870,20-Nov-24
11,Ratlam,Wheat,2305,2350,2360,08-Apr-24
12,Ratlam,Wheat,2395,2671,2530,14-Jun-24
13,Ratlam,Wheat,2500,2761,2530,26-Apr-24
14,Ratlam,Wheat,2281,2900,2800,25-Nov-24
15,Ratlam,Wheat,1884,2652,2300,12-Mar-24
16,Ratlam,Wheat,2331,2765,2473,18-May-24
17,Ratlam,Wheat,2313,2785,2425,15-May-24
18,Ratlam,Wheat,2282,2345,2330,21-Mar-24
19,Ratlam,Wheat,2251,2859,2500,24-May-24
20,Ratlam,Wheat,2800,2810,2810,24-Dec-24
21,Ratlam,Wheat,2525,2876,2801,08-Oct-24
22,Ratlam,Wheat,2800,2952,2850,03-Dec-24
23,Ratlam,Wheat,2424,2460,2401,16-May-24
24,Ratlam,Wheat,2651,3071,2901,07-Nov-24
25,Ratlam,Wheat,2711,2760,2760,27-Nov-24
26,Ratlam,Wheat,2640,2926,2926,22-Oct-24
27,Ratlam,Wheat,2678,2824,2765,18-Dec-24
28,Ratlam,Wheat,2414,2692,2500,12-Jun-24
29,Ratlam,Wheat,2610,2623,2623,23-Aug-24
30,Ratlam,Wheat,2175,2518,2300,26-Mar-24
31,Ratlam,Wheat,2309,2765,2727,16-Aug-24
32,Ratlam,Wheat,1925,2700,2385,06-May-24
33,Ratlam,Wheat,2559,2760,2740,05-Sep-24
34,Ratlam,Wheat,2075,2440,2361,15-Mar-24
35,Ratlam,Wheat,2326,2500,2500,22-May-24
