Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Shimoga,Wheat,370,4300,4000,07-10-2024
2,Shimoga,Wheat,3000,4800,3900,17-09-2024
3,Shimoga,Wheat,3500,4200,3850,25-03-2024
4,Shimoga,Wheat,3500,4200,4000,15-10-2024
5,Shimoga,Wheat,3500,4300,3800,03-08-2024
6,Shimoga,Wheat,3500,4300,3800,05-08-2024
7,Shimoga,Wheat,3500,4300,3800,19-07-2024
8,Shimoga,Wheat,3500,4300,3800,20-07-2024
9,Shimoga,Wheat,3500,4300,3850,19-08-2024
10,Shimoga,Wheat,3500,4300,3900,01-08-2024
11,Shimoga,Wheat,3500,4300,3900,01-07-2024
12,Shimoga,Wheat,3500,4300,3900,02-07-2024
13,Shimoga,Wheat,3500,4300,3900,04-07-2024
14,Shimoga,Wheat,3500,4300,3900,05-07-2024
15,Shimoga,Wheat,3500,4300,3900,06-07-2024
16,Shimoga,Wheat,3500,4300,3900,07-08-2024
17,Shimoga,Wheat,3500,4300,3900,08-08-2024
18,Shimoga,Wheat,3500,4300,3900,08-07-2024
19,Shimoga,Wheat,3500,4300,3900,09-08-2024
20,Shimoga,Wheat,3500,4300,3900,10-07-2024
21,Shimoga,Wheat,3500,4300,3900,11-07-2024
22,Shimoga,Wheat,3500,4300,3900,12-08-2024
23,Shimoga,Wheat,3500,4300,3900,13-08-2024
24,Shimoga,Wheat,3500,4300,3900,14-08-2024
25,Shimoga,Wheat,3500,4300,3900,15-07-2024
26,Shimoga,Wheat,3500,4300,3900,16-08-2024
27,Shimoga,Wheat,3500,4300,3900,17-08-2024
28,Shimoga,Wheat,3500,4300,3900,18-07-2024
29,Shimoga,Wheat,3500,4300,3900,20-08-2024
30,Shimoga,Wheat,3500,4300,3900,21-08-2024
31,Shimoga,Wheat,3500,4300,3900,23-07-2024
32,Shimoga,Wheat,3500,4300,3900,24-07-2024
33,Shimoga,Wheat,3500,4300,3900,25-07-2024
34,Shimoga,Wheat,3500,4300,3900,26-07-2024
35,Shimoga,Wheat,3500,4300,3900,28-06-2024
36,Shimoga,Wheat,3500,4300,3900,29-07-2024
37,Shimoga,Wheat,3500,4300,3900,29-06-2024
38,Shimoga,Wheat,3500,4300,4000,30-07-2024
39,Shimoga,Wheat,3500,4500,4000,12-02-2024
40,Shimoga,Wheat,3500,4800,4200,06-08-2024
41,Shimoga,Wheat,3600,4200,3800,16-02-2024
42,Shimoga,Wheat,3700,4200,3850,01-03-2024
43,Shimoga,Wheat,3700,4200,3850,02-03-2024
44,Shimoga,Wheat,3700,4200,3900,13-03-2024
45,Shimoga,Wheat,3700,4200,3900,20-03-2024
46,Shimoga,Wheat,3700,4200,3950,01-06-2024
47,Shimoga,Wheat,3700,4200,3950,02-04-2024
48,Shimoga,Wheat,3700,4200,3950,02-05-2024
49,Shimoga,Wheat,3700,4200,3950,03-04-2024
50,Shimoga,Wheat,3700,4200,3950,03-06-2024
51,Shimoga,Wheat,3700,4200,3950,03-05-2024
52,Shimoga,Wheat,3700,4200,3950,05-04-2024
53,Shimoga,Wheat,3700,4200,3950,05-06-2024
54,Shimoga,Wheat,3700,4200,3950,06-04-2024
55,Shimoga,Wheat,3700,4200,3950,06-06-2024
56,Shimoga,Wheat,3700,4200,3950,08-04-2024
57,Shimoga,Wheat,3700,4200,3950,09-05-2024
58,Shimoga,Wheat,3700,4200,3950,10-06-2024
59,Shimoga,Wheat,3700,4200,3950,11-06-2024
60,Shimoga,Wheat,3700,4200,3950,12-06-2024
61,Shimoga,Wheat,3700,4200,3950,12-03-2024
62,Shimoga,Wheat,3700,4200,3950,13-06-2024
63,Shimoga,Wheat,3700,4200,3950,13-05-2024
64,Shimoga,Wheat,3700,4200,3950,14-06-2024
65,Shimoga,Wheat,3700,4200,3950,14-05-2024
66,Shimoga,Wheat,3700,4200,3950,15-04-2024
67,Shimoga,Wheat,3700,4200,3950,15-05-2024
68,Shimoga,Wheat,3700,4200,3950,16-05-2024
69,Shimoga,Wheat,3700,4200,3950,17-04-2024
70,Shimoga,Wheat,3700,4200,3950,18-06-2024
71,Shimoga,Wheat,3700,4200,3950,18-03-2024
72,Shimoga,Wheat,3700,4200,3950,18-05-2024
73,Shimoga,Wheat,3700,4200,3950,19-03-2024
74,Shimoga,Wheat,3700,4200,3950,20-04-2024
75,Shimoga,Wheat,3700,4200,3950,20-06-2024
76,Shimoga,Wheat,3700,4200,3950,20-05-2024
77,Shimoga,Wheat,3700,4200,3950,21-06-2024
78,Shimoga,Wheat,3700,4200,3950,21-05-2024
79,Shimoga,Wheat,3700,4200,3950,23-04-2024
80,Shimoga,Wheat,3700,4200,3950,23-05-2024
81,Shimoga,Wheat,3700,4200,3950,24-06-2024
82,Shimoga,Wheat,3700,4200,3950,24-05-2024
83,Shimoga,Wheat,3700,4200,3950,26-06-2024
84,Shimoga,Wheat,3700,4200,3950,27-03-2024
85,Shimoga,Wheat,3700,4200,3950,28-02-2024
86,Shimoga,Wheat,3700,4200,3950,28-03-2024
87,Shimoga,Wheat,3700,4200,3950,28-05-2024
88,Shimoga,Wheat,3700,4200,3950,29-04-2024
89,Shimoga,Wheat,3700,4200,3950,29-02-2024
90,Shimoga,Wheat,3700,4200,3950,30-04-2024
91,Shimoga,Wheat,3700,4200,3950,30-03-2024
92,Shimoga,Wheat,3700,4200,3950,30-05-2024
93,Shimoga,Wheat,3700,4200,4000,11-03-2024
94,Shimoga,Wheat,3700,4300,4000,01-10-2024
95,Shimoga,Wheat,3700,4300,4000,02-09-2024
96,Shimoga,Wheat,3700,4300,4000,03-10-2024
97,Shimoga,Wheat,3700,4300,4000,03-09-2024
98,Shimoga,Wheat,3700,4300,4000,04-10-2024
99,Shimoga,Wheat,3700,4300,4000,04-09-2024
100,Shimoga,Wheat,3700,4300,4000,05-10-2024
101,Shimoga,Wheat,3700,4300,4000,05-09-2024
102,Shimoga,Wheat,3700,4300,4000,06-09-2024
103,Shimoga,Wheat,3700,4300,4000,08-10-2024
104,Shimoga,Wheat,3700,4300,4000,09-10-2024
105,Shimoga,Wheat,3700,4300,4000,10-09-2024
106,Shimoga,Wheat,3700,4300,4000,11-09-2024
107,Shimoga,Wheat,3700,4300,4000,12-09-2024
108,Shimoga,Wheat,3700,4300,4000,13-09-2024
109,Shimoga,Wheat,3700,4300,4000,19-10-2024
110,Shimoga,Wheat,3700,4300,4000,19-09-2024
111,Shimoga,Wheat,3700,4300,4000,21-10-2024
112,Shimoga,Wheat,3700,4300,4000,21-09-2024
113,Shimoga,Wheat,3700,4300,4000,22-08-2024
114,Shimoga,Wheat,3700,4300,4000,22-10-2024
115,Shimoga,Wheat,3700,4300,4000,23-10-2024
116,Shimoga,Wheat,3700,4300,4000,23-09-2024
117,Shimoga,Wheat,3700,4300,4000,24-10-2024
118,Shimoga,Wheat,3700,4300,4000,24-09-2024
119,Shimoga,Wheat,3700,4300,4000,25-09-2024
120,Shimoga,Wheat,3700,4300,4000,26-08-2024
121,Shimoga,Wheat,3700,4300,4000,26-09-2024
122,Shimoga,Wheat,3700,4300,4000,27-08-2024
123,Shimoga,Wheat,3700,4300,4000,27-09-2024
124,Shimoga,Wheat,3700,4300,4000,29-08-2024
125,Shimoga,Wheat,3700,4300,4000,30-08-2024
126,Shimoga,Wheat,3700,4300,4000,31-08-2024
127,Shimoga,Wheat,3800,4200,4000,01-02-2024
128,Shimoga,Wheat,3800,4200,4000,01-01-2024
129,Shimoga,Wheat,3800,4200,4000,01-01-2025
130,Shimoga,Wheat,3800,4200,4000,02-12-2024
131,Shimoga,Wheat,3800,4200,4000,02-02-2024
132,Shimoga,Wheat,3800,4200,4000,02-01-2024
133,Shimoga,Wheat,3800,4200,4000,03-12-2024
134,Shimoga,Wheat,3800,4200,4000,03-02-2024
135,Shimoga,Wheat,3800,4200,4000,03-01-2024
136,Shimoga,Wheat,3800,4200,4000,04-12-2024
137,Shimoga,Wheat,3800,4200,4000,04-01-2024
138,Shimoga,Wheat,3800,4200,4000,04-11-2024
139,Shimoga,Wheat,3800,4200,4000,05-12-2024
140,Shimoga,Wheat,3800,4200,4000,05-02-2024
141,Shimoga,Wheat,3800,4200,4000,05-01-2024
142,Shimoga,Wheat,3800,4200,4000,05-11-2024
143,Shimoga,Wheat,3800,4200,4000,06-12-2024
144,Shimoga,Wheat,3800,4200,4000,06-01-2024
145,Shimoga,Wheat,3800,4200,4000,06-11-2024
146,Shimoga,Wheat,3800,4200,4000,07-12-2024
147,Shimoga,Wheat,3800,4200,4000,07-02-2024
148,Shimoga,Wheat,3800,4200,4000,08-01-2024
149,Shimoga,Wheat,3800,4200,4000,08-11-2024
150,Shimoga,Wheat,3800,4200,4000,09-12-2024
151,Shimoga,Wheat,3800,4200,4000,09-02-2024
152,Shimoga,Wheat,3800,4200,4000,09-01-2024
153,Shimoga,Wheat,3800,4200,4000,10-12-2024
154,Shimoga,Wheat,3800,4200,4000,10-01-2024
155,Shimoga,Wheat,3800,4200,4000,10-10-2024
156,Shimoga,Wheat,3800,4200,4000,11-01-2024
157,Shimoga,Wheat,3800,4200,4000,11-11-2024
158,Shimoga,Wheat,3800,4200,4000,12-12-2024
159,Shimoga,Wheat,3800,4200,4000,12-01-2024
160,Shimoga,Wheat,3800,4200,4000,12-11-2024
161,Shimoga,Wheat,3800,4200,4000,13-12-2024
162,Shimoga,Wheat,3800,4200,4000,14-11-2024
163,Shimoga,Wheat,3800,4200,4000,14-10-2024
164,Shimoga,Wheat,3800,4200,4000,16-12-2024
165,Shimoga,Wheat,3800,4200,4000,16-01-2024
166,Shimoga,Wheat,3800,4200,4000,16-11-2024
167,Shimoga,Wheat,3800,4200,4000,17-12-2024
168,Shimoga,Wheat,3800,4200,4000,17-02-2024
169,Shimoga,Wheat,3800,4200,4000,17-01-2024
170,Shimoga,Wheat,3800,4200,4000,18-10-2024
171,Shimoga,Wheat,3800,4200,4000,19-12-2024
172,Shimoga,Wheat,3800,4200,4000,19-11-2024
173,Shimoga,Wheat,3800,4200,4000,20-12-2024
174,Shimoga,Wheat,3800,4200,4000,20-11-2024
175,Shimoga,Wheat,3800,4200,4000,21-02-2024
176,Shimoga,Wheat,3800,4200,4000,23-12-2024
177,Shimoga,Wheat,3800,4200,4000,24-12-2024
178,Shimoga,Wheat,3800,4200,4000,25-10-2024
179,Shimoga,Wheat,3800,4200,4000,26-12-2024
180,Shimoga,Wheat,3800,4200,4000,26-11-2024
181,Shimoga,Wheat,3800,4200,4000,27-11-2024
182,Shimoga,Wheat,3800,4200,4000,28-11-2024
183,Shimoga,Wheat,3800,4200,4000,28-10-2024
184,Shimoga,Wheat,3800,4200,4000,29-01-2024
185,Shimoga,Wheat,3800,4200,4000,29-10-2024
